"","projection_year_id","variable","value","fmsy_0","fmsy_1","fmsy_2","fmsy_3","fmsy_4","fmsy_5","fmsy_6","fmsy1.25_0","fmsy1.25_1","fmsy1.25_2","fmsy1.25_3","fmsy1.25_4","fmsy1.25_5","fmsy1.25_6","fmsy0.75_0","fmsy0.75_1","fmsy0.75_2","fmsy0.75_3","fmsy0.75_4","fmsy0.75_5","fmsy0.75_6"
"1",2013,"SS3",0.9846835,0.0193267717221473,0.233417454859311,0.9846835,0.67138986899668,0.29657453609101,0.125267899298749,0.0523361372084674,0.0241584646526841,0.291771818574139,1.230854375,0.839237336245851,0.370718170113762,0.156584874123436,0.0654201715105843,0.0144950787916105,0.175063091144483,0.738512625,0.50354240174751,0.222430902068257,0.0939509244740616,0.0392521029063506
"2",2014,"SS3",0.9846835,0.0193267717221473,0.233417454859311,0.9846835,0.67138986899668,0.29657453609101,0.125267899298749,0.0523361372084674,0.0241584646526841,0.291771818574139,1.230854375,0.839237336245851,0.370718170113762,0.156584874123436,0.0654201715105843,0.0144950787916105,0.175063091144483,0.738512625,0.50354240174751,0.222430902068257,0.0939509244740616,0.0392521029063506
"3",2015,"SS3",0.9846835,0.0193267717221473,0.233417454859311,0.9846835,0.67138986899668,0.29657453609101,0.125267899298749,0.0523361372084674,0.0241584646526841,0.291771818574139,1.230854375,0.839237336245851,0.370718170113762,0.156584874123436,0.0654201715105843,0.0144950787916105,0.175063091144483,0.738512625,0.50354240174751,0.222430902068257,0.0939509244740616,0.0392521029063506
"4",2016,"SS3",0.9846835,0.0193267717221473,0.233417454859311,0.9846835,0.67138986899668,0.29657453609101,0.125267899298749,0.0523361372084674,0.0241584646526841,0.291771818574139,1.230854375,0.839237336245851,0.370718170113762,0.156584874123436,0.0654201715105843,0.0144950787916105,0.175063091144483,0.738512625,0.50354240174751,0.222430902068257,0.0939509244740616,0.0392521029063506
"5",2017,"SS3",0.9846835,0.0193267717221473,0.233417454859311,0.9846835,0.67138986899668,0.29657453609101,0.125267899298749,0.0523361372084674,0.0241584646526841,0.291771818574139,1.230854375,0.839237336245851,0.370718170113762,0.156584874123436,0.0654201715105843,0.0144950787916105,0.175063091144483,0.738512625,0.50354240174751,0.222430902068257,0.0939509244740616,0.0392521029063506
"6",2013,"amo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2014,"amo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2015,"amo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2016,"amo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2017,"amo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2013,"pdsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2014,"pdsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2015,"pdsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2016,"pdsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2017,"pdsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2013,"bassB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2014,"bassB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2015,"bassB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2016,"bassB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2017,"bassB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2013,"menhadenC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2014,"menhadenC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2015,"menhadenC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2016,"menhadenC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2017,"menhadenC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
