,"Group name","F.striped bass (1/biomass)","F.menhaden (1/biomass)","F.spiny dogfish (1/biomass)","F.bluefish (1/biomass)","F.weakfish (1/biomass)","F.herring (1/biomass)",
,"striped bass",,,,,,,
1,"striped bass 0",1,,,,,,
2,"striped bass 2-5",1,,,,,,
3,"striped bass 6+",1,,,,,,
,menhaden,,,,,,,
4,"menhaden juv",,1,,,,,
5,"menhaden adult",,1,,,,,
6,"spiny dogfish",,,1,,,,
,bluefish,,,,,,,
7,"bluefish juv",,,,1,,,
8,"bluefish adult",,,,1,,,
,weakfish,,,,,,,
9,"weakfish juv",,,,,1,,
10,"weakfish adult",,,,,1,,
,"Atlantic herring",,,,,,,
11,"Atlantic herring 0-1",,,,,,1,
12,"Atlantic herring 2+",,,,,,1,
13,anchovies,,,,,,,
14,benthos,,,,,,,
15,zooplankton,,,,,,,
16,phytoplankton,,,,,,,
17,Detritus,,,,,,,
