,Name,"Immigration (1e6 mt/year)","Emigration (1e6 mt/year)","Emig. rate (/year)","Biomass accumulation (1e6 mt)","BA rate (/year)",
,"striped bass",,,,,,
1,"striped bass 0",0,0,0,0.0009509421,,
2,"striped bass 2-5",0,0,0,0.004085859,,
3,"striped bass 6+",0,0,0,0.00208824,,
,menhaden,,,,,,
4,"menhaden juv",0,0,0,0.03211616,,
5,"menhaden adult",0,0,0,0.194256,,
6,"spiny dogfish",0,0,0,0,0,
,bluefish,,,,,,
7,"bluefish juv",0,0,0,-0.0002763515,,
8,"bluefish adult",0,0,0,-0.01403883,,
,weakfish,,,,,,
9,"weakfish juv",0,0,0,0,0,
10,"weakfish adult",0,0,0,0,0,
,"Atlantic herring",,,,,,
11,"Atlantic herring 0-1",0,0,0,0.001140165,,
12,"Atlantic herring 2+",0,0,0,0.0205089,,
13,anchovies,0,0,0,0,0,
14,benthos,0,0,0,0,0,
15,zooplankton,0,0,0,0,0,
16,phytoplankton,0,0,0,0,0,
17,Detritus,0,0,0,0,0,
