,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (1e6 mt)","Biomass (1e6 mt)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (1e6 mt)","BA rate (/year)",
,"striped bass",,,,,,,,,,,,
1,"striped bass 0",3.306815,1,0.008415414,0.008415417,1.132,,7.151503,0.08925254,0.1582884,0.0009509421,0.113,
2,"striped bass 2-5",3.539588,1,0.03615804,0.03615805,0.582,,3.004375,0.03664625,0.1937175,0.004085859,0.113,
3,"striped bass 6+",3.787016,1,0.01848,0.01848,0.335,,1.82,0.5110858,0.1840659,0.00208824,0.113,
,menhaden,,,,,,,,,,,,
4,"menhaden juv",2.562158,1,0.2817207,0.2817207,1.764,,9.401678,0.07980014,0.1876261,0.03211616,0.114,
5,"menhaden adult",2.762214,1,1.704,1.704,1.454,,3.804,0.1543798,0.3822292,0.194256,0.114,
6,"spiny dogfish",3.384747,1,0.2715,0.2715,,0.321,1.81,0.06278656,0.1773481,,,
,bluefish,,,,,,,,,,,,
7,"bluefish juv",3.958793,1,0.004324749,0.00432475,2.069,,12.33118,0.8549753,0.167786,-0.0002763515,-0.0639,
8,"bluefish adult",3.906173,1,0.2197,0.2197,0.656,,3.139,0.2286296,0.2089838,-0.01403883,-0.0639,
,weakfish,,,,,,,,,,,,
9,"weakfish juv",3.624002,1,0.001221712,0.001221713,1.453,,9.977094,0.9186637,0.1456336,,,
10,"weakfish adult",3.685636,1,0.0127,0.0127,1.31,,3.77,0.2308031,0.3474801,,,
,"Atlantic herring",,,,,,,,,,,,
11,"Atlantic herring 0-1",3.320247,1,0.008322371,0.008322371,1.371,,10.82862,0.8336659,0.1266089,0.001140165,0.137,
12,"Atlantic herring 2+",3.320225,1,0.1497,0.1497,0.823,,3.7,0.9378998,0.2224324,0.0205089,0.137,
13,anchovies,3.02654,1,0.2713,0.2713,,2.2,7.333,0.4326596,0.3000136,,,
14,benthos,2.108325,1,14.546,14.546,,2.431595,12.46915,0.5207605,0.1950089,,,
15,zooplankton,2.337133,1,13.559,13.559,,45.85,154.6,0.8987376,0.2965718,,,
16,phytoplankton,1,1,8.596,8.596,,186.4362,,0.6685104,,,,
17,Detritus,1,1,12.974,12.974,,,,0.3704259,,,,
