,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
1,"striped bass 0",,0.3487544,0.4293686,,,0.144553,1.477141,0.1577889,,,,,,,,
2,"striped bass 2-5",,,0.04996558,,,,,,,,,,,,,
3,"striped bass 6+",,,,,,,,,,,,,,,,
4,"menhaden juv",0.5041493,0.831724,0.4927915,,,0.01681089,0.3969299,0.3044145,0.4590819,0.3406664,,,,,,
5,"menhaden adult",0.08335052,0.1392184,0.2433716,,,0.002136547,,0.09110811,,0.0393552,,,,,,
6,"spiny dogfish",,,,,,0.004476094,,,,,,,,,,
7,"bluefish juv",,0.6793108,0.417331,,,,,7.116149,,,,,,,,
8,"bluefish adult",,,0.008223294,,,,,0.00999435,,,,,,,,
9,"weakfish juv",11.63801,9.609175,,,,,10.11377,2.692724,8.264047,17.48217,,,,,,
10,"weakfish adult",,,,,,,,0.3464813,,0.3253869,,,,,,
11,"Atlantic herring 0-1",,0.6218421,2.355865,,,1.696391,,1.072391,,,3.348435,0.6995324,,,,
12,"Atlantic herring 2+",,0.4359567,0.6172771,,,0.7472144,,0.6006081,,,0.1861518,0.08832177,,,,
13,anchovies,2.961057,2.563857,1.704771,,,0.04927332,20.16047,2.455565,16.02945,6.178876,1.086462,0.37123,,,,
14,benthos,0.2526765,0.07283812,0.01266872,,,0.02708462,0.02050998,0.006913783,0.1397877,0.04389953,0.1319209,0.04507567,0.05091662,0.07739525,0.007680834,
15,zooplankton,0.07707395,0.00346328,0.0002664884,0.2915153,0.1599247,0.03123035,0.01008469,0.001986511,0.1751017,0.04557126,0.6260788,0.2139231,0.369922,0.01956994,2.981023,
16,phytoplankton,,0.0003414278,0.0006305227,0.3295414,0.09889745,,,0.0005648995,0.00136732,0.0001602456,,,0.132226,0.3323468,8.813544,
17,Detritus,,,,0.2016558,0.06054101,,,,,,,,0.03391244,0.3970328,2.375872,
