,"Group name","Max rel. P/B","Max rel. feeding time","Feeding time adjust rate [0,1]","Fraction of other mortality sens. to changes in feeding time","Predator effect on feeding time [0,1]","Density-dep. catchability: Qmax/Qo [>=1]","QBmax/QBo (for handling time) [>1]","Switching power parameter [0,2]",
,"striped bass",,,,,,,,,
1,"striped bass 0",,2,0.5,0,1,1,1000,1,
2,"striped bass 2-5",,2,0,1,0,1,1000,1,
3,"striped bass 6+",,2,0,1,0,1,1000,1,
,menhaden,,,,,,,,,
4,"menhaden juv",,2,0.5,1,0,1,1000,0,
5,"menhaden adult",,2,0,1,0,1,1000,0,
6,"spiny dogfish",,2,0,1,0,1,1000,1,
,bluefish,,,,,,,,,
7,"bluefish juv",,2,0.5,1,0,1,1000,1,
8,"bluefish adult",,2,0,1,0,1,1000,1,
,weakfish,,,,,,,,,
9,"weakfish juv",,2,0.5,1,0,1,1000,1,
10,"weakfish adult",,2,0,1,0,1,1000,1,
,"Atlantic herring",,,,,,,,,
11,"Atlantic herring 0-1",,2,0.5,1,0,1,1000,0,
12,"Atlantic herring 2+",,2,0,1,0,1,1000,0,
13,anchovies,,2,0,1,0,1,1000,0,
14,benthos,,2,0,1,0,1,1000,0,
15,zooplankton,,2,0,1,0,1,1000,0,
16,phytoplankton,2,,,,,,,,
