Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,"SB juv comp YOY","SB 2-5 MRIP CPUE","SB 2-5 CT LISTS","SB adult MRIP CPUE","SB adult CT LISTS","AM juv jai","AM adult nad","AM adult mad","AM adult sad","SDF biomass","BF juv comp YOY","BF adult MRIP CPUE","BF adult NC PSIGNS","WF juv comp yoy","WF adult MRIP","WF adult DE trawl","AH adult NEFSC-A","AH adult NEFSC-B","SB 2-5 F","SB adult F","AM juv F","AM adult F","BF juv F","BF adult F","WF juv F","WF adult F","AH juv F","AH adult F","SDF landings","SB 2-5 C","SB adult C","AM adult C","BF adult C","WF juv C","WF adult C","AH adult landings","AM juv C","BF juv C","AH juv landings",
Weight,3.475879,2.015366,2.68561,2.015366,2.68561,1.980792,1.476015,1.419355,1.786854,2.5,2.202296,9.924663,6.08229,3.136882,2.867072,1.603325,1.412273,1.841839,1,1,1,1,1,1,1,1,1,1,1,12.65457,12.65457,21.66583,6.937714,7.457739,7.457739,10,0,0,0,
Target,"1: striped bass 0","2: striped bass 2-5","2: striped bass 2-5","3: striped bass 6+","3: striped bass 6+","4: menhaden juv","5: menhaden adult","5: menhaden adult","5: menhaden adult","6: spiny dogfish","7: bluefish juv","8: bluefish adult","8: bluefish adult","9: weakfish juv","10: weakfish adult","10: weakfish adult","12: Atlantic herring 2+","12: Atlantic herring 2+","2: striped bass 2-5","3: striped bass 6+","4: menhaden juv","5: menhaden adult","7: bluefish juv","8: bluefish adult","9: weakfish juv","10: weakfish adult","11: Atlantic herring 0-1","12: Atlantic herring 2+","6: spiny dogfish","2: striped bass 2-5","3: striped bass 6+","5: menhaden adult","8: bluefish adult","9: weakfish juv","10: weakfish adult","12: Atlantic herring 2+","4: menhaden juv","7: bluefish juv","11: Atlantic herring 0-1",
"2nd target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,"Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Relative biomass (reference) (0)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Fishing mortality (4)","Catches (forcing) (-6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Catches (reference) (6)","Relative catches (reference) (61)","Relative catches (reference) (61)","Relative catches (reference) (61)",
Interval,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,
1985,0.8297,0.04723646,0,0.06347092,0,2.49,0,1.8,0,271.55,1.334032,1.625,0,0.707,0.253,0,2.18,0,0.08935049,0.1737976,0.003576512,0.193086,1.088567,0.2829107,0.01086975,0.222037,0.4516074,0.3950204,0.00514,0.000738,0.00316,0.329,0.0621,2.69E-05,0.00282,0.0592,0.00544,0.00192,0.00207,
1986,0.6511,0.157709,0,0.129158,0,1.82,0,1.77,0,278.2,0.904853,1.669,0,0.937,0.961,0,1.05,0,0.0987844,0.1442665,0.002414426,0.1362563,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0.00332,0.000477,0.000763,0.259,0.13,3.29E-05,0.0058,0.0657,0.00261,0.00177,0.00242,
1987,0.881,0.2619273,0.02927951,0.2166968,0.02403307,0.4,0,1.94,0,550,2.081209,1.653,0,0.466,0.349,0,10.694,0,0.0665535,0.06589811,0.003063653,0.2089894,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0.00343,0.000327,0.000538,0.351,0.115,1.93E-05,0.00339,0.0717,0.00301,0.00175,0.00553,
