,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
1,"striped bass 0",,1.71,3.44,,,2,28.25,1.1,,,,,,,,
2,"striped bass 2-5",,,2,,,,,,,,,,,,,
3,"striped bass 6+",,,,,,,,,,,,,,,,
4,"menhaden juv",411.23,1.02,191.58,,,2,1016.36,12.18,2,403.26,,,,,,
5,"menhaden adult",1797.56,1.02,280.35,,,2,,62.99,,2522.68,,,,,,
6,"spiny dogfish",,,,,,2,,,,,,,,,,
7,"bluefish juv",,2,2,,,,,1.1,,,,,,,,
8,"bluefish adult",,,2,,,,,2,,,,,,,,
9,"weakfish juv",14.61,4.12,,,,,2,1.1,2,2,,,,,,
10,"weakfish adult",,,,,,,,1.1,,2,,,,,,
11,"Atlantic herring 0-1",,1.02,1.69,,,1.05,,1.21,,,2,8.56,,,,
12,"Atlantic herring 2+",,10.93,37.51,,,1.05,,1.1,,,2,1.02,,,,
13,anchovies,88.29,1.02,69.83,,,1.95,25.23,1.02,1.5,1.5,243.31,39.59,,,,
14,benthos,1143.54,1.02,1.03,,,1.05,27413.53,8.89,14238.13,1.5,123.11,360.35,176.03,1.9,2,
15,zooplankton,1.11,1.02,2,558.29,1.3,1.63,164966.8,2,1.5,1.5,8799.61,1431.73,456.86,2,1.13,
16,phytoplankton,,2,2,2008.18,1106.31,,,2,2,2,,,796.36,2,1.56,
17,Detritus,,,,2.87,1E+10,,,,,,,,74983.56,1.05,2,
