EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1985,0.008948988,0.03707979,0.01968698,0.3012064,1.796606,0.2715875,0.00275265,0.1979986,0.001230772,0.0127567,0.008176229,0.1598299,0.273416,14.54429,13.55395,8.595758,12.97357
1986,0.01003813,0.03889173,0.02265969,0.3200651,1.989846,0.2731185,0.002144224,0.1381899,0.001248299,0.01249622,0.01088337,0.1834886,0.2798224,14.53683,13.54115,8.596347,12.97307
1987,0.01161665,0.04156089,0.0273671,0.3174556,2.081054,0.2762175,0.001279587,0.09355386,0.001260346,0.01267815,0.01138284,0.2315552,0.2864372,14.52015,13.53189,8.597629,12.97258
1988,0.01417852,0.04551384,0.03133862,0.3126103,2.046045,0.2799284,0.002307048,0.0761677,0.001284049,0.01186515,0.01611112,0.2806274,0.2923158,14.49619,13.52785,8.599509,12.97287
1989,0.01703672,0.05083895,0.03665274,0.3272659,2.075707,0.2840536,0.00243007,0.08662918,0.00119195,0.01150828,0.02071167,0.3503232,0.2872441,14.46432,13.51991,8.601771,12.97381
1990,0.01944382,0.05756627,0.04649412,0.3400396,2.130075,0.2837439,0.002532848,0.1009936,0.00111084,0.01213196,0.02436974,0.4485702,0.2663953,14.42699,13.50988,8.604176,12.97423
1991,0.02389336,0.0646681,0.0595165,0.3275856,2.174277,0.2831233,0.00214085,0.1065976,0.001052584,0.0114916,0.02989752,0.5529969,0.2323115,14.38566,13.50639,8.606175,12.97449
1992,0.0302839,0.07355159,0.07562836,0.323972,2.23062,0.2845722,0.002057757,0.1080916,0.0009207599,0.01023597,0.03517866,0.6450766,0.1944471,14.34174,13.50395,8.607758,12.9746
1993,0.03793726,0.08394226,0.09478751,0.3392447,2.255198,0.284558,0.002189595,0.1094785,0.0008114972,0.009713992,0.0391748,0.7245103,0.1574735,14.298,13.49927,8.609355,12.97424
1994,0.04667981,0.09564659,0.1157319,0.3523954,2.289847,0.2858391,0.002048401,0.1107756,0.000736963,0.009299626,0.04247968,0.7909302,0.1251191,14.25426,13.49492,8.610816,12.97383
