EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,MortFleetGroup

year,fleet,group,value
1985,1,1,0.0001882295
1985,3,6,0.01892714
1986,1,1,0.0001882295
1986,3,6,0.01216592
1987,1,1,0.0001882295
1987,3,6,0.012431
1988,1,1,0.0001882295
1988,3,6,0.01469982
1989,1,1,0.0001882295
1989,3,6,0.01878854
1990,1,1,0.0001882295
1990,3,6,0.05843567
1991,1,1,0.0001882295
1991,3,6,0.048773
1992,1,1,0.0001882295
1992,3,6,0.06326787
1993,1,1,0.0001882295
1993,3,6,0.07799928
1994,1,1,0.0001882295
1994,3,6,0.07282925
1995,1,1,0.0001882295
1995,3,6,0.08206727
1996,1,1,0.0001882295
1996,3,6,0.09722815
1997,1,1,0.0001882295
1997,3,6,0.06683833
1998,1,1,0.0001882295
1998,3,6,0.0774756
1999,1,1,0.0001882295
1999,3,6,0.06084631
2000,1,1,0.0001882295
2000,3,6,0.04215487
2001,1,1,0.0001882295
2001,3,6,0.02253068
2002,1,1,0.0001882295
2002,3,6,0.02070078
2003,1,1,0.0001882295
2003,3,6,0.009847022
2004,1,1,0.0001882295
2004,3,6,0.01149277
2005,1,1,0.0001882295
2005,3,6,0.01133073
2006,1,1,0.0001882295
2006,3,6,0.01417397
2007,1,1,0.0001882295
2007,3,6,0.01771485
2008,1,1,0.0001882295
2008,3,6,0.01785218
2009,1,1,0.0001882295
2009,3,6,0.01667795
2010,1,1,0.0001882295
2010,3,6,0.01671211
2011,1,1,0.0001882295
2011,3,6,0.02951869
2012,1,1,0.0001882295
2012,3,6,0.03340041
2013,1,1,0.0001882295
2013,3,6,0.02292424
2014,1,1,0.0001882295
2014,3,6,0.03363383
2015,1,1,0.0001882295
2015,3,6,0.02737654
2016,1,1,0.0001882295
2016,3,6,0.03849231
2017,1,1,0.0001882295
2017,3,6,0.03531226
