EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

timestep\group,"spiny dogfish",
1,0.00121581
2,0.00121455
3,0.00121336
4,0.001212212
5,0.001211104
6,0.001210033
7,0.001208997
8,0.001207989
9,0.001207007
10,0.001206046
11,0.001205101
12,0.001204169
13,0.001202848
14,0.001201457
15,0.001200023
16,0.001198537
17,0.001196996
18,0.0011954
19,0.001193753
20,0.001192061
21,0.001190332
22,0.001188578
23,0.001186809
24,0.001185039
25,0.001183041
26,0.001181056
27,0.001179085
28,0.001177138
29,0.00117522
30,0.001173333
31,0.001171475
32,0.001169644
33,0.001167833
34,0.001166038
35,0.001164253
36,0.001162473
37,0.001160549
38,0.001158584
39,0.001156577
40,0.001154517
41,0.001152401
42,0.001150233
43,0.001148024
44,0.001145788
45,0.001143546
46,0.001141323
47,0.001139145
48,0.001137037
49,0.001133868
50,0.001130687
51,0.001127534
52,0.001124415
53,0.001121338
54,0.001118309
55,0.001115334
56,0.001112421
57,0.001109575
58,0.001106803
59,0.001104109
60,0.001101498
61,0.001093891
62,0.001086397
63,0.001079072
64,0.001071924
65,0.001064958
66,0.001058179
67,0.001051589
68,0.001045191
69,0.001038984
70,0.001032968
71,0.001027142
72,0.001021503
73,0.001016648
74,0.001011972
75,0.001007489
76,0.001003198
77,0.000999095
78,0.0009951772
79,0.000991441
80,0.0009878838
81,0.0009845011
82,0.0009812899
83,0.0009782462
84,0.000975367
85,0.0009713287
86,0.000967469
87,0.0009637803
88,0.0009602601
89,0.0009569061
90,0.0009537157
91,0.0009506872
92,0.0009478183
93,0.0009451068
94,0.0009425518
95,0.0009401501
96,0.0009379007
97,0.0009339676
98,0.0009301972
99,0.0009266066
100,0.0009231934
101,0.0009199547
102,0.0009168882
103,0.0009139897
104,0.0009112558
105,0.0009086824
106,0.0009062652
107,0.0009040002
108,0.0009018831
109,0.0008999986
110,0.0008982536
111,0.0008966596
112,0.0008952123
113,0.0008939066
114,0.0008927386
115,0.0008917028
116,0.000890794
117,0.0008900072
118,0.000889337
119,0.0008887782
120,0.0008883261
121,0.0008893183
122,0.0008903936
123,0.0008914519
124,0.0008924923
125,0.0008935151
126,0.0008945215
127,0.0008955155
128,0.0008964998
129,0.0008974793
130,0.0008984583
131,0.0008994414
132,0.0009004331
133,0.0008993535
134,0.000898283
135,0.0008972543
136,0.0008962668
137,0.0008953207
138,0.0008944149
139,0.0008935489
140,0.0008927213
141,0.0008919302
142,0.000891175
143,0.0008904531
144,0.0008897627
145,0.0008921662
146,0.0008945743
147,0.0008969773
148,0.0008993748
149,0.0009017657
150,0.0009041498
151,0.0009065255
152,0.0009088916
153,0.0009112472
154,0.0009135905
155,0.00091592
156,0.000918235
157,0.0009192672
158,0.0009202733
159,0.0009212622
160,0.0009222339
161,0.0009231884
162,0.000924126
163,0.0009250478
164,0.0009259547
165,0.0009268471
166,0.0009277263
167,0.0009285932
168,0.0009294481
169,0.0009321719
170,0.0009348502
171,0.0009374702
172,0.000940034
173,0.000942544
174,0.0009450011
175,0.0009474084
176,0.0009497676
177,0.0009520807
178,0.0009543499
179,0.0009565766
180,0.0009587626
181,0.0009619037
182,0.0009650012
183,0.0009680864
184,0.0009711585
185,0.0009742174
186,0.0009772613
187,0.0009802884
188,0.0009832963
189,0.0009862824
190,0.0009892444
191,0.0009921798
192,0.0009950853
193,0.001000767
194,0.001006387
195,0.001011904
196,0.001017318
197,0.00102263
198,0.001027843
199,0.001032957
200,0.001037978
201,0.001042907
202,0.00104775
203,0.00105251
204,0.00105719
205,0.00106144
206,0.001065626
207,0.001069768
208,0.001073867
209,0.001077924
210,0.001081937
211,0.001085906
212,0.001089827
213,0.001093698
214,0.001097515
215,0.001101275
216,0.001104975
217,0.001110337
218,0.001115614
219,0.001120777
220,0.001125827
221,0.001130764
222,0.001135592
223,0.001140314
224,0.001144935
225,0.001149459
226,0.001153893
227,0.001158241
228,0.001162509
229,0.001166783
230,0.001170966
231,0.001175051
232,0.001179039
233,0.001182933
234,0.001186736
235,0.00119045
236,0.001194079
237,0.001197625
238,0.001201091
239,0.001204479
240,0.001207793
241,0.001211026
242,0.001214179
243,0.001217254
244,0.001220253
245,0.001223178
246,0.001226032
247,0.001228815
248,0.001231531
249,0.001234182
250,0.001236769
251,0.001239296
252,0.001241763
253,0.001244989
254,0.001248196
255,0.001251332
256,0.001254401
257,0.001257404
258,0.001260342
259,0.001263213
260,0.001266012
261,0.001268739
262,0.001271387
263,0.001273953
264,0.001276434
265,0.001278406
266,0.001280267
267,0.001282023
268,0.001283671
269,0.001285215
270,0.001286658
271,0.001288006
272,0.001289266
273,0.001290448
274,0.001291561
275,0.001292616
276,0.00129362
277,0.001294418
278,0.001295146
279,0.001295818
280,0.001296436
281,0.001297005
282,0.001297528
283,0.001298008
284,0.001298447
285,0.001298848
286,0.001299211
287,0.001299539
288,0.001299833
289,0.001302508
290,0.001305101
291,0.001307516
292,0.001309759
293,0.001311838
294,0.001313763
295,0.001315544
296,0.001317197
297,0.001318735
298,0.001320173
299,0.001321526
300,0.00132281
301,0.001320553
302,0.00131822
303,0.00131597
304,0.001313806
305,0.001311729
306,0.001309736
307,0.001307819
308,0.001305973
309,0.001304186
310,0.001302449
311,0.00130075
312,0.001299078
313,0.001296554
314,0.001294115
315,0.001291737
316,0.001289417
317,0.001287149
318,0.00128493
319,0.001282755
320,0.00128062
321,0.001278522
322,0.001276457
323,0.001274422
324,0.001272414
325,0.001270306
326,0.00126822
327,0.001266146
328,0.001264082
329,0.001262027
330,0.00125998
331,0.001257942
332,0.001255914
