EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,TLC

year,value
1985,3.021103
1986,3.132396
1987,2.968326
1988,2.936997
1989,2.955997
1990,2.94737
1991,2.995766
1992,3.115854
1993,3.082269
1994,3.122457
1995,3.104007
1996,3.100188
1997,3.094168
1998,3.097239
1999,3.238169
2000,3.228352
2001,3.151446
2002,3.183406
2003,3.20102
2004,3.161119
2005,3.133577
2006,3.216938
2007,3.214898
2008,3.195299
2009,3.210869
2010,3.116991
2011,3.206155
2012,3.168146
2013,3.175234
2014,3.140662
2015,3.135457
2016,3.230191
2017,3.271514
