EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:27:31 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1985,1.684464E-06,0,0,0,0,0.005140373,0,0,0,0,0,0,0,0,0,0,0
1986,1.889473E-06,0,0,0,0,0.003322711,0,0,0,0,0,0,0,0,0,0,0
1987,2.186596E-06,0,0,0,0,0.003433614,0,0,0,0,0,0,0,0,0,0,0
1988,2.668815E-06,0,0,0,0,0.00411483,0,0,0,0,0,0,0,0,0,0,0
1989,3.206813E-06,0,0,0,0,0.005336849,0,0,0,0,0,0,0,0,0,0,0
1990,3.6599E-06,0,0,0,0,0.01658049,0,0,0,0,0,0,0,0,0,0,0
1991,4.497436E-06,0,0,0,0,0.01380871,0,0,0,0,0,0,0,0,0,0,0
1992,5.700324E-06,0,0,0,0,0.01800426,0,0,0,0,0,0,0,0,0,0,0
1993,7.140913E-06,0,0,0,0,0.0221953,0,0,0,0,0,0,0,0,0,0,0
1994,8.786517E-06,0,0,0,0,0.02081727,0,0,0,0,0,0,0,0,0,0,0
1995,1.053637E-05,0,0,0,0,0.02360325,0,0,0,0,0,0,0,0,0,0,0
1996,1.210642E-05,0,0,0,0,0.02776779,0,0,0,0,0,0,0,0,0,0,0
1997,1.321126E-05,0,0,0,0,0.0191227,0,0,0,0,0,0,0,0,0,0,0
1998,1.391418E-05,0,0,0,0,0.02229857,0,0,0,0,0,0,0,0,0,0,0
1999,1.392024E-05,0,0,0,0,0.01761641,0,0,0,0,0,0,0,0,0,0,0
2000,1.317376E-05,0,0,0,0,0.01242425,0,0,0,0,0,0,0,0,0,0,0
2001,1.239307E-05,0,0,0,0,0.006839375,0,0,0,0,0,0,0,0,0,0,0
2002,1.216153E-05,0,0,0,0,0.006474411,0,0,0,0,0,0,0,0,0,0,0
2003,1.182075E-05,0,0,0,0,0.003167676,0,0,0,0,0,0,0,0,0,0,0
2004,1.159841E-05,0,0,0,0,0.003786179,0,0,0,0,0,0,0,0,0,0,0
2005,1.140509E-05,0,0,0,0,0.00379439,0,0,0,0,0,0,0,0,0,0,0
2006,1.110743E-05,0,0,0,0,0.00479236,0,0,0,0,0,0,0,0,0,0,0
2007,1.059848E-05,0,0,0,0,0.005999165,0,0,0,0,0,0,0,0,0,0,0
2008,9.968523E-06,0,0,0,0,0.006028129,0,0,0,0,0,0,0,0,0,0,0
2009,9.296691E-06,0,0,0,0,0.005607622,0,0,0,0,0,0,0,0,0,0,0
2010,8.660398E-06,0,0,0,0,0.005587636,0,0,0,0,0,0,0,0,0,0,0
2011,8.075337E-06,0,0,0,0,0.009767951,0,0,0,0,0,0,0,0,0,0,0
2012,8.019243E-06,0,0,0,0,0.01088589,0,0,0,0,0,0,0,0,0,0,0
2013,8.279295E-06,0,0,0,0,0.007408341,0,0,0,0,0,0,0,0,0,0,0
2014,8.566761E-06,0,0,0,0,0.01079005,0,0,0,0,0,0,0,0,0,0,0
2015,8.644525E-06,0,0,0,0,0.008728434,0,0,0,0,0,0,0,0,0,0,0
2016,8.600401E-06,0,0,0,0,0.01218909,0,0,0,0,0,0,0,0,0,0,0
2017,8.415708E-06,0,0,0,0,0.01109482,0,0,0,0,0,0,0,0,0,0,0
