,Fleet\group,"F.striped bass (/year)","F.menhaden (/year)","F.spiny dogfish (/year)","F.bluefish (/year)","F.weakfish (/year)","F.herring (/year)",
1,"striped bass 0",0.0001882295,0,0,0,0,0,
2,"striped bass 2-5",0.02040475,0,0,0,0,0,
3,"striped bass 6+",0.1712137,0,0,0,0,0,
4,"menhaden 0",0,0.01048094,0,0,0,0,
5,"menhaden 1",0,0.04262585,0,0,0,0,
6,"menhaden 2",0,0.1486765,0,0,0,0,
7,"menhaden 3",0,0.1042291,0,0,0,0,
8,"menhaden 4",0,0.2424774,0,0,0,0,
9,"menhaden 5",0,0.1664599,0,0,0,0,
10,"menhaden 6+",0,0.146432,0,0,0,0,
11,"spiny dogfish",0,0,0.01893923,0,0,0,
12,"bluefish juv",0,0,0,0.1732512,0,0,
13,"bluefish adult",0,0,0,0.1476333,0,0,
14,"weakfish juv",0,0,0,0,0.0219798,0,
15,"weakfish adult",0,0,0,0,0.2220977,0,
16,"Atlantic herring 0-1",0,0,0,0,0,0.2481735,
17,"Atlantic herring 2+",0,0,0,0,0,0.3951277,
18,anchovies,0,0,0,0,0,0,
19,benthos,0,0,0,0,0,0,
20,zooplankton,0,0,0,0,0,0,
21,phytoplankton,0,0,0,0,0,0,
