,"Group name","Prod/biom or Z","= Fishing mort. rate","+ Predation mort. rate (/year)","+ Biomass accum. rate (/year)","+ Net migration rate (/year)","+ Other mort. rate (/year)","Fishing mort. / total mort.","Proportion natural mort.",
,"striped bass",,,,,,,,,
1,"striped bass 0",1.132,0.0001882295,0.1008456,0.113,,1.030966,0.0001664203,0.9998336,
2,"striped bass 2-5",0.582,0.02040475,0.0009233638,0.113,,0.5606719,0.03530758,0.9646924,
3,"striped bass 6+",0.335,0.1712137,,0.113,,0.1637863,0.5142916,0.4857084,
,menhaden,,,,,,,,,
4,"menhaden 0",1.764,0.01048094,0.06597702,0.114,,1.687542,0.006147648,0.9938524,
5,"menhaden 1",1.364317,0.04262585,0.01633379,0.114,,1.305357,0.0360098,0.9639902,
6,"menhaden 2",1.45908,0.1486765,0.01798871,0.114,,1.292415,0.1117739,0.8882261,
7,"menhaden 3",1.480156,0.1042291,0.004593182,0.114,,1.371334,0.07290317,0.9270968,
8,"menhaden 4",1.276322,0.2424774,0.01277803,0.114,,1.021067,0.192443,0.807557,
9,"menhaden 5",1.136589,0.1664599,0.03555217,0.114,,0.934577,0.1471685,0.8528315,
10,"menhaden 6+",0.8619948,0.146432,0.05246453,0.114,,0.6630983,0.1705751,0.8294249,
11,"spiny dogfish",0.321,0.01893923,0.001215259,,,0.3008455,0.0590007,0.9409993,
,bluefish,,,,,,,,,
12,"bluefish juv",2.069,0.1732512,1.595693,-0.0639,,0.3000561,0.08372549,0.9162745,
13,"bluefish adult",0.656,0.1476333,0.002347725,-0.0639,,0.5060189,0.2203355,0.7796645,
,weakfish,,,,,,,,,
14,"weakfish juv",1.453,0.0219798,1.312838,,,0.1181817,0.01512719,0.9848728,
15,"weakfish adult",1.31,0.2220977,0.08025436,,,1.007648,0.1695403,0.8304597,
,"Atlantic herring",,,,,,,,,
16,"Atlantic herring 0-1",1.371,0.2481735,0.8947825,0.137,,0.228044,0.1811671,0.8188329,
17,"Atlantic herring 2+",0.823,0.3951277,0.3767639,0.137,,0.05110844,0.4923764,0.5076237,
18,anchovies,2.2,,0.9518511,,,1.248149,0,1,
19,benthos,2.431595,,1.266279,,,1.165316,0,1,
20,zooplankton,45.85,,42.16411,,,3.685886,0,1,
21,phytoplankton,186.4362,,125.3734,,,61.0628,0,1,
