EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/13/2022 12:06:43 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
1,0.005140005,,0.003242446,,0.00324081,,0.05679598,,0.3466825,,0.1927969,,0.05350806,,0.01570208,,0.004538701,,0.06106785,,1.329248E-05,,0.002819896,,0.05980213,,0.001040635,,0.00428259,,0.003737557,,
2,0.005140063,,0.003253744,,0.003268218,,0.05684732,,0.3416523,,0.1864436,,0.05244697,,0.01546476,,0.004530461,,0.06000116,,1.330406E-05,,0.002820023,,0.06045833,,0.00104189,,0.003913549,,0.003716722,,
3,0.005140125,,0.003264748,,0.00329485,,0.05689779,,0.3376845,,0.1809992,,0.0513351,,0.0152456,,0.004519193,,0.05896383,,1.331555E-05,,0.002820345,,0.06110326,,0.001043053,,0.003593339,,0.003696967,,
4,0.005140188,,0.003275547,,0.003320851,,0.05694861,,0.3345953,,0.1762858,,0.05018898,,0.01504307,,0.004505433,,0.05795727,,1.332748E-05,,0.002820921,,0.06173542,,0.001043809,,0.003316327,,0.003679064,,
5,0.005140249,,0.003286205,,0.003346328,,0.05700083,,0.3322399,,0.172161,,0.04901982,,0.01485595,,0.004489621,,0.05698217,,1.333993E-05,,0.002821785,,0.06235325,,0.001043747,,0.003078427,,0.003664189,,
6,0.005140309,0.00514,0.003296768,0.000738,0.003371357,0.00316,0.05705536,0.06752375,0.3305031,0.1681429,0.1685106,0.04613868,0.04783512,0.03472481,0.0146832,0.008039044,0.004472115,0.004539933,0.05603864,0.0621,1.335266E-05,2.69E-05,0.002822945,0.00282,0.06295524,0.0592,0.001042429,0.0007895832,0.002876809,0.001836534,0.003653836,0.001626022,
7,0.005140368,,0.003307259,,0.003395984,,0.05711311,,0.3292926,,0.1652426,,0.04663968,,0.01452393,,0.004453212,,0.05512635,,1.336523E-05,,0.00282439,,0.06354001,,0.001039429,,0.002709541,,0.003649689,,
8,0.005140426,,0.003317685,,0.003420233,,0.05717495,,0.3285336,,0.1622829,,0.04543654,,0.01437736,,0.004433153,,0.05424459,,1.337712E-05,,0.002826091,,0.06410629,,0.001034376,,0.002575234,,0.003653502,,
9,0.005140482,,0.003328039,,0.003444104,,0.05724179,,0.3281645,,0.1595714,,0.04422757,,0.01424277,,0.004412137,,0.05339246,,1.338778E-05,,0.002828008,,0.06465291,,0.001026974,,0.002472729,,0.003667008,,
10,0.005140537,,0.003338304,,0.003467585,,0.05731452,,0.3281341,,0.1570598,,0.04301389,,0.0141195,,0.004390325,,0.05256887,,1.339672E-05,,0.002830092,,0.06517886,,0.001017018,,0.002400857,,0.003691834,,
11,0.005140591,,0.003348455,,0.00349065,,0.05739412,,0.3283989,,0.154709,,0.0417962,,0.01400691,,0.00436785,,0.05177268,,1.340356E-05,,0.00283229,,0.06568323,,0.001004388,,0.002358262,,0.003729442,,
12,0.005140644,,0.003358464,,0.003513267,,0.05748162,,0.3289217,,0.1524873,,0.04057498,,0.01390437,,0.00434482,,0.05100271,,1.340805E-05,,0.00283455,,0.06616525,,0.0009890472,,0.00234332,,0.003781082,,
13,0.003322312,,0.003721333,,0.002942724,,0.03751526,,0.1730564,,0.06710467,,0.01553828,,0.004514735,,0.001375497,,0.1227572,,2.102941E-05,,0.004149119,,0.05699929,,0.0006607862,,0.002322441,,0.0004349463,,
14,0.003322367,,0.003730062,,0.002969472,,0.03750509,,0.175693,,0.06818584,,0.01554999,,0.004559603,,0.001381037,,0.1166533,,2.103711E-05,,0.004120161,,0.05772785,,0.0006554874,,0.002316304,,0.0004546897,,
15,0.003322424,,0.003739254,,0.002996559,,0.03745609,,0.1779286,,0.06924887,,0.01558243,,0.004592859,,0.001386875,,0.1110726,,2.105309E-05,,0.004095031,,0.05848278,,0.0006514757,,0.002313243,,0.0004750378,,
16,0.003322482,,0.003748912,,0.00302396,,0.03737619,,0.1798304,,0.07030106,,0.0156328,,0.004615504,,0.001392977,,0.1059683,,2.107464E-05,,0.004073279,,0.05926913,,0.0006485942,,0.002312114,,0.0004958267,,
17,0.003322542,,0.003759044,,0.003051656,,0.03727103,,0.1814547,,0.07134943,,0.01569879,,0.004628337,,0.001399325,,0.1012979,,2.109908E-05,,0.004054532,,0.06009206,,0.0006468153,,0.002311562,,0.000516783,,
18,0.003322605,0.00332,0.003769661,0.000477,0.003079636,0.000763,0.0371445,0.03694161,0.182848,0.1675308,0.07240063,0.04395798,0.01577848,0.005666759,0.004632003,0.003656303,0.001405914,0.00099049,0.09702354,0.13,2.112364E-05,3.29E-05,0.004038482,0.0058,0.0609568,0.0657,0.0006461993,0.0003788258,0.002310138,0.001693055,0.0005375276,0.001900954,
19,0.00332267,,0.003780784,,0.003107904,,0.03699913,,0.1840494,,0.07346079,,0.01587026,,0.004627033,,0.001412746,,0.09311076,,2.114542E-05,,0.004024886,,0.06186857,,0.0006468579,,0.002306395,,0.0005575846,,
20,0.003322738,,0.003792441,,0.00313647,,0.03683642,,0.1850913,,0.07453555,,0.01597273,,0.004613871,,0.001419834,,0.08952861,,2.116146E-05,,0.004013548,,0.06283252,,0.0006489249,,0.002298956,,0.0005763987,,
21,0.003322808,,0.003804662,,0.003165359,,0.03665698,,0.1860007,,0.07562995,,0.01608467,,0.004592897,,0.00142719,,0.08624918,,2.11688E-05,,0.004004321,,0.06385369,,0.0006525328,,0.002286543,,0.0005933541,,
22,0.00332288,,0.003817488,,0.003194602,,0.03646073,,0.1868007,,0.07674848,,0.01620498,,0.00456445,,0.001434833,,0.0832473,,2.116456E-05,,0.003997091,,0.06493697,,0.0006577974,,0.002267939,,0.000607794,,
23,0.003322953,,0.003830958,,0.003224237,,0.036247,,0.1875108,,0.07789507,,0.01633267,,0.004528832,,0.001442782,,0.08050023,,2.114604E-05,,0.003991777,,0.06608712,,0.000664807,,0.002241995,,0.0006190403,,
24,0.003323027,,0.003845115,,0.003254313,,0.03601481,,0.1881482,,0.07907316,,0.01646682,,0.004486327,,0.001451059,,0.07798745,,2.111076E-05,,0.003988319,,0.0673087,,0.0006736065,,0.002207628,,0.0006264106,,
25,0.003433094,,0.002607404,,0.001510344,,0.0456692,,0.2436256,,0.1013501,,0.02108013,,0.00605924,,0.002072902,,0.07863756,,2.660143E-05,,0.003228375,,0.05375959,,0.0008636891,,0.003943161,,0.005697371,,
26,0.00343318,,0.002624166,,0.001534333,,0.04564745,,0.2421532,,0.101823,,0.02117099,,0.006007354,,0.002076586,,0.07618126,,2.660487E-05,,0.003242319,,0.05505234,,0.0008708371,,0.003538287,,0.005571161,,
27,0.003433265,,0.002640825,,0.001558567,,0.04571191,,0.2406306,,0.1021711,,0.0212709,,0.005967652,,0.002078363,,0.07390723,,2.662725E-05,,0.003255503,,0.05634787,,0.0008764337,,0.003207923,,0.005450983,,
28,0.003433351,,0.002657388,,0.001583059,,0.0458393,,0.239112,,0.1024222,,0.02138079,,0.005938407,,0.00207842,,0.07180336,,2.666466E-05,,0.003268128,,0.05764093,,0.0008806638,,0.002938868,,0.00533937,,
29,0.003433436,,0.002673863,,0.001607817,,0.04601242,,0.2376264,,0.1025984,,0.02150165,,0.005918214,,0.0020769,,0.06985752,,2.671525E-05,,0.003280347,,0.05892627,,0.0008836712,,0.00272146,,0.005239962,,
30,0.003433521,0.00343,0.002690252,0.000327,0.001632846,0.000538,0.04621862,0.03206667,0.2361865,0.1826588,0.1027166,0.1134515,0.02163443,0.0187305,0.005905919,0.002501237,0.002073915,0.001608549,0.06805783,0.115,2.677842E-05,1.93E-05,0.003292279,0.00339,0.06019884,0.0717,0.000885576,0.0004368834,0.002548696,0.001673924,0.005157249,0.004343915,
31,0.003433605,,0.002706559,,0.001658149,,0.04644875,,0.2347931,,0.10279,,0.02178,,0.005900571,,0.002069555,,0.0663927,,2.685432E-05,,0.00330401,,0.06145376,,0.0008864878,,0.002415682,,0.00509631,,
32,0.00343369,,0.002722781,,0.001683725,,0.04669632,,0.2334392,,0.1028287,,0.02193917,,0.005901371,,0.002063895,,0.06485106,,2.694347E-05,,0.003315605,,0.06268651,,0.0008865129,,0.002318989,,0.005062525,,
33,0.003433774,,0.002738914,,0.001709573,,0.04695692,,0.2321125,,0.1028404,,0.02211262,,0.005907641,,0.002056996,,0.06342234,,2.704655E-05,,0.003327107,,0.06389284,,0.000885761,,0.00225603,,0.005061291,,
