EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/8/2022 10:45:12 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9997508,1,1,0.9997769,1,1,1,1,1,1,1,0.9997939,1,0.9998747,1,0.9997531,1,1,1,1,1,1
2,1.000524,1,1,0.9999332,1,1,1,1,1,1,1,1.002281,1,1.00006,1,0.9998399,1,1,1,1,1,1
3,1.001738,1,1,1.000082,1,1,1,1,1,1,1,1.006031,1,1.000336,1,0.9998618,1,1,1,1,1,1
4,1.003151,1,1,1.000182,1,1,1,1,1,1,1,1.010184,1,1.000604,1,0.9998267,1,1,1,1,1,1
5,1.004623,1,1,1.000201,1,1,1,1,1,1,1,1.014353,1,1.000794,1,0.9997572,1,1,1,1,1,1
6,1.006072,1,1,1.00011,1,1,1,1,1,1,1,1.018488,1,1.000858,1,0.9996689,1,1,1,1,1,1
7,1.007459,1,1,0.9998784,1,1,1,1,1,1,1,1.022701,1,1.000769,1,0.9995712,1,1,1,1,1,1
8,1.00877,1,1,0.999486,1,1,1,1,1,1,1,1.027091,1,1.000515,1,0.999469,1,1,1,1,1,1
9,1.010011,1,1,0.9989193,1,1,1,1,1,1,1,1.031617,1,1.000096,1,0.9993645,1,1,1,1,1,1
10,1.011197,1,1,0.9981731,1,1,1,1,1,1,1,1.036031,1,0.9995257,1,0.9992577,1,1,1,1,1,1
11,1.012347,1,1,0.9972498,1,1,1,1,1,1,1,1.039881,1,0.9988264,1,0.9991476,1,1,1,1,1,1
12,1.013482,1,1,0.9961576,1,1,1,1,1,1,1,1.042578,1,0.9980252,1,0.9990324,1,1,1,1,1,1
13,1.01462,1,1,0.994909,1,1,1,1,1,1,1,1.043505,1,0.9971531,1,0.9989106,1,1,1,1,1,1
14,1.015635,1,1,0.9937682,1,1,1,1,1,1,1,1.042908,1,0.9961048,1,0.9988089,1,1,1,1,1,1
15,1.016547,1,1,0.9928076,1,1,1,1,1,1,1,1.04105,1,0.9950052,1,0.9987399,1,1,1,1,1,1
16,1.017376,1,1,0.9920535,1,1,1,1,1,1,1,1.038072,1,0.9939294,1,0.9987007,1,1,1,1,1,1
17,1.018145,1,1,0.9915146,1,1,1,1,1,1,1,1.034029,1,0.9929011,1,0.9986835,1,1,1,1,1,1
18,1.018869,1,1,0.9911936,1,1,1,1,1,1,1,1.028963,1,0.9918986,1,0.9986793,1,1,1,1,1,1
19,1.019561,1,1,0.9910911,1,1,1,1,1,1,1,1.022963,1,0.9908674,1,0.9986814,1,1,1,1,1,1
20,1.020225,1,1,0.9912055,1,1,1,1,1,1,1,1.016191,1,0.9897339,1,0.9986854,1,1,1,1,1,1
21,1.020862,1,1,0.9915317,1,1,1,1,1,1,1,1.008897,1,0.9884185,1,0.9986891,1,1,1,1,1,1
22,1.021468,1,1,0.9920618,1,1,1,1,1,1,1,1.001402,1,0.9868476,1,0.9986918,1,1,1,1,1,1
23,1.022038,1,1,0.9927838,1,1,1,1,1,1,1,0.9940854,1,0.9849623,1,0.9986952,1,1,1,1,1,1
24,1.022565,1,1,0.9936829,1,1,1,1,1,1,1,0.9873658,1,0.982724,1,0.9987012,1,1,1,1,1,1
25,1.02304,1,1,0.9947411,1,1,1,1,1,1,1,0.9816841,1,0.9801177,1,0.9987128,1,1,1,1,1,1
26,1.023689,1,1,0.9957739,1,1,1,1,1,1,1,0.980038,1,0.9773879,1,0.9986746,1,1,1,1,1,1
27,1.024419,1,1,0.9966921,1,1,1,1,1,1,1,0.9806955,1,0.9747613,1,0.9986047,1,1,1,1,1,1
28,1.025189,1,1,0.997459,1,1,1,1,1,1,1,0.9825795,1,0.9724195,1,0.9985177,1,1,1,1,1,1
29,1.02598,1,1,0.9980645,1,1,1,1,1,1,1,0.9851813,1,0.9705065,1,0.9984248,1,1,1,1,1,1
30,1.026794,1,1,0.9985131,1,1,1,1,1,1,1,0.9883488,1,0.9691318,1,0.9983351,1,1,1,1,1,1
31,1.027638,1,1,0.9988164,1,1,1,1,1,1,1,0.9920503,1,0.9683717,1,0.9982554,1,1,1,1,1,1
32,1.028523,1,1,0.9989899,1,1,1,1,1,1,1,0.9961735,1,0.9682707,1,0.9981895,1,1,1,1,1,1
33,1.029461,1,1,0.9990514,1,1,1,1,1,1,1,1.000405,1,0.9688422,1,0.9981391,1,1,1,1,1,1
34,1.030461,1,1,0.9990197,1,1,1,1,1,1,1,1.004213,1,0.970072,1,0.9981034,1,1,1,1,1,1
35,1.03153,1,1,0.9989145,1,1,1,1,1,1,1,1.006916,1,0.9719214,1,0.9980797,1,1,1,1,1,1
36,1.032671,1,1,0.9987556,1,1,1,1,1,1,1,1.007802,1,0.9743319,1,0.9980644,1,1,1,1,1,1
37,1.033883,1,1,0.9985615,1,1,1,1,1,1,1,1.006251,1,0.9772313,1,0.9980531,1,1,1,1,1,1
38,1.035079,1,1,0.9983797,1,1,1,1,1,1,1,0.9981991,1,0.9802716,1,0.998107,1,1,1,1,1,1
39,1.036276,1,1,0.9982366,1,1,1,1,1,1,1,0.9866372,1,0.9832443,1,0.9981925,1,1,1,1,1,1
40,1.037478,1,1,0.9981451,1,1,1,1,1,1,1,0.9733493,1,0.9859255,1,0.9982933,1,1,1,1,1,1
