EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:28:06 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad 1","biomass (observed) AM adult nad 1","biomass (predicted) AM adult nad 2","biomass (observed) AM adult nad 2","biomass (predicted) AM adult nad 3","biomass (observed) AM adult nad 3","biomass (predicted) AM adult nad 4","biomass (observed) AM adult nad 4","biomass (predicted) AM adult nad 5","biomass (observed) AM adult nad 5","biomass (predicted) AM adult nad 6+","biomass (observed) AM adult nad 6+","biomass (predicted) AM adult mad 1","biomass (observed) AM adult mad 1","biomass (predicted) AM adult mad 2","biomass (observed) AM adult mad 2","biomass (predicted) AM adult mad 3","biomass (observed) AM adult mad 3","biomass (predicted) AM adult mad 4","biomass (observed) AM adult mad 4","biomass (predicted) AM adult mad 5","biomass (observed) AM adult mad 5","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
1,0.008490963,,0.03625497,,0.03625497,,0.01863835,,0.01863835,,0.183611,,0.9521046,,0.7406586,,0.3038729,,0.1073297,,0.03953931,,0.03099987,,0.9521046,,0.7406586,,0.3038729,,0.1073297,,0.03953931,,0.2715025,,0.003932922,,0.2157825,,0.2157825,,0.001222364,,0.01269469,,0.01269469,,0.1514261,,0.1514261,,
2,0.008554372,,0.03631082,,0.03631082,,0.01877254,,0.01877254,,0.09759548,,0.9218379,,0.7300802,,0.2939335,,0.1052242,,0.03894746,,0.03094759,,0.9218379,,0.7300802,,0.2939335,,0.1052242,,0.03894746,,0.2715099,,0.003633744,,0.2118224,,0.2118224,,0.001220921,,0.0126819,,0.0126819,,0.1529909,,0.1529909,,
3,0.008606535,,0.03630959,,0.03630959,,0.01888032,,0.01888032,,0.04988645,,0.8844937,,0.7218277,,0.2854218,,0.1030155,,0.03839955,,0.03087292,,0.8844937,,0.7218277,,0.2854218,,0.1030155,,0.03839955,,0.2715178,,0.003401758,,0.2078119,,0.2078119,,0.001217882,,0.01265952,,0.01265952,,0.1544091,,0.1544091,,
4,0.008658157,,0.03629823,,0.03629823,,0.01897592,,0.01897592,,0.02421598,,0.8442863,,0.7156192,,0.2780499,,0.100735,,0.03789182,,0.03077953,,0.8442863,,0.7156192,,0.2780499,,0.100735,,0.03789182,,0.2715291,,0.003223243,,0.2038691,,0.2038691,,0.001215356,,0.01263707,,0.01263707,,0.1557017,,0.1557017,,
5,0.008712127,,0.03629142,,0.03629142,,0.01906422,,0.01906422,,0.01096944,,0.8033589,,0.7112859,,0.2715914,,0.0984046,,0.03742143,,0.03067056,,0.8033589,,0.7112859,,0.2715914,,0.0984046,,0.03742143,,0.2715441,,0.00308653,,0.2000304,,0.2000304,,0.001213789,,0.01261747,,0.01261747,,0.1568861,,0.1568861,,
6,0.008768735,0.005879917,0.03629211,0.002322898,0.03629211,,0.01914661,0.001891494,0.01914661,,0.004519641,1.214217E-18,0.762562,,0.7087346,,0.2658669,,0.09603953,,0.03698608,,0.03054865,,0.762562,,0.7087346,,0.2658669,,0.09603953,,0.03698608,,0.2715626,0.1289576,0.0029831,0.00463054,0.1963029,0.133784,0.1963029,,0.001213086,0.001069897,0.01260137,0.02066852,0.01260137,,0.1579766,0.02378519,0.1579766,,
7,0.008827599,,0.0363002,,0.0363002,,0.01922356,,0.01922356,,0.001626193,,0.7219583,,0.7079213,,0.2607335,,0.09365009,,0.03658388,,0.03041601,,0.7219583,,0.7079213,,0.2607335,,0.09365009,,0.03658388,,0.2715843,,0.002907419,,0.1926848,,0.1926848,,0.001213042,,0.01258878,,0.01258878,,0.1589851,,0.1589851,,
8,0.008888226,,0.03631529,,0.03631529,,0.0192954,,0.0192954,,0.0004752376,,0.6811501,,0.7088339,,0.2560765,,0.0912431,,0.03621311,,0.03027447,,0.6811501,,0.7088339,,0.2560765,,0.0912431,,0.03621311,,0.2716091,,0.002856276,,0.189173,,0.189173,,0.001213472,,0.01257963,,0.01257963,,0.1599216,,0.1599216,,
9,0.008950105,,0.03633719,,0.03633719,,0.01936248,,0.01936248,,9.685559E-05,,0.639492,,0.7114807,,0.2518033,,0.08882292,,0.03587222,,0.03012553,,0.639492,,0.7114807,,0.2518033,,0.08882292,,0.03587222,,0.2716369,,0.002828007,,0.185764,,0.185764,,0.001214238,,0.01257386,,0.01257386,,0.1607943,,0.1607943,,
10,0.009012697,,0.03636593,,0.03636593,,0.01942519,,0.01942519,,8.876685E-06,,0.5962242,,0.7158835,,0.2478392,,0.0863924,,0.03555971,,0.02997043,,0.5962242,,0.7158835,,0.2478392,,0.0863924,,0.03555971,,0.2716677,,0.002821821,,0.1824541,,0.1824541,,0.001215247,,0.0125714,,0.0125714,,0.1616099,,0.1616099,,
