EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:34 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.008806885,0.03632679,0.01915061,0.03108376,0.7383103,0.7187073,0.26666,0.09469315,0.03697522,0.03042178,0.2715921,0.003115482,0.1950877,0.001216137,0.01261283,0.008228087,0.1580139,0.2722835,14.54461,13.63275,8.588078,12.97714
1986,0.009488749,0.03685611,0.02017409,1.455652E-12,0.3029607,0.6588072,0.2699377,0.08336163,0.03598133,0.03048696,0.2731812,0.002985082,0.1285217,0.00125544,0.01223409,0.00982054,0.1739026,0.2840973,14.52921,13.69688,8.573562,12.97165
1987,0.009868349,0.03898242,0.02203336,1E-20,0.2262256,0.3080783,0.2601549,0.09089074,0.0342484,0.03130819,0.2764562,0.001701613,0.07643763,0.001363049,0.01293536,0.009422426,0.1981214,0.3120388,14.50692,13.74215,8.562776,12.96642
1988,0.01030709,0.04250434,0.02320848,1E-20,0.2586491,0.2449525,0.1120287,0.08341949,0.03544828,0.03013167,0.2800398,0.002262481,0.05082893,0.001529824,0.01311609,0.01111697,0.2139285,0.3434601,14.48529,13.75458,8.558627,12.96148
1989,0.0107019,0.04616533,0.02538007,1E-20,0.2706663,0.2802946,0.08476919,0.03309836,0.03064342,0.02923592,0.283417,0.002103636,0.05100825,0.001544624,0.01384596,0.01136261,0.2289664,0.3574256,14.46805,13.7552,8.558448,12.96031
1990,0.01083878,0.04855243,0.0289098,1E-20,0.2206639,0.2856362,0.09974474,0.02353892,0.01163179,0.02660118,0.2807125,0.001995001,0.05829857,0.001549076,0.01564941,0.01156928,0.2431464,0.3534076,14.45748,13.76478,8.556828,12.96047
1991,0.01128572,0.04926054,0.03207802,1E-20,0.1822225,0.233632,0.1060519,0.02936746,0.008672721,0.0184211,0.2753324,0.001937869,0.06131883,0.001607283,0.01602008,0.01170553,0.2545047,0.3463174,14.44989,13.77654,8.554364,12.95987
1992,0.01136911,0.04985541,0.03424497,1E-20,0.1776036,0.2055647,0.09227469,0.03385777,0.01149102,0.01348377,0.2696839,0.002156024,0.06225368,0.001581674,0.01577477,0.01180463,0.260308,0.3426349,14.4444,13.78186,8.552907,12.95886
1993,0.01093362,0.05000625,0.03552043,1E-20,0.1759376,0.2073559,0.08791389,0.03195891,0.01402916,0.01213535,0.2605097,0.002613398,0.06503823,0.001580399,0.01671159,0.0118434,0.2648714,0.3390157,14.44242,13.78287,8.552601,12.95854
1994,0.01008727,0.04926941,0.03588097,1E-20,0.1708041,0.205244,0.09102186,0.03190367,0.01387028,0.01279672,0.2509057,0.002629911,0.07013918,0.00159498,0.01764812,0.01186994,0.2689436,0.3324874,14.44361,13.78399,8.552353,12.95851
1995,0.008980385,0.04779339,0.03534376,1E-20,0.1710337,0.197042,0.08710179,0.03182836,0.01347776,0.01310531,0.2408747,0.002787273,0.07887893,0.001582529,0.0179282,0.01179725,0.2613923,0.3254786,14.44727,13.78522,8.552009,12.95829
1996,0.007783476,0.04528627,0.03538612,1E-20,0.1727462,0.1996728,0.08407375,0.03029933,0.01332929,0.01303216,0.227424,0.002825379,0.08759164,0.001548135,0.01730617,0.0117262,0.2557099,0.3180847,14.45382,13.78594,8.551613,12.95801
1997,0.006796006,0.04206447,0.03531426,1E-20,0.1665144,0.1979642,0.08550698,0.02999505,0.01303874,0.01298026,0.2171633,0.002909299,0.08908232,0.001507464,0.01620363,0.01171187,0.2540358,0.3147434,14.46146,13.78716,8.551257,12.95795
1998,0.006161716,0.03884158,0.03357398,1E-20,0.1646771,0.1860961,0.08102401,0.02987994,0.0128595,0.01277688,0.2094124,0.003253286,0.09122527,0.001501184,0.01517949,0.0117907,0.2540653,0.3151968,14.4678,13.78879,8.550781,12.95775
1999,0.005809161,0.03590633,0.03076624,1E-20,0.1642454,0.1890572,0.07790086,0.02871436,0.01290259,0.01262093,0.2030171,0.00320829,0.1010509,0.001460916,0.01407036,0.01176826,0.2530127,0.3134526,14.47259,13.78948,8.550459,12.95765
2000,0.00594313,0.0332015,0.02876147,1E-20,0.1601744,0.1945249,0.08399733,0.02836026,0.01248252,0.01263758,0.2016544,0.00345513,0.1087896,0.001415067,0.01287073,0.01172834,0.2541532,0.3099046,14.47615,13.78962,8.550363,12.9578
