EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:34 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.657716E-06,0.003245817,0.003328331,0.0001111714,0.04328589,0.3364752,0.1692186,0.04721634,0.01468616,0.004454722,0.005140377,0.003391411,0.05519241,1.321911E-05,0.002800514,0.003715865,0.06241874,0,0,0,0,0
1986,1.786063E-06,0.003640809,0.002910446,3.514564E-15,0.01158022,0.1593522,0.07413981,0.01593066,0.004581052,0.001407886,0.00332287,0.003234348,0.09227861,2.140663E-05,0.00400813,0.0004877989,0.05844466,0,0,0,0,0
1987,1.857514E-06,0.002594416,0.001451957,3.063653E-23,0.01099851,0.09701987,0.09101126,0.02214851,0.005953539,0.002059625,0.003433695,0.003708056,0.05720474,2.931111E-05,0.003414483,0.004354698,0.05190967,0,0,0,0,0
1988,1.940099E-06,0.001463373,0.003972346,3.950941E-23,0.01659147,0.1013974,0.04962804,0.02487772,0.007048951,0.002242998,0.004114471,0.001325773,0.03664211,3.850577E-05,0.007038119,0.0005971083,0.0661466,0,0,0,0,0
1989,2.014413E-06,0.0008666646,0.001110046,3.7644E-23,0.01648485,0.1216851,0.04520942,0.01305964,0.009003299,0.0031742,0.005334771,0.001587672,0.01914537,4.565304E-05,0.005627356,0.0002339122,0.06124546,0,0,0,0,0
1990,2.040178E-06,0.0004543549,0.000745466,2.826328E-23,0.009992287,0.1006882,0.04906256,0.009181478,0.003552887,0.002952189,0.01656348,0.0008708138,0.02562257,0.0001285023,0.002983716,0.0001026636,0.04981672,0,0,0,0,0
1991,2.124305E-06,0.0006366797,0.001019861,3.050236E-23,0.008786246,0.07688884,0.04292956,0.008757445,0.001887372,0.0014672,0.01378446,0.001635404,0.02872986,5.095822E-05,0.005190425,4.438619E-05,0.04763849,0,0,0,0,0
1992,2.140002E-06,0.0006716806,0.00139881,1.750645E-23,0.00498583,0.04355715,0.02799026,0.008156596,0.002041612,0.0008389046,0.01795959,0.001319869,0.02803852,2.588432E-05,0.00482204,9.87566E-06,0.05009305,0,0,0,0,0
1993,2.058029E-06,0.001314956,0.002049617,1.940259E-23,0.005352356,0.03891919,0.01868637,0.004689027,0.00133235,0.0004122377,0.02212395,0.0009908386,0.02850316,1.050786E-05,0.00224175,3.014577E-05,0.04591146,0,0,0,0,0
1994,1.898722E-06,0.001729699,0.00289966,1.895403E-23,0.005099535,0.03553975,0.01676059,0.003829254,0.0008205525,0.0001652903,0.02074029,0.001039731,0.03054585,1.73024E-05,0.001989416,2.785083E-05,0.04239533,0,0,0,0,0
1995,1.690374E-06,0.001909279,0.003654634,2.173212E-23,0.005936466,0.04423763,0.02441151,0.006563134,0.001484218,0.0001956507,0.02350817,0.0006309837,0.025873,1.545648E-05,0.001822554,0.0002374593,0.06500459,0,0,0,0,0
