EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:34 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9998326,1,1,2,1,1,1,1,1,1,1,0.999893,1,0.9998717,1,0.9998758,1,1,1,1,1,1
2,1.001977,1,1,2,1,1,1,1,1,1,1,0.9936688,1,1.000233,1,0.9976407,1,1,1,1,1,1
3,1.009116,1,1,2,1,1,1,1,1,1,1,0.9820017,1,1.002719,1,0.9941023,1,1,1,1,1,1
4,1.017864,1,1,2,1,1,1,1,1,1,1,0.9643026,1,1.005064,1,0.9899687,1,1,1,1,1,1
5,1.02712,1,1,2,1,1,1,1,1,1,1,0.9418603,1,1.006588,1,0.9858195,1,1,1,1,1,1
6,1.036598,1,1,2,1,1,1,1,1,1,1,0.9168232,1,1.00721,1,0.9821259,1,1,1,1,1,1
7,1.04622,1,1,2,1,1,1,1,1,1,1,0.8914347,1,1.007028,1,0.9792663,1,1,1,1,1,1
8,1.055923,1,1,2,1,1,1,1,1,1,1,0.86757,1,1.006184,1,0.9775375,1,1,1,1,1,1
9,1.065628,1,1,2,1,1,1,1,1,1,1,0.846518,1,1.004817,1,0.97716,1,1,1,1,1,1
10,1.075247,1,1,2,1,1,1,1,1,1,1,0.8289368,1,1.003062,1,0.9782844,1,1,1,1,1,1
11,1.084689,1,1,2,1,1,1,1,1,1,1,0.814915,1,1.001047,1,0.980996,1,1,1,1,1,1
12,1.093871,1,1,2,1,1,1,1,1,1,1,0.8040882,1,0.9988891,1,0.985321,1,1,1,1,1,1
13,1.102718,1,1,2,1,1,1,1,1,1,1,0.7957777,1,0.9966918,1,0.9912319,1,1,1,1,1,1
14,1.111451,1,1,2,1,1,1,1,1,1,1,0.7894109,1,0.9944702,1,1.006043,1,1,1,1,1,1
15,1.119961,1,1,2,1,1,1,1,1,1,1,0.7842494,1,0.9923749,1,1.027664,1,1,1,1,1,1
16,1.12816,1,1,2,1,1,1,1,1,1,1,0.7795152,1,0.9905031,1,1.054449,1,1,1,1,1,1
17,1.135976,1,1,2,1,1,1,1,1,1,1,0.7744435,1,0.9888757,1,1.084944,1,1,1,1,1,1
18,1.143354,1,1,2,1,1,1,1,1,1,1,0.7683546,1,0.9874475,1,1.11774,1,1,1,1,1,1
19,1.15025,1,1,2,1,1,1,1,1,1,1,0.7607205,1,0.9861273,1,1.15139,1,1,1,1,1,1
20,1.156635,1,1,2,1,1,1,1,1,1,1,0.7512119,1,0.9847978,1,1.184389,1,1,1,1,1,1
21,1.162489,1,1,2,1,1,1,1,1,1,1,0.739719,1,0.9833333,1,1.215204,1,1,1,1,1,1
22,1.167801,1,1,2,1,1,1,1,1,1,1,0.7263474,1,0.9816131,1,1.24235,1,1,1,1,1,1
23,1.172564,1,1,2,1,1,1,1,1,1,1,0.7113933,1,0.9795318,1,1.264487,1,1,1,1,1,1
24,1.17678,1,1,2,1,1,1,1,1,1,1,0.6953084,1,0.9770074,1,1.280532,1,1,1,1,1,1
25,1.180452,1,1,2,1,1,1,1,1,1,1,0.6786622,1,0.9739857,1,1.289761,1,1,1,1,1,1
26,1.183775,1,1,2,1,1,1,1,1,1,1,0.6604157,1,0.9706458,1,1.280406,1,1,1,1,1,1
