EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:34 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

year\group,"spiny dogfish",
1985,0.001214263
1986,0.001211765
1987,0.001214336
1988,0.001220423
1989,0.001227867
1990,0.001209832
1991,0.001181347
1992,0.001153651
1993,0.001109879
1994,0.001063194
1995,0.001018204
1996,0.0009535734
1997,0.0009014895
1998,0.0008605185
1999,0.0008268316
2000,0.0008191144
2001,0.0008416314
2002,0.0008765406
2003,0.0009204524
2004,0.0009674376
2005,0.001008089
2006,0.001043639
2007,0.00106943
2008,0.001088895
2009,0.001111397
2010,0.001124226
2011,0.001125969
2012,0.001120944
2013,0.001123224
2014,0.001124675
2015,0.001124793
2016,0.001122091
2017,0.00111449
