EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:27:34 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.003118487,0.08767119,0.4452118,0.0003447162,0.04984541,0.1592769,0.3057072,0.4591684,0.5830219,0.7366628,0.1773481,0.001259036,0.1495914,0.002433083,0.07458265,0.002804137,0.1213836,0.3000136,0.1950089,0.2965718,0,0
1986,0.003244047,0.08249902,0.4247366,2.420119E-14,0.05724455,0.1883148,0.3191607,0.5024287,0.6307648,0.7608652,0.1773481,0.00149788,0.1562722,0.002512741,0.07395802,0.002840933,0.117736,0.3000136,0.1950089,0.2965718,0,0
1987,0.003274364,0.07940024,0.4083931,1.298139E-22,0.0542337,0.2427232,0.3694431,0.5006672,0.6641654,0.781055,0.1773481,0.001510238,0.1473114,0.002566946,0.07274294,0.002757607,0.1128819,0.3000136,0.1950089,0.2965718,0,0
1988,0.003283213,0.07977495,0.394563,1.404709E-22,0.05158758,0.247448,0.476146,0.5692412,0.657369,0.8064063,0.1773481,0.002096243,0.1389695,0.002688134,0.07044723,0.002714125,0.1132277,0.3000136,0.1950089,0.2965718,0,0
1989,0.00331213,0.08053862,0.3830447,1.860847E-22,0.05557762,0.2392232,0.4916653,0.7311253,0.7455298,0.8182194,0.1773481,0.002427686,0.09425531,0.002666997,0.06924748,0.002803446,0.106188,0.3000136,0.1950089,0.2965718,0,0
1990,0.003170521,0.07971289,0.3614641,2.178227E-22,0.05907923,0.2471871,0.4777469,0.7675987,0.9576674,0.8832588,0.1773481,0.002229271,0.1038324,0.002490616,0.07118535,0.002718966,0.1060727,0.3000136,0.1950089,0.2965718,0,0
1991,0.003231254,0.07818433,0.333265,2.202115E-22,0.05880084,0.2594272,0.4879867,0.7467561,1.012087,1.032228,0.1773481,0.002068627,0.1086128,0.002471576,0.0718869,0.002675025,0.1055453,0.3000136,0.1950089,0.2965718,0,0
1992,0.003405868,0.07593572,0.3071439,2.262658E-22,0.05825179,0.264107,0.5068601,0.7508314,0.980892,1.183466,0.1773481,0.002095277,0.1133164,0.002497596,0.07182547,0.002652577,0.1056047,0.3000136,0.1950089,0.2965718,0,0
1993,0.00360885,0.0749049,0.2855845,2.318307E-22,0.05891499,0.2643153,0.5128,0.7674813,0.9710601,1.229118,0.1773481,0.002292471,0.1035547,0.002421041,0.07260731,0.002633091,0.1058437,0.3000136,0.1950089,0.2965718,0,0
1994,0.00381072,0.07566816,0.2686132,2.285004E-22,0.05882362,0.2659559,0.5124124,0.7706308,0.9799485,1.208042,0.1773481,0.002331981,0.09638849,0.002349081,0.07336029,0.002612791,0.1059973,0.3000136,0.1950089,0.2965718,0,0
