EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,1.478392
1986,1.531707
1987,1.56118
1988,1.665433
1989,1.637973
1990,1.632975
1991,1.542526
1992,1.52107
1993,1.537561
1994,1.582521
1995,1.597393
1996,1.540297
1997,1.48967
1998,1.463385
1999,1.427581
2000,1.412496
2001,1.398964
2002,1.407436
2003,1.424065
2004,1.436884
2005,1.446646
2006,1.457515
2007,1.478301
2008,1.470209
2009,1.496163
2010,1.565561
2011,1.590154
2012,1.585934
2013,1.581895
2014,1.575834
2015,1.608285
2016,1.620743
2017,1.644273
