EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.122404,0.6489794,0.335159,1.731395,1.315006,1.641082,2.010777,1.437916,1.33252,0.8702266,0.3209628,3.084044,0.8043206,1.442958,1.308727,1.572319,0.8174869,2.177971,2.432167,45.83516,186.4427,0
1986,1.126014,0.6586718,0.3053993,1.657272,1.287727,1.387649,1.58234,1.084081,1.039477,0.7534627,0.3139589,2.70235,1.278451,1.424705,1.415168,1.144407,0.7569391,2.171562,2.433313,45.83223,186.451,0
1987,1.124232,0.6245402,0.2262349,1.639713,1.279573,1.472238,1.68195,1.135096,1.082973,0.774466,0.3141288,3.439875,1.2876,1.35212,1.33039,1.60339,0.6837811,2.161596,2.435258,45.85049,186.4331,0
1988,1.120618,0.5919361,0.3327428,1.640403,1.297362,1.556757,1.796446,1.202697,1.102777,0.7818823,0.316334,1.411137,1.236584,1.352335,1.610696,1.14463,0.738985,2.179249,2.43769,45.86414,186.4102,0
1989,1.131701,0.5759539,0.2037895,1.652429,1.296407,1.579686,1.866042,1.316716,1.216687,0.8182847,0.3203543,1.788838,0.8623589,1.344203,1.463921,1.222399,0.7234493,2.236149,2.441146,45.87622,186.3864,0
1990,1.14109,0.5666061,0.1857674,1.651664,1.288243,1.497303,1.815313,1.288188,1.237742,0.828518,0.3608094,1.599985,0.938944,1.483243,1.249798,1.283148,0.708665,2.317016,2.444762,45.88279,186.3636,0
1991,1.150536,0.5697675,0.1916888,1.649008,1.293339,1.485607,1.729979,1.189293,1.124479,0.8030152,0.3504143,2.246754,0.9739525,1.603779,1.408503,1.348366,0.7412792,2.380875,2.448508,45.88715,186.3443,0
1992,1.169105,0.5692728,0.2008132,1.657994,1.271297,1.365598,1.632567,1.138494,1.092054,0.7851577,0.364976,2.144358,0.9565334,1.642158,1.388006,1.405478,0.7929788,2.4272,2.452106,45.89824,186.3254,0
1993,1.192832,0.5820166,0.2177179,1.689256,1.276151,1.345746,1.54618,1.053413,1.026593,0.761709,0.3797733,2.188576,0.9443913,1.687566,1.205719,1.455916,0.8155148,2.46319,2.455665,45.91487,186.3008,0
1994,1.215996,0.5906576,0.241114,1.727228,1.281069,1.334437,1.522474,1.039023,1.017935,0.7553114,0.3740944,2.425988,0.9423779,1.79281,1.190408,1.493544,0.8378694,2.475405,2.459229,45.93007,186.2751,0
