EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

year\group,"spiny dogfish",
1985,0.001209666
1986,0.00119401
1987,0.001171859
1988,0.001147876
1989,0.001115347
1990,0.001053144
1991,0.0009905072
1992,0.000948495
1993,0.0009110494
1994,0.0008868976
1995,0.0008884862
1996,0.0008877565
1997,0.0008990201
1998,0.0009186493
1999,0.000940852
2000,0.0009744081
2001,0.001026394
2002,0.001080803
2003,0.001134981
2004,0.001186032
2005,0.001224972
2006,0.001259354
2007,0.001284783
2008,0.001294914
2009,0.00131118
2010,0.00130479
2011,0.001277292
2012,0.001251025
2013,0.00123275
2014,0.001215232
2015,0.001197149
2016,0.001180616
2017,0.001169208
