EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3.365199,3.585351,3.832611,2.580223,2.745247,2.745247,2.910854,2.910853,2.910854,2.910838,3.441739,3.997021,3.942867,3.670528,3.730013,3.368238,3.368253,3.063189,2.180356,2.380064,1,1
2,3.365073,3.585656,3.834179,2.579974,2.745263,2.745263,2.91087,2.91087,2.91087,2.91267,3.442922,3.997411,3.943222,3.67063,3.730169,3.368285,3.368259,3.063201,2.180353,2.380076,1,1
3,3.365053,3.586085,3.83584,2.579751,2.745294,2.745294,2.910901,2.910901,2.910901,2.914659,3.444101,3.997828,3.943994,3.670826,3.730426,3.368345,3.368279,3.063226,2.180355,2.380093,1,1
4,3.365122,3.586611,3.837584,2.579504,2.745334,2.745334,2.910941,2.910941,2.910941,2.916796,3.44527,3.998268,3.945121,3.671125,3.730773,3.368416,3.368312,3.063258,2.180356,2.380116,1,1
5,3.365265,3.587218,3.839406,2.579212,2.745378,2.745378,2.910985,2.910985,2.910985,2.919065,3.446426,3.998728,3.94657,3.671521,3.731197,3.368493,3.368354,3.063294,2.180357,2.38014,1,1
6,3.365465,3.587892,3.841314,2.578862,2.745424,2.745424,2.911031,2.911031,2.911031,2.921452,3.447571,3.999204,3.948325,3.672006,3.731688,3.368574,3.368405,3.063332,2.180358,2.380167,1,1
7,3.365706,3.588618,3.843312,2.578443,2.745471,2.745471,2.911079,2.911079,2.911079,2.923944,3.448704,3.999692,3.950382,3.67257,3.732234,3.368659,3.368463,3.063371,2.180358,2.380194,1,1
8,3.365976,3.589389,3.845407,2.577951,2.745519,2.745519,2.911126,2.911126,2.911126,2.926532,3.449829,4.000188,3.952737,3.6732,3.732824,3.368746,3.368527,3.063409,2.180358,2.380222,1,1
9,3.366262,3.590195,3.847603,2.577387,2.745566,2.745566,2.911174,2.911174,2.911174,2.929205,3.450946,4.000691,3.955386,3.673884,3.733449,3.368833,3.368597,3.063448,2.180357,2.38025,1,1
10,3.366553,3.591028,3.849903,2.576755,2.745614,2.745614,2.911222,2.911221,2.911222,2.931955,3.45206,4.001196,3.95832,3.674609,3.734099,3.368922,3.368673,3.063487,2.180356,2.380277,1,1
11,3.366842,3.591883,3.852304,2.576065,2.745661,2.745661,2.911269,2.911269,2.911269,2.934774,3.453173,4.001703,3.961523,3.675364,3.734763,3.369011,3.368755,3.063525,2.180354,2.380305,1,1
12,3.367121,3.592756,3.854804,2.575323,2.745708,2.745709,2.911316,2.911316,2.911316,2.937654,3.454288,4.00221,3.964972,3.676135,3.735435,3.369101,3.368841,3.063564,2.180351,2.380332,1,1
13,3.367528,3.594052,3.857934,2.574541,2.745755,2.745755,2.911363,2.911363,2.911363,2.940589,3.45647,4.002714,3.968536,3.676912,3.736092,3.369287,3.369,3.063601,2.180349,2.380359,1,1
14,3.367957,3.595342,3.860997,2.574003,2.74578,2.74578,2.911389,2.911388,2.911389,2.941464,3.458737,4.003123,3.975262,3.677708,3.736709,3.369381,3.369128,3.063622,2.180343,2.380374,1,1
15,3.368378,3.596647,3.864006,2.573588,2.74579,2.74579,2.911399,2.911399,2.911399,2.942167,3.461066,4.003488,3.981802,3.678468,3.737298,3.369467,3.369246,3.063628,2.180335,2.380381,1,1
16,3.368792,3.597978,3.866982,2.573292,2.74579,2.74579,2.911398,2.911398,2.911398,2.94271,3.463464,4.003819,3.988153,3.679193,3.737864,3.369547,3.369359,3.063626,2.180325,2.380381,1,1
17,3.3692,3.599344,3.869936,2.573113,2.745781,2.745781,2.91139,2.91139,2.91139,2.943104,3.465937,4.00412,3.994302,3.67989,3.73841,3.369625,3.369465,3.063616,2.180313,2.380376,1,1
18,3.369605,3.60075,3.872867,2.573055,2.745768,2.745768,2.911376,2.911376,2.911376,2.943358,3.468486,4.004397,4.000231,3.680568,3.738936,3.369701,3.369565,3.063601,2.1803,2.380368,1,1
19,3.370013,3.602205,3.875767,2.573116,2.745749,2.745749,2.911358,2.911358,2.911358,2.943482,3.471108,4.00465,4.005918,3.681244,3.739445,3.369778,3.36966,3.063583,2.180285,2.380357,1,1
20,3.370426,3.603712,3.878625,2.573297,2.745728,2.745728,2.911336,2.911336,2.911336,2.943481,3.4738,4.004878,4.011342,3.681934,3.739934,3.369855,3.369745,3.06356,2.180269,2.380344,1,1
