EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 9:59:36 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TotalCatch

year,value
1985,0.5759123
1986,0.3890152
1987,0.425385
1988,0.5042313
1989,0.5118224
1990,0.4773755
1991,0.4658636
1992,0.4020211
1993,0.3747501
1994,0.3636932
1995,0.4965236
1996,0.4342019
1997,0.4711685
1998,0.503173
1999,0.4293184
2000,0.3595746
2001,0.4150223
2002,0.3562424
2003,0.3669347
2004,0.3808379
2005,0.376507
2006,0.3925676
2007,0.3645964
2008,0.3182978
2009,0.3754393
2010,0.312106
2011,0.308998
2012,0.2853414
2013,0.2663274
2014,0.3068302
2015,0.3434267
2016,0.34772
2017,0.3389918
