EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/7/2022 12:31:06 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

timestep,fleet,group,value
1,1,1,1.332455E-07
1,3,11,0.0004283336
2,1,1,1.344715E-07
2,3,11,0.0004283389
3,1,1,1.357036E-07
3,3,11,0.0004283442
4,1,1,1.369508E-07
4,3,11,0.0004283493
5,1,1,1.382158E-07
5,3,11,0.0004283543
6,1,1,1.394978E-07
6,3,11,0.0004283591
7,1,1,1.407936E-07
7,3,11,0.0004283638
8,1,1,1.420987E-07
8,3,11,0.0004283683
9,1,1,1.434081E-07
9,3,11,0.0004283727
10,1,1,1.447168E-07
10,3,11,0.0004283771
11,1,1,1.460203E-07
11,3,11,0.0004283813
12,1,1,1.473149E-07
12,3,11,0.0004283855
13,1,1,1.486065E-07
13,3,11,0.0002768582
14,1,1,1.499006E-07
14,3,11,0.0002768627
15,1,1,1.511961E-07
15,3,11,0.0002768673
16,1,1,1.52492E-07
16,3,11,0.000276872
17,1,1,1.537878E-07
17,3,11,0.0002768768
18,1,1,1.550841E-07
18,3,11,0.0002768819
19,1,1,1.563827E-07
19,3,11,0.0002768871
20,1,1,1.576863E-07
20,3,11,0.0002768926
21,1,1,1.58998E-07
21,3,11,0.0002768982
22,1,1,1.603219E-07
22,3,11,0.0002769039
23,1,1,1.616621E-07
23,3,11,0.0002769098
24,1,1,1.630228E-07
24,3,11,0.0002769158
25,1,1,1.644473E-07
25,3,11,0.0002860877
26,1,1,1.659098E-07
26,3,11,0.0002860946
27,1,1,1.674245E-07
27,3,11,0.0002861015
28,1,1,1.689989E-07
28,3,11,0.0002861084
29,1,1,1.706394E-07
29,3,11,0.0002861153
30,1,1,1.723526E-07
30,3,11,0.0002861222
31,1,1,1.741459E-07
31,3,11,0.0002861291
32,1,1,1.760277E-07
32,3,11,0.000286136
33,1,1,1.780082E-07
33,3,11,0.000286143
34,1,1,1.800986E-07
34,3,11,0.0002861501
35,1,1,1.823117E-07
35,3,11,0.0002861571
36,1,1,1.846613E-07
36,3,11,0.0002861643
37,1,1,1.871098E-07
37,3,11,0.0003428356
38,1,1,1.896589E-07
38,3,11,0.0003428451
39,1,1,1.923128E-07
39,3,11,0.0003428549
40,1,1,1.950737E-07
40,3,11,0.000342865
41,1,1,1.979415E-07
41,3,11,0.0003428756
42,1,1,2.009141E-07
42,3,11,0.0003428865
43,1,1,2.039869E-07
43,3,11,0.0003428978
44,1,1,2.071532E-07
44,3,11,0.0003429092
45,1,1,2.104042E-07
45,3,11,0.0003429208
46,1,1,2.13729E-07
46,3,11,0.0003429324
47,1,1,2.171154E-07
47,3,11,0.000342944
48,1,1,2.205498E-07
48,3,11,0.0003429554
49,1,1,2.239028E-07
49,3,11,0.000444614
50,1,1,2.27153E-07
50,3,11,0.0004446347
51,1,1,2.302834E-07
51,3,11,0.0004446555
52,1,1,2.332811E-07
52,3,11,0.0004446763
53,1,1,2.361382E-07
53,3,11,0.0004446972
54,1,1,2.388514E-07
54,3,11,0.0004447181
55,1,1,2.414218E-07
55,3,11,0.0004447389
56,1,1,2.438547E-07
56,3,11,0.0004447596
57,1,1,2.461588E-07
57,3,11,0.0004447801
58,1,1,2.483463E-07
58,3,11,0.0004448006
59,1,1,2.504318E-07
59,3,11,0.0004448208
60,1,1,2.524322E-07
60,3,11,0.0004448408
61,1,1,2.545654E-07
61,3,11,0.00138099
62,1,1,2.568558E-07
62,3,11,0.001381118
63,1,1,2.593218E-07
63,3,11,0.001381246
64,1,1,2.619839E-07
64,3,11,0.001381372
65,1,1,2.648628E-07
65,3,11,0.001381499
66,1,1,2.679791E-07
66,3,11,0.001381624
67,1,1,2.713524E-07
67,3,11,0.001381748
68,1,1,2.750021E-07
68,3,11,0.001381872
69,1,1,2.789465E-07
69,3,11,0.001381994
70,1,1,2.83203E-07
70,3,11,0.001382115
71,1,1,2.877875E-07
71,3,11,0.001382235
72,1,1,2.927144E-07
72,3,11,0.001382354
73,1,1,2.97756E-07
73,3,11,0.001150232
74,1,1,3.0293E-07
74,3,11,0.001150327
75,1,1,3.082493E-07
75,3,11,0.00115042
76,1,1,3.137231E-07
76,3,11,0.001150511
77,1,1,3.193593E-07
77,3,11,0.001150601
78,1,1,3.251648E-07
78,3,11,0.001150689
79,1,1,3.311463E-07
79,3,11,0.001150775
80,1,1,3.373098E-07
80,3,11,0.001150859
81,1,1,3.436617E-07
81,3,11,0.001150942
82,1,1,3.502082E-07
82,3,11,0.001151023
83,1,1,3.569559E-07
83,3,11,0.001151102
84,1,1,3.639109E-07
84,3,11,0.001151179
85,1,1,3.710482E-07
85,3,11,0.001499798
86,1,1,3.783551E-07
86,3,11,0.00149991
87,1,1,3.858129E-07
87,3,11,0.001500019
88,1,1,3.934122E-07
88,3,11,0.001500126
89,1,1,4.011496E-07
89,3,11,0.001500231
90,1,1,4.090253E-07
90,3,11,0.001500332
91,1,1,4.170415E-07
91,3,11,0.001500432
92,1,1,4.252011E-07
92,3,11,0.001500528
93,1,1,4.335074E-07
93,3,11,0.001500623
94,1,1,4.419645E-07
94,3,11,0.001500714
95,1,1,4.505759E-07
95,3,11,0.001500803
96,1,1,4.593447E-07
96,3,11,0.001500889
97,1,1,4.682893E-07
97,3,11,0.001848952
98,1,1,4.773856E-07
98,3,11,0.00184909
