EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/7/2022 12:31:06 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

timestep,value
1,1.573124
2,1.571906
3,1.570972
4,1.570268
5,1.56974
6,1.569336
7,1.569007
8,1.568711
9,1.568409
10,1.568071
11,1.56767
12,1.567184
13,1.568644
14,1.569962
15,1.571169
16,1.572297
17,1.573376
18,1.574435
19,1.575498
20,1.576585
21,1.577712
22,1.57889
23,1.580125
24,1.581417
25,1.581941
26,1.582475
27,1.583017
28,1.58356
29,1.584097
30,1.584617
31,1.585116
32,1.585589
33,1.586035
34,1.586453
35,1.586847
36,1.58722
37,1.586671
38,1.58623
39,1.585889
40,1.58564
41,1.585472
42,1.585375
43,1.585341
44,1.58536
45,1.585422
46,1.585519
47,1.585644
48,1.585788
49,1.585963
50,1.586245
51,1.586609
52,1.587034
53,1.587499
54,1.587987
55,1.588482
56,1.58897
57,1.589438
58,1.589878
59,1.590283
60,1.59065
61,1.591657
62,1.592601
63,1.593492
64,1.594344
65,1.595164
66,1.595961
67,1.59674
68,1.597505
69,1.598258
70,1.599002
71,1.599737
72,1.600461
73,1.601566
74,1.602593
75,1.603559
76,1.604475
77,1.605353
78,1.606204
79,1.607036
80,1.607857
81,1.608672
82,1.609489
83,1.610309
84,1.611137
85,1.612902
86,1.614524
87,1.616026
88,1.617425
89,1.618741
90,1.619989
91,1.621184
92,1.622338
93,1.62346
94,1.624558
95,1.625637
96,1.6267
97,1.628253
98,1.629701
99,1.631053
100,1.63232
101,1.633513
102,1.634643
103,1.63572
104,1.636752
105,1.637749
106,1.638716
107,1.63966
108,1.640584
109,1.641717
110,1.642786
111,1.643793
112,1.644742
113,1.645635
114,1.646477
115,1.647275
116,1.648031
117,1.648752
118,1.649441
119,1.6501
120,1.650734
121,1.650403
122,1.65011
123,1.649841
124,1.649587
125,1.649335
126,1.649077
127,1.648804
128,1.648511
129,1.648194
130,1.64785
131,1.647477
132,1.647077
133,1.64726
134,1.647415
135,1.647543
136,1.647648
137,1.647734
138,1.647805
139,1.647866
140,1.647918
141,1.647964
142,1.648004
143,1.64804
144,1.648069
145,1.647657
146,1.64726
147,1.646876
148,1.646503
149,1.64614
150,1.645785
151,1.645438
152,1.645098
153,1.644767
154,1.644445
155,1.644134
156,1.643836
157,1.643047
158,1.642326
159,1.641671
160,1.641075
161,1.64053
162,1.640029
163,1.639566
164,1.639137
165,1.638734
166,1.638356
167,1.637998
168,1.637656
169,1.638113
170,1.638516
171,1.638874
172,1.639194
173,1.63948
174,1.639738
175,1.639972
176,1.640184
177,1.640375
178,1.640547
179,1.640698
180,1.640827
181,1.641469
182,1.642031
183,1.642518
184,1.642937
185,1.643293
186,1.643592
187,1.643839
188,1.644037
189,1.644191
190,1.644304
191,1.644378
192,1.644415
193,1.643901
194,1.643378
195,1.642845
196,1.6423
197,1.641745
198,1.641178
199,1.6406
200,1.64001
201,1.639411
202,1.638803
203,1.63819
204,1.637573
205,1.637381
206,1.637163
207,1.63692
208,1.636656
209,1.636373
