EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/7/2022 12:31:06 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,1.682437E-06
1985,3,11,0.005140328
1986,1,1,1.869141E-06
1986,3,11,0.003322626
1987,1,1,2.085026E-06
1987,3,11,0.003433509
1988,1,1,2.435949E-06
1988,3,11,0.004114722
1989,1,1,2.872255E-06
1989,3,11,0.005336737
1990,1,1,3.254575E-06
1990,3,11,0.01658017
1991,1,1,3.950375E-06
1991,3,11,0.01380866
1992,1,1,4.966438E-06
1992,3,11,0.01800441
1993,1,1,6.244818E-06
1993,3,11,0.02219574
1994,1,1,7.729738E-06
1994,3,11,0.02081813
1995,1,1,9.315261E-06
1995,3,11,0.02360473
1996,1,1,1.072287E-05
1996,3,11,0.02777026
1997,1,1,1.167294E-05
1997,3,11,0.01912482
1998,1,1,1.228886E-05
1998,3,11,0.02230152
1999,1,1,1.232621E-05
1999,3,11,0.01761883
2000,1,1,1.166382E-05
2000,3,11,0.01242583
2001,1,1,1.089898E-05
2001,3,11,0.006840106
2002,1,1,1.060822E-05
2002,3,11,0.00647503
2003,1,1,1.026665E-05
2003,3,11,0.003167923
2004,1,1,9.974673E-06
2004,3,11,0.003786438
2005,1,1,9.66404E-06
2005,3,11,0.003794609
2006,1,1,9.347531E-06
2006,3,11,0.004792582
2007,1,1,8.927027E-06
2007,3,11,0.005999389
2008,1,1,8.316057E-06
2008,3,11,0.006028332
2009,1,1,7.585347E-06
2009,3,11,0.00560775
2010,1,1,6.932694E-06
2010,3,11,0.005587804
2011,1,1,6.340797E-06
2011,3,11,0.009768578
2012,1,1,6.203834E-06
2012,3,11,0.01088675
2013,1,1,6.331606E-06
2013,3,11,0.007408904
2014,1,1,6.546923E-06
2014,3,11,0.01079119
2015,1,1,6.699168E-06
2015,3,11,0.008729463
2016,1,1,6.75341E-06
2016,3,11,0.01219097
2017,1,1,6.631952E-06
2017,3,11,0.01109653
