EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:23:29 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
1,0.005140006,,0.003243512,,0.003241852,,0.05711015,,0.346659,,0.1927845,,0.05350497,,0.01570126,,0.004538483,,0.06107881,,1.3294E-05,,0.002820344,,0.05979608,,0.001164359,,0.004283991,,0.003736612,,
2,0.005140075,,0.003256192,,0.003270183,,0.05768102,,0.3415964,,0.1864152,,0.0524397,,0.01546266,,0.004530001,,0.0600209,,1.331783E-05,,0.00282117,,0.06040231,,0.001246425,,0.003974484,,0.003720294,,
3,0.005140143,,0.003268209,,0.003297175,,0.0583836,,0.3375911,,0.1809555,,0.05132357,,0.01524207,,0.004518495,,0.05898696,,1.334778E-05,,0.00282219,,0.06096264,,0.001299769,,0.003745361,,0.003707988,,
4,0.005140209,,0.003279585,,0.00332289,,0.05917561,,0.3344502,,0.1762288,,0.05017346,,0.01503807,,0.004504494,,0.05797887,,1.338314E-05,,0.002823501,,0.06148322,,0.001334637,,0.003574033,,0.003698928,,
5,0.005140273,,0.003290626,,0.003347555,,0.06003741,,0.3320093,,0.1720922,,0.04900056,,0.01484943,,0.004488415,,0.05699939,,1.342401E-05,,0.002825304,,0.06196862,,0.001358348,,0.003445724,,0.003693047,,
6,0.005140338,0.00514,0.003301728,0.000738,0.003371453,0.00316,0.06096639,0.06752375,0.3301258,0.1681429,0.1684303,0.04613868,0.04781216,0.03472481,0.01467507,0.008039044,0.004470588,0.004539933,0.0560511,0.0621,1.347034E-05,2.69E-05,0.002827811,0.00282,0.06242239,0.0592,0.001375781,8.045743E-16,0.003351175,0.003229334,0.003690819,0.0006390432,
7,0.005140403,,0.003313277,,0.003394866,,0.06197191,,0.3286751,,0.1651501,,0.04661287,,0.01451406,,0.004451283,,0.05513588,,1.352167E-05,,0.0028312,,0.06284735,,0.001389704,,0.003284984,,0.003693088,,
8,0.005140468,,0.003325597,,0.003418047,,0.0630711,,0.3275472,,0.1621765,,0.04540559,,0.01436557,,0.004430718,,0.05425478,,1.357708E-05,,0.0028356,,0.0632459,,0.001401108,,0.003244339,,0.003700881,,
9,0.005140532,,0.003338925,,0.003441201,,0.06428544,,0.3266458,,0.1594489,,0.04419208,,0.01422886,,0.004409079,,0.05340799,,1.363525E-05,,0.002841083,,0.06362007,,0.001409566,,0.003228019,,0.003715249,,
10,0.005140597,,0.003353401,,0.003464477,,0.0656383,,0.3258869,,0.1569186,,0.04297346,,0.01410325,,0.004386516,,0.0525949,,1.369459E-05,,0.002847664,,0.06397162,,0.001413609,,0.00323561,,0.003737134,,
11,0.005140661,,0.003369055,,0.003487959,,0.06715347,,0.325199,,0.1545468,,0.04175049,,0.0139881,,0.004363161,,0.05181412,,1.375329E-05,,0.002855303,,0.06430209,,0.001411083,,0.003266911,,0.003767268,,
12,0.005140725,,0.003385799,,0.003511655,,0.06885457,,0.3245225,,0.1523019,,0.04052378,,0.0138828,,0.004339121,,0.05106347,,1.380946E-05,,0.002863905,,0.06461279,,0.001399448,,0.003321505,,0.003806109,,
13,0.003322414,,0.003756753,,0.002940837,,0.04504889,,0.170159,,0.06702931,,0.01551976,,0.004507726,,0.001373597,,0.1229164,,2.172929E-05,,0.004200842,,0.05554781,,0.0006008128,,0.003348564,,0.0004359781,,
14,0.003322579,,0.003772411,,0.002967275,,0.04417783,,0.1724065,,0.06812178,,0.01553388,,0.004552692,,0.001379032,,0.1167603,,2.179034E-05,,0.004181169,,0.05612116,,0.0003070999,,0.003379702,,0.0004504337,,
15,0.003322569,,0.003777704,,0.002988079,,0.04277049,,0.1746661,,0.06919523,,0.01556892,,0.00458598,,0.001384705,,0.1109321,,2.180261E-05,,0.004159013,,0.05668752,,0.0001506389,,0.003398708,,0.0004629309,,
16,0.003322633,,0.003781033,,0.003006979,,0.04110488,,0.1771532,,0.07025062,,0.01562168,,0.004608568,,0.001390594,,0.1055061,,2.183087E-05,,0.004139537,,0.05725054,,7.007702E-05,,0.003413397,,0.0004740733,,
17,0.00332272,,0.003785051,,0.003025205,,0.03931891,,0.1800477,,0.07128799,,0.01568973,,0.004621267,,0.001396698,,0.1004729,,2.188822E-05,,0.004124057,,0.05781316,,3.03971E-05,,0.003426044,,0.0004841177,,
18,0.003322809,0.00332,0.003790297,0.000477,0.003043051,0.000763,0.03746346,0.03694161,0.1835035,0.1675308,0.07230575,0.04395798,0.01577116,0.005666759,0.004624751,0.003656303,0.001403027,0.00099049,0.09580205,0.13,2.197052E-05,3.29E-05,0.004112614,0.0058,0.05837766,0.0657,1.198929E-05,3.860182E-16,0.003436503,0.002977043,0.0004930852,0.000747094,
19,0.003322898,,0.003796756,,0.003060562,,0.03553727,,0.1876559,,0.07330056,,0.01586446,,0.004619588,,0.001409598,,0.09146233,,2.206957E-05,,0.004104972,,0.0589458,,4.130023E-06,,0.003443422,,0.0005008487,,
20,0.003322986,,0.003804351,,0.003077743,,0.03350895,,0.1926269,,0.07426752,,0.01596833,,0.004606255,,0.001416435,,0.08742657,,2.217711E-05,,0.004100902,,0.05951892,,1.155955E-06,,0.003444684,,0.0005072023,,
21,0.003323072,,0.003813033,,0.003094606,,0.03132993,,0.1985312,,0.07520071,,0.01608168,,0.004585171,,0.001423562,,0.0836715,,2.228571E-05,,0.004100227,,0.06009797,,2.256792E-07,,0.003437579,,0.0005119122,,
22,0.003323155,,0.003822773,,0.003111162,,0.02894131,,0.2054819,,0.07609365,,0.01620353,,0.004556698,,0.001431006,,0.08017714,,2.238875E-05,,0.004102803,,0.06068366,,1.977688E-08,,0.003418867,,0.0005147507,,
23,0.003323235,,0.003833551,,0.003127421,,0.02627628,,0.2135988,,0.07693998,,0.016333,,0.004521168,,0.001438794,,0.0769263,,2.248036E-05,,0.004108514,,0.06127662,,1.464888E-13,,0.003384747,,0.0005155151,,
24,0.003323309,,0.003845348,,0.003143383,,0.02325943,,0.2230197,,0.07773387,,0.01646931,,0.004478886,,0.001446951,,0.07390431,,2.255531E-05,,0.004117256,,0.06187744,,6.333226E-14,,0.003330962,,0.0005140327,,
