EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:21:42 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.00849638,0.03630099,0.01865303,0.3255571,0.9741053,0.7404599,0.3037958,0.1073051,0.03953093,0.03099379,0.2715003,0.003935441,0.2158943,0.001223027,0.01270214,0.008274027,0.1513747,0.2712821,14.54595,13.54873,8.595247,12.9718
2,0.00857088,0.03644291,0.01881604,0.3485031,0.9838424,0.7296462,0.293759,0.1051687,0.03893022,0.03093587,0.2715043,0.003651116,0.2121549,0.00122522,0.01270586,0.008237895,0.1529093,0.2714684,14.54574,13.54505,8.59581,12.97079
3,0.008640502,0.03657741,0.01897135,0.363418,0.995826,0.7210909,0.2851554,0.1029303,0.03837485,0.03085729,0.2715118,0.003440634,0.2085003,0.001227975,0.01271045,0.008210645,0.1543278,0.2718355,14.54557,13.54486,8.596513,12.97079
4,0.008707231,0.03670473,0.01911931,0.3731672,1.009335,0.7143819,0.2777068,0.1006237,0.03786124,0.03076168,0.2715228,0.003283246,0.204937,0.001231228,0.01271635,0.008190583,0.1556457,0.2723595,14.54547,13.54611,8.596988,12.97134
5,0.008772916,0.03682829,0.01926122,0.3797969,1.024035,0.7091681,0.2711882,0.09827142,0.03738629,0.03065187,0.2715372,0.003165377,0.2014748,0.001234988,0.01272447,0.00817756,0.1568745,0.2730175,14.54542,13.54748,8.597182,12.97198
6,0.008838993,0.03695254,0.01939873,0.3846711,1.03988,0.7051452,0.2654178,0.09588806,0.03694731,0.03053013,0.2715551,0.003078519,0.1981229,0.00123925,0.01273576,0.008172628,0.1580232,0.273788,14.54538,13.54827,8.597177,12.97247
7,0.008906411,0.0370818,0.01953345,0.388564,1.05703,0.7020463,0.2602488,0.09348288,0.03654194,0.03039829,0.2715763,0.003017714,0.1948879,0.001243973,0.01275103,0.008177652,0.159099,0.2746503,14.54531,13.54815,8.597084,12.97268
8,0.008975681,0.03721968,0.01966682,0.3917525,1.075779,0.6996372,0.2555628,0.09106165,0.03616809,0.03025786,0.2716011,0.002980376,0.1917735,0.00124907,0.01277084,0.008194908,0.1601079,0.2755851,14.54519,13.5471,8.597006,12.97263
9,0.009046936,0.03736885,0.01980005,0.3941174,1.096491,0.6977118,0.2512645,0.08862794,0.0358239,0.03011007,0.2716292,0.002965384,0.1887804,0.001254422,0.01279554,0.008226722,0.1610551,0.2765745,14.545,13.54523,8.59701,12.97237
10,0.009120012,0.03753086,0.01993397,0.3952479,1.119567,0.6960909,0.2472773,0.08618398,0.03550765,0.02995599,0.2716607,0.002972357,0.1859064,0.00125988,0.01282518,0.008275184,0.1619451,0.2776022,14.54474,13.54274,8.597135,12.97199
11,0.009194499,0.03770605,0.02006908,0.3945416,1.14541,0.6946215,0.2435396,0.08373129,0.03521774,0.0297965,0.2716956,0.003001112,0.1831466,0.001265281,0.01285958,0.00834191,0.1627817,0.278654,14.54443,13.53983,8.597392,12.97157
