EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:21:42 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

timestep\group,"spiny dogfish",
1,0.00121581
2,0.001214832
3,0.001213972
4,0.00121321
5,0.00121254
6,0.001211955
7,0.001211445
8,0.001211
9,0.001210611
10,0.001210271
11,0.001209976
12,0.001209722
13,0.001209263
14,0.001210283
15,0.001210835
16,0.001211163
17,0.001211382
18,0.001211556
19,0.001211716
20,0.001211887
21,0.001212078
22,0.001212297
23,0.00121255
24,0.001212834
25,0.001212953
26,0.00121308
27,0.001213197
28,0.001213347
29,0.001213555
30,0.001213829
31,0.001214172
32,0.001214578
33,0.001215038
34,0.001215541
35,0.001216077
36,0.001216636
37,0.001217163
38,0.001217237
39,0.001217439
40,0.00121774
41,0.001218132
42,0.001218611
43,0.001219179
44,0.001219836
45,0.001220582
46,0.001221415
47,0.001222334
48,0.001223337
49,0.001223452
50,0.001224347
51,0.001225126
52,0.001225855
53,0.001226571
54,0.001227293
55,0.001228029
56,0.001228786
57,0.001229564
58,0.001230365
59,0.001231187
60,0.001232028
61,0.001228525
62,0.001224599
63,0.001220848
64,0.001217241
65,0.001213759
66,0.001210389
67,0.00120712
68,0.001203944
69,0.001200853
70,0.00119784
71,0.001194903
72,0.001192036
73,0.001190149
74,0.001188106
75,0.001186168
76,0.00118431
77,0.001182515
78,0.001180768
79,0.001179061
80,0.001177389
81,0.00117575
82,0.001174143
83,0.001172572
84,0.001171039
85,0.001167839
86,0.00116566
87,0.001163187
88,0.001160554
89,0.001157831
90,0.001155058
91,0.001152259
92,0.001149446
93,0.001146628
94,0.001143811
95,0.001140996
96,0.001138184
97,0.001133619
98,0.001129067
99,0.001124547
100,0.001120063
101,0.001115617
102,0.001111212
103,0.001106847
104,0.001102524
105,0.001098241
106,0.001093996
107,0.001089785
108,0.001085607
109,0.00108186
110,0.001078148
111,0.001074478
112,0.001070845
113,0.001067244
114,0.001063673
115,0.001060131
116,0.001056614
117,0.00105312
118,0.001049647
119,0.001046193
120,0.001042755
121,0.001039042
122,0.001035298
123,0.001031439
124,0.001027492
125,0.001023472
126,0.001019387
127,0.001015246
128,0.001011056
129,0.00100682
130,0.001002544
131,0.0009982307
132,0.0009938825
133,0.0009875139
134,0.000981117
135,0.0009747269
136,0.000968338
137,0.0009619492
138,0.0009555598
139,0.0009491689
140,0.0009427767
141,0.0009363829
142,0.0009299867
143,0.0009235878
144,0.0009171859
145,0.0009145864
146,0.0009119806
147,0.0009093597
148,0.0009067275
149,0.0009040856
150,0.000901436
151,0.0008987794
152,0.0008961166
153,0.0008934485
154,0.0008907765
155,0.0008881015
156,0.000885425
157,0.0008812858
158,0.0008771532
159,0.0008730392
160,0.0008689409
161,0.0008648571
162,0.0008607873
163,0.000856731
164,0.000852688
165,0.0008486576
166,0.0008446391
167,0.0008406315
168,0.0008366343
169,0.0008348399
170,0.0008330546
171,0.0008312624
172,0.0008294669
173,0.0008276672
174,0.0008258635
175,0.0008240559
176,0.0008222447
177,0.0008204301
178,0.0008186118
179,0.0008167903
180,0.0008149655
181,0.000815224
182,0.0008154835
183,0.0008157766
184,0.0008160928
185,0.0008164293
186,0.0008167831
187,0.0008171518
188,0.0008175339
189,0.0008179275
190,0.0008183314
191,0.0008187445
192,0.0008191659
193,0.0008224243
194,0.0008256648
195,0.0008288432
196,0.0008319756
197,0.0008350654
198,0.0008381165
199,0.0008411322
200,0.0008441152
201,0.0008470683
202,0.0008499929
203,0.0008528911
204,0.0008557645
205,0.0008586027
206,0.0008614322
207,0.0008642734
208,0.0008671196
209,0.0008699688
210,0.0008728196
211,0.0008756698
212,0.0008785176
213,0.0008813619
214,0.0008842012
215,0.0008870339
216,0.0008898593
217,0.0008943676
218,0.000898849
219,0.000903274
220,0.0009076519
221,0.000911985
222,0.0009162753
223,0.0009205248
224,0.0009247352
225,0.0009289077
226,0.0009330439
227,0.0009371439
228,0.0009412094
229,0.0009450739
230,0.0009488943
231,0.000952661
232,0.0009563803
233,0.0009600554
234,0.0009636892
235,0.0009672838
236,0.0009708409
237,0.0009743625
238,0.0009778495
239,0.0009813033
240,0.0009847247
241,0.0009881119
242,0.0009914694
243,0.0009947987
244,0.0009981006
245,0.001001375
246,0.001004621
247,0.001007841
248,0.001011033
249,0.001014199
250,0.001017338
251,0.001020452
252,0.001023539
253,0.00102659
254,0.0010296
255,0.001032509
256,0.001035337
257,0.001038096
258,0.001040794
259,0.001043436
260,0.001046027
261,0.001048571
262,0.00105107
263,0.001053528
264,0.001055946
265,0.001057834
266,0.001059692
267,0.001061533
268,0.001063357
269,0.001065163
270,0.00106695
271,0.001068718
272,0.00107047
273,0.001072206
274,0.001073926
275,0.001075631
276,0.00107732
277,0.001078912
278,0.001080482
279,0.001082039
280,0.001083583
281,0.001085116
282,0.001086637
283,0.001088148
284,0.001089647
285,0.001091137
286,0.001092616
287,0.001094086
288,0.001095547
289,0.001098147
290,0.001100674
291,0.001103046
292,0.001105291
293,0.001107425
294,0.001109462
295,0.001111413
296,0.001113288
297,0.001115097
298,0.001116844
299,0.001118538
300,0.001120182
301,0.001120379
302,0.001120232
303,0.001120301
304,0.001120535
305,0.001120909
306,0.001121403
307,0.001121999
308,0.001122684
309,0.001123445
310,0.001124274
311,0.001125165
312,0.001126113
313,0.001125541
314,0.001125512
315,0.001125385
316,0.001125204
317,0.001124991
318,0.00112476
319,0.001124519
320,0.001124272
321,0.001124024
322,0.001123775
323,0.001123528
324,0.001123281
325,0.001122704
326,0.001122129
327,0.001121551
328,0.001120977
329,0.001120409
330,0.00111985
331,0.001119301
332,0.001118763
333,0.001118238
334,0.001117724
335,0.00111722
336,0.001116726
337,0.001117487
338,0.001118258
339,0.001119037
340,0.001119824
341,0.001120619
342,0.001121422
343,0.001122234
344,0.001123052
345,0.001123875
346,0.001124703
347,0.001125535
348,0.001126369
349,0.001125853
350,0.001125355
351,0.001124884
352,0.001124434
353,0.001124002
354,0.001123586
355,0.001123182
356,0.00112279
357,0.001122407
358,0.001122032
359,0.001121662
360,0.001121297
361,0.001121851
362,0.001121729
363,0.001121695
364,0.001121739
365,0.001121854
366,0.001122029
367,0.001122253
368,0.00112252
369,0.001122824
370,0.001123165
371,0.001123545
372,0.001123972
373,0.0011233
374,0.001122941
375,0.001122513
376,0.001122004
377,0.001121416
378,0.001120756
379,0.001120036
380,0.00111927
381,0.00111847
382,0.001117644
383,0.001116798
384,0.001115932
385,0.001115558
386,0.001115704
387,0.00111563
388,0.001115419
389,0.001115111
390,0.001114735
391,0.001114309
392,0.001113848
393,0.001113359
394,0.00111285
395,0.001112324
396,0.001111783
