EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:21:42 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,3.367695,3.589006,3.830633,2.579702,2.744675,2.744675,2.910267,2.910267,2.910267,2.910267,3.449161,3.996444,3.932752,3.673695,3.732635,3.368216,3.368292,3.06267,2.180291,2.379663,1,1
1986,3.364063,3.57988,3.845134,1,2.747233,2.747233,2.912894,2.912894,2.912894,2.912894,3.472425,4.006129,3.95118,3.686069,3.743683,3.371863,3.371727,3.064992,2.180444,2.381498,1,1
1987,3.380315,3.628728,3.910194,1,2.750407,2.750407,2.916149,2.916149,2.916149,2.916149,3.501933,4.022555,3.998762,3.715866,3.777742,3.376008,3.376052,3.067857,2.180682,2.383761,1,1
1988,3.394117,3.649255,3.926445,2.586127,2.751783,2.751783,2.917557,2.917557,2.917557,2.917557,3.526588,4.029161,4.021351,3.740871,3.801962,3.380134,3.379909,3.069065,2.180714,2.384727,1,1
1989,3.39548,3.648053,3.928004,1,2.752569,2.752569,2.918362,2.918362,2.918362,2.918362,3.545258,4.032698,4.027677,3.751132,3.809701,3.382428,3.38206,3.069736,2.180587,2.385285,1,1
1990,3.399041,3.661409,3.933222,2.585791,2.75141,2.75141,2.917172,2.917172,2.917172,2.917172,3.560419,4.031377,4.030068,3.748275,3.807166,3.38176,3.381466,3.068657,2.180392,2.384447,1,1
1991,3.397963,3.658888,3.919757,2.584262,2.749719,2.749719,2.915438,2.915438,2.915438,2.915438,3.572873,4.026949,4.020927,3.7411,3.80073,3.380789,3.380486,3.067108,2.180165,2.383239,1,1
1992,3.389614,3.643294,3.910516,1,2.749976,2.749976,2.915704,2.915704,2.915704,2.915704,3.578835,4.027574,4.023344,3.737169,3.796137,3.380939,3.38063,3.067348,2.180127,2.383434,1,1
1993,3.39083,3.660054,3.94508,1,2.751699,2.751699,2.917472,2.917472,2.917472,2.917472,3.585386,4.030303,4.042976,3.736608,3.798647,3.381774,3.381484,3.068927,2.180321,2.384672,1,1
1994,3.386048,3.653285,3.956115,1,2.753932,2.753932,2.91976,2.91976,2.91976,2.91976,3.590771,4.030389,4.054382,3.731075,3.794079,3.382747,3.382473,3.070957,2.180561,2.386268,1,1
1995,3.383757,3.646025,3.953189,1,2.754759,2.754759,2.920605,2.920605,2.920605,2.920605,3.583202,4.029013,4.052018,3.7252,3.788615,3.382561,3.382249,3.071697,2.180653,2.386851,1,1
1996,3.382017,3.639971,3.946374,1,2.754636,2.754636,2.920479,2.920479,2.920479,2.920479,3.576965,4.026723,4.046571,3.719148,3.782832,3.381738,3.38144,3.071586,2.180676,2.386759,1,1
1997,3.381644,3.637827,3.944804,1,2.754804,2.754804,2.920651,2.920651,2.920651,2.920651,3.575755,4.02576,4.045418,3.71703,3.780504,3.381627,3.381306,3.071754,2.18076,2.386881,1,1
1998,3.382838,3.639379,3.947449,1,2.755227,2.755227,2.921085,2.921085,2.921085,2.921085,3.576873,4.026044,4.04849,3.718083,3.781629,3.381995,3.381652,3.072152,2.180872,2.387186,1,1
1999,3.38256,3.639368,3.948112,1,2.755444,2.755444,2.921307,2.921307,2.921307,2.921307,3.576383,4.025714,4.046925,3.717312,3.780645,3.382042,3.381683,3.072359,2.180948,2.387341,1,1
2000,3.380772,3.639012,3.948236,1,2.755488,2.755488,2.921353,2.921353,2.921353,2.921353,3.577364,4.024785,4.047107,3.715078,3.77821,3.381824,3.381504,3.072407,2.180995,2.387373,1,1
2001,3.378835,3.638273,3.948512,1,2.755559,2.755559,2.921425,2.921425,2.921425,2.921425,3.574277,4.024327,4.046311,3.713902,3.776462,3.381731,3.381384,3.072475,2.181022,2.387424,1,1
2002,3.377208,3.637701,3.948895,1,2.755636,2.755636,2.921504,2.921504,2.921504,2.921504,3.571341,4.024218,4.046301,3.712632,3.775559,3.381492,3.38121,3.072543,2.181021,2.38748,1,1
2003,3.373199,3.631445,3.947704,1,2.755678,2.755678,2.921547,2.921547,2.921547,2.921547,3.565733,4.022833,4.045401,3.707974,3.770586,3.381054,3.380752,3.072576,2.180994,2.38751,1,1
2004,3.369701,3.624145,3.945151,1,2.755738,2.755738,2.921608,2.921608,2.921608,2.921608,3.557599,4.021571,4.041884,3.702768,3.765652,3.380461,3.380176,3.072623,2.180965,2.387552,1,1
2005,3.368037,3.619685,3.943972,1,2.755798,2.755798,2.92167,2.92167,2.92167,2.921669,3.552007,4.020976,4.038992,3.699832,3.763192,3.38014,3.379853,3.072672,2.180943,2.387594,1,1
2006,3.367326,3.615968,3.940886,1,2.755866,2.755866,2.921739,2.921739,2.921739,2.921739,3.542802,4.020682,4.036174,3.698741,3.762094,3.379637,3.379448,3.07273,2.180931,2.387642,1,1
2007,3.367698,3.614559,3.939771,1,2.755924,2.755924,2.921798,2.921798,2.921798,2.921798,3.536425,4.020844,4.035242,3.699576,3.762698,3.379677,3.379412,3.072782,2.180936,2.387684,1,1
2008,3.36853,3.614881,3.93969,1,2.755958,2.755957,2.921833,2.921833,2.921833,2.921833,3.534028,4.021193,4.035217,3.701098,3.763894,3.379751,3.379479,3.072814,2.180941,2.387708,1,1
2009,3.369014,3.612359,3.934892,1,2.755969,2.755969,2.921846,2.921846,2.921846,2.921846,3.521303,4.021304,4.031163,3.701329,3.764393,3.379563,3.37921,3.072826,2.180951,2.387717,1,1
2010,3.370904,3.614075,3.921876,2.58871,2.754636,2.754636,2.920478,2.920478,2.920478,2.920478,3.526988,4.018947,4.023162,3.700985,3.763174,3.378712,3.378486,3.071612,2.180856,2.386755,1,1
2011,3.370448,3.612821,3.921671,1,2.754262,2.754262,2.920096,2.920096,2.920096,2.920096,3.539205,4.01963,4.024951,3.701626,3.763912,3.379043,3.378799,3.071275,2.180782,2.386493,1,1
2012,3.372402,3.62345,3.936312,1,2.754528,2.754528,2.920369,2.920369,2.920368,2.920368,3.542953,4.02125,4.030733,3.702873,3.766985,3.379338,3.379088,3.071523,2.180816,2.386688,1,1
2013,3.370967,3.622036,3.942354,1,2.755277,2.755277,2.921137,2.921137,2.921137,2.921137,3.545269,4.021677,4.036354,3.702775,3.766829,3.379704,3.379521,3.072207,2.180891,2.387227,1,1
2014,3.369599,3.620587,3.94366,1,2.755422,2.755421,2.921284,2.921284,2.921284,2.921284,3.547365,4.02116,4.037553,3.700902,3.764974,3.37975,3.379548,3.072331,2.180895,2.387326,1,1
2015,3.372062,3.619575,3.917428,2.587161,2.752924,2.752924,2.918724,2.918724,2.918724,2.918724,3.54892,4.01502,4.020904,3.697973,3.760249,3.378289,3.378041,3.070051,2.180665,2.385528,1,1
2016,3.376124,3.622889,3.894964,2.583949,2.749373,2.749372,2.915083,2.915083,2.915083,2.915083,3.546609,4.011136,3.999089,3.69645,3.757906,3.376128,3.37586,3.066818,2.180292,2.382987,1,1
2017,3.37154,3.616062,3.903549,1,2.750337,2.750337,2.916075,2.916075,2.916075,2.916075,3.541273,4.01509,4.005159,3.69589,3.758364,3.376492,3.376242,3.06773,2.180401,2.3837,1,1
