EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:21:39 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9997508,1,1,0.9997769,1,1,1,1,1,1,1,0.9997939,1,0.9998747,1,0.9997531,1,1,1,1,1,1
2,1.000264,1,1,1.000363,1,1,1,1,1,1,1,1.002238,1,0.9999971,1,0.9998403,1,1,1,1,1,1
3,1.001043,1,1,1.001196,1,1,1,1,1,1,1,1.005906,1,1.000175,1,0.9998936,1,1,1,1,1,1
4,1.001902,1,1,1.002136,1,1,1,1,1,1,1,1.009944,1,1.000333,1,0.9999283,1,1,1,1,1,1
5,1.002739,1,1,1.003093,1,1,1,1,1,1,1,1.013976,1,1.000419,1,0.9999635,1,1,1,1,1,1
6,1.003502,1,1,1.003994,1,1,1,1,1,1,1,1.017965,1,1.000401,1,1.000008,1,1,1,1,1,1
7,1.004173,1,1,1.004778,1,1,1,1,1,1,1,1.022038,1,1.000259,1,1.000061,1,1,1,1,1,1
8,1.004757,1,1,1.005397,1,1,1,1,1,1,1,1.026311,1,0.9999914,1,1.000121,1,1,1,1,1,1
9,1.005278,1,1,1.005815,1,1,1,1,1,1,1,1.030757,1,0.999607,1,1.000184,1,1,1,1,1,1
10,1.005768,1,1,1.006005,1,1,1,1,1,1,1,1.03514,1,0.9991251,1,1.000242,1,1,1,1,1,1
11,1.006263,1,1,1.005952,1,1,1,1,1,1,1,1.039017,1,0.9985721,1,1.000292,1,1,1,1,1,1
12,1.006801,1,1,1.00565,1,1,1,1,1,1,1,1.041807,1,0.9979791,1,1.000327,1,1,1,1,1,1
13,1.007415,1,1,1.005096,1,1,1,1,1,1,1,1.042894,1,0.9973791,1,1.000344,1,1,1,1,1,1
14,1.008028,1,1,1.004428,1,1,1,1,1,1,1,1.042533,1,0.9966885,1,1.000367,1,1,1,1,1,1
15,1.008634,1,1,1.003794,1,1,1,1,1,1,1,1.040972,1,0.9960153,1,1.000415,1,1,1,1,1,1
16,1.00924,1,1,1.003266,1,1,1,1,1,1,1,1.038336,1,0.9954162,1,1.000486,1,1,1,1,1,1
17,1.009856,1,1,1.002879,1,1,1,1,1,1,1,1.034667,1,0.9948963,1,1.000574,1,1,1,1,1,1
18,1.010489,1,1,1.002654,1,1,1,1,1,1,1,1.029995,1,0.9944158,1,1.00067,1,1,1,1,1,1
19,1.011143,1,1,1.002601,1,1,1,1,1,1,1,1.024398,1,0.9939039,1,1.000769,1,1,1,1,1,1
20,1.011815,1,1,1.002724,1,1,1,1,1,1,1,1.018032,1,0.9932727,1,1.000868,1,1,1,1,1,1
