EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:21:39 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

timestep,value
1,1.567998
2,1.543256
3,1.521138
4,1.501482
5,1.484223
6,1.469385
7,1.457044
8,1.447306
9,1.440273
10,1.436019
11,1.434569
12,1.435889
13,1.446528
14,1.466188
15,1.489013
16,1.505727
17,1.5194
18,1.532327
19,1.544374
20,1.555413
21,1.565319
22,1.573979
23,1.581289
24,1.587152
25,1.575628
26,1.566772
27,1.560155
28,1.555443
29,1.552393
30,1.556597
31,1.556746
32,1.556337
33,1.55779
34,1.561494
35,1.567781
36,1.576915
37,1.595717
38,1.61384
39,1.630102
40,1.643619
41,1.657215
42,1.670145
43,1.682477
44,1.695537
45,1.705558
46,1.711467
47,1.712119
48,1.706258
49,1.693131
50,1.680441
51,1.66821
52,1.656426
53,1.645125
54,1.634381
55,1.624309
56,1.615031
57,1.606695
58,1.599466
59,1.594922
60,1.591928
61,1.600791
62,1.608901
63,1.616349
64,1.623201
65,1.629466
66,1.635096
67,1.63999
68,1.644035
69,1.6471
70,1.64902
71,1.64966
72,1.648879
73,1.637968
74,1.628221
75,1.619509
76,1.611732
77,1.604822
78,1.598744
79,1.593496
80,1.589095
81,1.585572
82,1.582963
83,1.5813
84,1.580614
85,1.583445
86,1.585955
87,1.588159
88,1.590057
89,1.591651
90,1.592927
91,1.59386
92,1.594409
93,1.594533
94,1.594191
95,1.593343
96,1.591953
97,1.598429
98,1.60424
99,1.609388
100,1.613869
101,1.617669
102,1.620768
103,1.623147
104,1.624788
105,1.625678
106,1.625812
107,1.625198
108,1.623855
109,1.622737
110,1.621695
111,1.620721
112,1.619807
113,1.618945
114,1.618125
115,1.617342
116,1.616594
117,1.615882
118,1.615215
119,1.610651
120,1.605284
121,1.604018
122,1.605963
123,1.607155
124,1.60308
125,1.599057
126,1.595089
127,1.591174
128,1.587305
129,1.583475
130,1.57968
131,1.575914
132,1.572178
133,1.564448
134,1.557392
135,1.550955
136,1.545087
137,1.539753
138,1.53493
139,1.530607
140,1.526775
141,1.523426
142,1.520551
143,1.518137
144,1.515429
145,1.51056
146,1.50595
147,1.501572
148,1.497407
149,1.493432
150,1.48962
151,1.485943
152,1.482373
153,1.478883
154,1.475448
155,1.472042
156,1.468644
157,1.468638
158,1.468511
159,1.468225
160,1.467775
161,1.46715
162,1.466329
163,1.465291
164,1.464011
165,1.462469
166,1.460645
167,1.458529
168,1.456117
169,1.45091
170,1.446083
171,1.441589
172,1.437415
173,1.433569
174,1.430069
175,1.426945
176,1.424227
177,1.421947
178,1.420132
179,1.418802
180,1.417967
181,1.418737
182,1.419332
183,1.419767
184,1.420036
185,1.420119
186,1.419989
187,1.419614
188,1.418959
189,1.417996
190,1.416698
191,1.415042
192,1.413012
193,1.410662
194,1.408744
195,1.407201
196,1.405989
197,1.40507
198,1.404415
199,1.404006
200,1.403826
201,1.403865
202,1.404112
203,1.404561
204,1.405205
205,1.40725
206,1.409032
207,1.410585
208,1.411942
209,1.413133
210,1.414182
211,1.4145
212,1.413218
213,1.411929
214,1.410644
215,1.409372
216,1.408123
217,1.410597
218,1.412834
219,1.41485
220,1.416655
221,1.418253
222,1.419647
223,1.420833
224,1.421809
225,1.422574
226,1.423125
227,1.423463
228,1.423589
229,1.424245
230,1.425118
231,1.426173
232,1.427383
233,1.428729
234,1.430195
235,1.431772
236,1.43345
237,1.435221
238,1.43708
239,1.43902
240,1.441034
241,1.440644
242,1.440372
243,1.440225
244,1.440209
245,1.440338
246,1.440626
247,1.44109
248,1.441741
249,1.44259
250,1.44364
251,1.444892
252,1.44634
253,1.447184
254,1.448087
255,1.449045
256,1.450058
257,1.451121
258,1.452236
259,1.453401
260,1.454614
261,1.455869
262,1.457162
263,1.458484
264,1.459825
265,1.462224
266,1.464571
267,1.466864
268,1.46909
269,1.471229
270,1.47326
271,1.475165
272,1.476926
273,1.478529
274,1.479967
275,1.481233
276,1.482328
277,1.485849
278,1.489172
279,1.492308
280,1.495263
281,1.49804
282,1.500638
283,1.50306
284,1.505306
285,1.507382
286,1.509296
287,1.511059
288,1.512684
289,1.51505
290,1.517352
291,1.519613
292,1.521837
293,1.524024
294,1.526173
295,1.52828
296,1.530344
297,1.532362
298,1.534336
299,1.536271
300,1.538171
301,1.540662
302,1.543342
303,1.546146
304,1.549044
305,1.552017
306,1.555054
307,1.558146
308,1.561284
309,1.564463
310,1.567673
311,1.570905
312,1.574147
313,1.575274
314,1.57638
315,1.577502
316,1.578678
317,1.579941
318,1.581323
319,1.582852
320,1.584546
321,1.586418
322,1.58847
323,1.590698
324,1.593089
325,1.58984
326,1.586945
327,1.584369
328,1.582101
329,1.580149
330,1.578526
331,1.577252
332,1.576341
333,1.575802
334,1.575636
335,1.575834
336,1.57638
337,1.576842
338,1.577055
339,1.577074
340,1.576933
341,1.576665
342,1.576305
343,1.575882
344,1.575424
345,1.574953
346,1.574486
347,1.574035
348,1.573604
349,1.572445
350,1.571445
351,1.572318
352,1.573185
353,1.574062
354,1.574969
355,1.575925
356,1.576947
357,1.578048
358,1.579236
359,1.580513
360,1.581878
361,1.587974
362,1.593685
363,1.59902
364,1.603953
365,1.608434
366,1.612404
367,1.615802
368,1.618576
369,1.620684
370,1.6221
371,1.62281
372,1.622815
373,1.620343
374,1.618499
375,1.617236
376,1.616496
377,1.616251
378,1.616498
379,1.617242
380,1.618488
381,1.620239
382,1.622489
383,1.625223
384,1.628417
385,1.629873
386,1.631569
387,1.633443
388,1.635461
389,1.637584
390,1.639769
391,1.641969
392,1.64414
393,1.64624
394,1.648226
395,1.650056
396,1.65169
