EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:21:39 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.682831E-06
1985,3,11,0.00514033
1986,1,1,1.872058E-06
1986,3,11,0.003322626
1987,1,1,2.096656E-06
1987,3,11,0.003433509
1988,1,1,2.457691E-06
1988,3,11,0.004114717
1989,1,1,2.896464E-06
1989,3,11,0.005336723
1990,1,1,3.273532E-06
1990,3,11,0.0165801
1991,1,1,3.956534E-06
1991,3,11,0.01380857
1992,1,1,4.949333E-06
1992,3,11,0.01800425
1993,1,1,6.193355E-06
1993,3,11,0.02219554
1994,1,1,7.621198E-06
1994,3,11,0.02081797
1995,1,1,9.119869E-06
1995,3,11,0.0236046
1996,1,1,1.042433E-05
1996,3,11,0.02777014
1997,1,1,1.127071E-05
1997,3,11,0.01912481
1998,1,1,1.177407E-05
1998,3,11,0.02230154
1999,1,1,1.170694E-05
1999,3,11,0.01761892
2000,1,1,1.0965E-05
2000,3,11,0.012426
2001,1,1,1.008796E-05
2001,3,11,0.00684024
2002,1,1,9.586228E-06
2002,3,11,0.006475178
2003,1,1,9.015131E-06
2003,3,11,0.003168005
2004,1,1,8.505482E-06
2004,3,11,0.003786551
2005,1,1,8.014488E-06
2005,3,11,0.003794743
2006,1,1,7.574552E-06
2006,3,11,0.004792784
2007,1,1,7.120114E-06
2007,3,11,0.00599969
2008,1,1,6.55792E-06
2008,3,11,0.006028713
2009,1,1,5.92866E-06
2009,3,11,0.005608158
2010,1,1,5.403122E-06
2010,3,11,0.005588321
2011,1,1,4.966178E-06
2011,3,11,0.009769867
2012,1,1,4.969722E-06
2012,3,11,0.01088853
2013,1,1,5.226824E-06
2013,3,11,0.007410245
2014,1,1,5.539377E-06
2014,3,11,0.01079347
2015,1,1,5.792495E-06
2015,3,11,0.008731413
2016,1,1,5.971673E-06
2016,3,11,0.01219401
2017,1,1,6.000573E-06
2017,3,11,0.01109924
