EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:21:39 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,3.367066,3.588867,3.837665,2.582243,2.74496,2.74496,2.910566,2.910566,2.910566,2.903566,3.448063,3.998116,3.945907,3.672312,3.731455,3.368373,3.368214,3.062935,2.18031,2.379902,1,1
1986,3.372392,3.601732,3.859758,2.580794,2.744102,2.744102,2.909703,2.909703,2.909703,2.886973,3.469816,4.00099,3.990153,3.678508,3.736656,3.368821,3.368651,3.062172,2.18012,2.379395,1,1
1987,3.377246,3.624883,3.893945,2.581293,2.74306,2.74306,2.908654,2.908655,2.908654,2.863425,3.504384,4.003266,4.041753,3.68571,3.741481,3.36932,3.368432,3.06123,2.179821,2.378773,1,1
1988,3.380715,3.656751,3.93818,2.577163,2.743138,2.743138,2.908729,2.908729,2.908729,2.8612,3.543707,4.0066,4.083235,3.689664,3.747745,3.370328,3.369521,3.06123,2.179552,2.378796,1,1
1989,3.376385,3.701343,3.988334,2.57656,2.743507,2.743507,2.909098,2.909098,2.909098,2.856976,3.592354,4.006153,4.097944,3.696306,3.744448,3.37083,3.369882,3.061476,2.179194,2.379,1,1
1990,3.360284,3.766446,4.050444,2.576015,2.743514,2.743514,2.909103,2.909103,2.909103,2.852001,3.650772,3.998927,4.109756,3.679521,3.726749,3.370148,3.368638,3.061414,2.178705,2.378992,1,1
1991,3.334058,3.83477,4.106287,2.576681,2.74318,2.743179,2.908764,2.908764,2.908764,2.862023,3.708127,3.983354,4.121172,3.639181,3.693816,3.368151,3.366618,3.061068,2.178146,2.378781,1,1
1992,3.305888,3.893555,4.144081,2.577387,2.742588,2.742588,2.908167,2.908167,2.908167,2.873555,3.753525,3.958894,4.135253,3.596464,3.648996,3.365541,3.364164,3.060506,2.177547,2.37842,1,1
1993,3.280279,3.942921,4.167723,2.577511,2.741954,2.741954,2.907527,2.907527,2.907527,2.86136,3.788909,3.925418,4.147264,3.544595,3.597266,3.362839,3.36157,3.059907,2.176955,2.378032,1,1
1994,3.259806,3.983068,4.182838,2.57669,2.741652,2.741652,2.907221,2.907221,2.907221,2.8281,3.816421,3.889483,4.152831,3.490149,3.544946,3.360529,3.359403,3.059589,2.176396,2.377838,1,1
1995,3.244867,4.000889,4.184873,2.575439,2.741917,2.741917,2.907484,2.907484,2.907484,2.783588,3.822512,3.860029,4.148794,3.444585,3.496452,3.358747,3.358012,3.059764,2.17598,2.377979,1,1
1996,3.235373,4.00735,4.180438,2.574615,2.74253,2.74253,2.9081,2.9081,2.9081,2.750391,3.81835,3.843807,4.136651,3.410989,3.455233,3.357676,3.35707,3.060273,2.175806,2.378337,1,1
1997,3.230065,4.00931,4.172658,2.576018,2.742796,2.742796,2.908367,2.908367,2.908367,2.737813,3.811924,3.832247,4.131567,3.388769,3.422253,3.356818,3.356237,3.060494,2.175704,2.378495,1,1
1998,3.227103,4.005762,4.164353,2.577259,2.743026,2.743026,2.9086,2.9086,2.9086,2.740263,3.802153,3.821317,4.124547,3.374217,3.397964,3.356204,3.355753,3.060703,2.175725,2.378633,1,1
1999,3.226938,3.997502,4.152253,2.578911,2.742947,2.742947,2.908522,2.908522,2.908522,2.74571,3.789899,3.807548,4.096957,3.364874,3.380952,3.355594,3.355208,3.060664,2.175821,2.378596,1,1
2000,3.227715,3.989525,4.141294,2.579173,2.742588,2.742588,2.908162,2.908162,2.908162,2.755786,3.778461,3.774867,4.072522,3.358324,3.368305,3.35501,3.354547,3.060409,2.176028,2.378393,1,1
2001,3.2265,3.976997,4.13281,2.576879,2.742751,2.742751,2.908326,2.908326,2.908326,2.777948,3.762409,3.744128,4.059569,3.353322,3.360204,3.354698,3.354347,3.06061,2.17636,2.378489,1,1
