EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/15/2022 8:31:58 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

year,value
1985,0.0270405
1986,0.0009128837
1987,0.008428382
1988,0.01843582
1989,0.02180682
1990,0.0133204
1991,0.01054086
1992,-0.0001800694
1993,-0.00252735
1994,-0.003457135
1995,0.004927032
1996,-9.742421E-05
1997,0.003756166
1998,0.007812385
1999,-0.000284211
2000,-0.005533684
2001,-0.001363504
2002,-0.0037605
2003,-0.003435815
2004,-0.002628008
2005,-0.001701143
2006,-0.002462595
2007,-0.004183762
2008,-0.00685236
2009,-0.003616237
2010,-0.004325162
2011,-0.005955813
2012,-0.007875329
2013,-0.008560758
2014,-0.006180925
2015,-0.003892796
2016,-0.005051298
2017,-0.006956429
