EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/15/2022 8:31:58 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,1.478378
1986,1.531453
1987,1.562038
1988,1.666899
1989,1.637604
1990,1.63364
1991,1.601791
1992,1.539943
1993,1.611746
1994,1.618069
1995,1.595965
1996,1.538935
1997,1.488411
1998,1.462222
1999,1.42674
2000,1.412295
2001,1.398456
2002,1.406304
2003,1.420504
2004,1.431851
2005,1.439973
2006,1.449417
2007,1.468432
2008,1.49443
2009,1.519755
2010,1.548131
2011,1.57201
2012,1.568785
2013,1.567824
2014,1.563825
2015,1.588755
2016,1.600292
2017,1.623618
