EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/15/2022 8:31:58 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.122255,0.6488749,0.3350689,1.749699,1.354493,1.751009,2.06854,1.524373,1.366136,0.8675817,0.3209618,3.083292,0.8041951,1.441559,1.308559,1.57232,0.8174151,2.17785,2.432162,45.83631,186.4429,0
1986,1.125543,0.6585366,0.3052482,1.716422,1.334506,1.496666,1.636423,1.170759,1.074338,0.7545685,0.3139569,2.701557,1.278168,1.423834,1.415047,1.144468,0.7567679,2.17152,2.433292,45.83635,186.4488,0
1987,1.123485,0.6245337,0.226179,1.699356,1.33077,1.587905,1.733586,1.220724,1.120165,0.7768671,0.314127,3.441925,1.287663,1.35424,1.330501,1.603668,0.6836109,2.162003,2.435255,45.85819,186.4272,0
1988,1.120728,0.5919102,0.3327628,1.697563,1.349381,1.673967,1.852427,1.28675,1.138434,0.7851534,0.3163324,1.414182,1.236798,1.356746,1.611032,1.145057,0.7389696,2.180166,2.437717,45.86989,186.4034,0
1989,1.132579,0.5758566,0.2038127,1.705658,1.346444,1.696803,1.922871,1.404618,1.250367,0.8218177,0.3203523,1.792267,0.8624403,1.34824,1.464141,1.222841,0.7235956,2.236965,2.441172,45.8801,186.382,0
1990,1.142092,0.5665085,0.18578,1.713362,1.336955,1.611338,1.871784,1.375667,1.274829,0.8323641,0.3608027,1.60315,0.9389599,1.486552,1.249856,1.283404,0.7088804,2.317308,2.444771,45.88386,186.3607,0
1991,1.151263,0.5697272,0.1916943,1.714639,1.341641,1.599043,1.783792,1.275395,1.161572,0.8086219,0.3504087,2.249512,0.9739168,1.606717,1.40848,1.348328,0.7414936,2.380758,2.448524,45.88498,186.344,0
1992,1.169644,0.5693133,0.2007929,1.715492,1.318591,1.478284,1.685846,1.222048,1.127631,0.7920432,0.3649693,2.14632,0.9564815,1.64492,1.387946,1.405294,0.7932366,2.427007,2.452128,45.89827,186.3265,0
1993,1.193138,0.5820863,0.2176692,1.729111,1.321344,1.457451,1.599545,1.135923,1.058741,0.770559,0.3797689,2.189071,0.9443104,1.69002,1.205619,1.455975,0.815891,2.463075,2.455675,45.92317,186.2975,0
1994,1.215941,0.5907059,0.2410497,1.749748,1.324514,1.443974,1.575468,1.12118,1.048784,0.7662768,0.3740995,2.424352,0.9422536,1.795757,1.190312,1.494014,0.8383659,2.475302,2.459231,45.94811,186.2637,0
1995,1.24098,0.596905,0.2648249,1.772911,1.335765,1.501683,1.679757,1.221391,1.125093,0.7925813,0.383455,2.397156,0.8304874,1.856992,1.18176,1.537521,0.9617567,2.460949,2.461019,45.94958,186.2428,0
