EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:14:32 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

year,value
1985,1.457946
1986,1.435349
1987,1.426094
1988,1.443868
1989,1.482003
1990,1.510633
1991,1.516107
1992,1.507904
1993,1.507223
1994,1.527996
1995,1.554549
1996,1.568582
1997,1.561397
1998,1.533991
1999,1.509261
2000,1.505641
2001,1.515327
2002,1.526272
2003,1.527512
2004,1.514478
2005,1.493708
2006,1.474214
2007,1.462523
2008,1.460734
2009,1.461406
2010,1.464964
2011,1.471821
2012,1.477175
2013,1.478906
2014,1.47591
2015,1.47378
2016,1.480219
2017,1.494724
