EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:36:04 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,1.513097
1986,1.605482
1987,1.679647
1988,1.796761
1989,1.773733
1990,1.72514
1991,1.754193
1992,2.045669
1993,1.779898
1994,1.792261
1995,1.780872
1996,1.711238
1997,1.629151
1998,1.691328
1999,1.688923
2000,1.641233
2001,1.62626
2002,1.633086
2003,1.630917
2004,1.639779
2005,1.947625
2006,1.76082
2007,2.157009
2008,1.56573
2009,1.631685
2010,1.753281
2011,2.01194
2012,1.650623
2013,1.889955
2014,1.549466
2015,1.656709
2016,1.881545
2017,1.527943
