EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:36:04 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.127432,0.649216,0.3353516,1.800233,1.360709,1.75752,2.074592,1.529196,1.371294,0.8707096,0.3210717,2.699796,0.8048717,1.439818,1.307599,1.577819,0.8218906,2.167443,2.430279,45.63148,182.1794,0
1986,1.160459,0.663658,0.3074066,2.114191,1.369062,1.525976,1.663198,1.190621,1.094151,0.7688379,0.3149688,2.286291,1.293102,1.569545,1.421336,1.562435,0.7674568,2.103709,2.381745,41.29726,172.3101,0
1987,1.129983,0.6206082,0.2270462,1.213294,1.313664,1.556084,1.686549,1.191388,1.09683,0.7612941,0.3143015,2.945336,1.305058,1.169402,1.283942,1.52399,0.6312807,1.820089,2.335477,46.61297,197.0548,0
1988,1.102093,0.5833549,0.3308716,1.600854,1.293267,1.699475,1.863664,1.280664,1.130671,0.7763026,0.3156911,0.7556169,1.245387,0.8485467,1.543311,1.215954,0.6779212,1.800282,2.511381,49.59479,195.537,0
1989,1.103051,0.5760577,0.2037764,2.15183,1.376893,1.638949,1.973181,1.428813,1.255914,0.8201665,0.3198536,1.006991,0.8612466,1.075976,1.426234,1.69646,0.6715701,1.90301,2.529558,47.47728,187.9492,0
1990,1.153017,0.5711452,0.1875445,1.729778,1.346668,1.637315,1.788894,1.403859,1.288387,0.8257936,0.3602644,0.7141175,0.9386441,1.453973,1.231198,1.670576,0.6340496,1.970014,2.471078,45.80483,189.4913,0
1991,1.171803,0.5685255,0.1934773,1.134063,1.311973,1.576678,1.771873,1.1886,1.151968,0.7856536,0.3491111,1.150868,0.9638985,1.288115,1.362254,1.352935,0.609821,1.932398,2.494185,50.64635,199.9968,0
1992,1.236468,0.5766062,0.2040347,2.944033,1.368767,1.536112,1.758107,1.275908,1.092037,0.8011773,0.3651332,0.9371155,0.9595081,1.711676,1.385307,1.957267,0.6771958,2.107123,2.55843,43.46769,166.7765,0
1993,1.202462,0.5909393,0.221999,1.394807,1.342808,1.398848,1.551796,1.111709,1.032739,0.7147937,0.3834598,0.9701683,0.9429515,1.741001,1.188518,1.544679,0.6181864,1.983151,2.360411,45.60953,196.56,0
1994,1.186824,0.5895746,0.2430649,1.329526,1.231871,1.502758,1.534563,1.088438,1.002087,0.7149964,0.3778148,0.7907813,0.9272762,1.232417,1.146441,1.389507,0.6065004,1.997593,2.522701,50.82772,202.5494,0
1995,1.16464,0.597834,0.2648253,2.271558,1.340659,1.416618,1.774678,1.191698,1.068682,0.7356634,0.38746,0.6241794,0.8168959,1.399502,1.153742,1.83971,0.7199332,2.087336,2.599921,50.52371,196.8815,0
1996,1.181467,0.6053709,0.2414649,2.036027,1.35607,1.4692,1.51922,1.215702,1.038879,0.7432886,0.4054677,1.051906,0.8539365,1.805124,1.257059,1.890729,0.7100117,2.180769,2.565786,48.24376,189.1248,0
1997,1.246844,0.6232427,0.2687005,2.013631,1.360812,1.546862,1.638448,1.077094,1.098176,0.7533733,0.3757654,1.287165,0.9419972,2.005701,1.341715,2.033962,0.7302823,2.215795,2.484565,44.68644,183.0874,0
1998,1.206175,0.6164097,0.3489845,1.170282,1.334937,1.546724,1.659975,1.138168,0.9640978,0.7582334,0.3901485,1.090657,0.8650217,1.554186,1.367875,1.438088,0.6844937,2.086408,2.443588,48.6222,199.6399,0
1999,1.173179,0.6212516,0.4021047,2.0109,1.30406,1.495121,1.608103,1.139745,1.031092,0.7355781,0.3711259,1.032502,0.7655795,1.34878,1.458738,1.843918,0.7156303,2.152362,2.554473,48.90251,191.3257,0
2000,1.138606,0.6492631,0.3633129,1.974616,1.343009,1.362161,1.583211,1.141045,1.058411,0.7408399,0.3502087,1.146925,0.8271356,1.45461,1.553063,1.761798,0.6898623,2.174608,2.506167,47.07021,190.5616,0
2001,1.125028,0.6430514,0.3762056,1.741619,1.308483,1.475044,1.527233,1.12752,1.033805,0.7485632,0.3270334,1.315396,0.8875307,1.323078,1.381677,1.648069,0.7273546,2.141517,2.494645,48.26641,195.124,0
2002,1.1308,0.6266327,0.360107,1.719614,1.325107,1.429195,1.594837,1.074293,1.029908,0.7501015,0.3247683,1.085447,0.7413022,1.318241,1.458518,1.731436,0.7096716,2.166891,2.527038,48.52207,192.3877,0
2003,1.151753,0.6380342,0.3820003,1.9872,1.341897,1.443023,1.542043,1.110177,0.9813979,0.7547752,0.3124336,1.280169,0.7933514,1.463563,1.340192,1.840882,0.7598519,2.219132,2.505741,46.65381,189.4769,0
2004,1.153512,0.6433995,0.3669427,1.404721,1.31098,1.438383,1.555833,1.104957,1.041856,0.7298914,0.3136646,1.373411,0.8227289,1.357618,1.19619,1.462966,0.7498806,2.151715,2.498202,50.01994,196.2866,0
2005,1.226661,0.6505166,0.3848034,3.173239,1.393756,1.5471,1.651047,1.163049,1.070464,0.7884836,0.3151102,1.548907,0.7933094,2.00581,1.290635,2.075119,0.8151844,2.352153,2.517177,40.85915,161.7774,0
2006,1.159483,0.6465577,0.4002742,1.077514,1.310742,1.366411,1.542303,1.148938,1.03621,0.7239864,0.3163127,1.696349,0.8030961,1.444796,1.280944,1.257781,0.7506621,2.017596,2.381025,51.13355,207.8423,0
2007,1.191908,0.6616191,0.4263059,3.01919,1.304345,1.603941,1.667967,1.20281,1.100273,0.7754641,0.3211633,1.069045,0.83301,1.594627,1.382401,1.871732,0.8550852,2.320072,2.634848,44.56477,157.4462,0
2008,1.229634,0.6667948,0.4296757,1.909767,1.366809,1.264626,1.632381,1.120774,1.035456,0.7508387,0.3225237,2.152988,0.8360208,2.057864,1.284442,1.797614,0.8030868,2.191208,2.312627,40.93581,179.2796,0
2009,1.225734,0.6709103,0.4676951,1.60475,1.256657,1.522307,1.415287,1.16562,1.019812,0.7489809,0.3212382,1.42692,0.8118094,1.533637,1.261248,1.4476,0.9195993,2.096139,2.341776,43.64351,185.8207,0
2010,1.128076,0.6436167,0.3921421,0.9878475,1.286478,1.337045,1.669463,1.031267,1.070282,0.7281377,0.3190853,1.113721,0.8485941,1.048755,1.089167,1.093706,0.6493047,1.960866,2.442739,51.69827,202.7376,0
2011,1.143258,0.6851802,0.4033864,3.295803,1.372078,1.516038,1.596811,1.303042,1.006446,0.7884195,0.3343652,1.171939,0.8054626,1.699082,1.123266,1.964663,0.7711473,2.272091,2.573592,40.67392,148.7928,0
2012,1.128763,0.6559681,0.3907073,1.337769,1.311959,1.262018,1.484091,1.026329,1.067892,0.7022445,0.3380897,1.827973,0.7669333,1.688635,1.181533,1.308196,0.706744,2.014236,2.313297,47.04251,197.3156,0
2013,1.187494,0.6621276,0.4287542,2.805576,1.292354,1.528242,1.51148,1.103869,0.9575452,0.7681783,0.3270389,1.289181,0.7268489,1.698405,1.192333,1.85852,0.757099,2.218209,2.508258,43.41637,163.2717,0
2014,1.208771,0.6679787,0.439703,1.650261,1.375247,1.312191,1.677714,1.058798,0.9997317,0.7299412,0.3403206,2.048637,0.7013928,2.055773,1.156362,1.806755,0.7299111,2.137479,2.288185,40.48795,180.6489,0
2015,1.150623,0.654034,0.4478641,0.9672837,1.211721,1.48044,1.483132,1.178775,0.9415841,0.7157721,0.331534,1.264628,0.7683181,1.247112,1.12166,1.113233,0.6743279,1.977537,2.384825,49.91145,200.7645,0
