EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:36:04 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,2.963848
2,2.965231
3,2.965103
4,2.964302
5,2.963299
6,2.962318
7,2.961441
8,2.960675
9,2.959998
10,2.959378
11,2.958789
12,2.98934
13,3.224375
14,3.215044
15,3.200991
16,3.185663
17,3.171115
18,3.158255
19,3.147238
20,3.137821
21,3.129621
22,3.122262
23,3.115437
24,3.03736
25,2.97266
26,2.974941
27,2.980789
28,2.986144
29,2.989856
30,2.9919
31,2.992677
32,2.992662
33,2.992266
34,2.991796
35,2.991447
36,2.994943
37,2.96705
38,2.968128
39,2.968724
40,2.969114
41,2.969405
42,2.969573
43,2.969583
44,2.969415
45,2.969026
46,2.968442
47,2.967699
48,2.983433
49,2.941967
50,2.939198
51,2.933105
52,2.925957
53,2.919099
54,2.913214
55,2.908538
56,2.905045
57,2.902617
58,2.901069
59,2.900202
60,2.902562
61,2.9256
62,2.926256
63,2.927149
64,2.928428
65,2.930066
66,2.93196
67,2.933994
68,2.93606
69,2.938068
70,2.939956
71,2.941694
72,2.899206
73,2.905555
74,2.912067
75,2.921194
76,2.929696
77,2.936558
78,2.941683
79,2.945341
80,2.947907
81,2.949717
82,2.951062
83,2.952138
84,3.027415
85,3.123899
86,3.136411
87,3.131464
88,3.116805
89,3.099283
90,3.083503
91,3.07195
92,3.064722
93,3.061063
94,3.059821
95,3.059906
96,2.976569
97,2.994376
98,2.999988
99,3.006713
100,3.011496
101,3.014452
102,3.016472
103,3.017973
104,3.019385
105,3.021123
106,3.023437
107,3.026483
108,3.016731
109,3.030054
110,3.036907
111,3.045748
112,3.054933
113,3.0634
114,3.070554
115,3.076502
116,3.081365
117,3.085173
118,3.087922
119,3.089538
120,3.10103
121,3.058795
122,3.055423
123,3.049178
124,3.041806
125,3.034497
126,3.027954
127,3.022474
128,3.018143
129,3.014906
130,3.012636
131,3.011199
132,3.024669
133,3.070999
134,3.070775
135,3.068825
136,3.06646
137,3.064231
138,3.062396
139,3.061132
140,3.060541
141,3.060611
142,3.061239
143,3.062277
144,3.083884
145,3.069286
146,3.071595
147,3.070945
148,3.069548
149,3.068462
