EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:26:22 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of spiny dogfish"

timestep\group,"spiny dogfish",
1,0.001215815
2,0.00121456
3,0.001213375
4,0.001212233
5,0.001211131
6,0.001210066
7,0.001209034
8,0.00120803
9,0.001207049
10,0.001206087
11,0.001205138
12,0.001204199
13,0.001202865
14,0.001201461
15,0.001200011
16,0.001198508
17,0.00119695
18,0.001195336
19,0.001193669
20,0.001191957
21,0.001190208
22,0.001188433
23,0.001186644
24,0.001184854
25,0.001182835
26,0.00118083
27,0.00117884
28,0.001176874
29,0.001174937
30,0.00117303
31,0.001171152
32,0.001169299
33,0.001167466
34,0.001165646
35,0.001163836
36,0.001162029
37,0.001160076
38,0.001158082
39,0.001156044
40,0.001153951
41,0.001151802
42,0.0011496
43,0.001147357
44,0.001145087
45,0.001142811
46,0.001140553
47,0.001138339
48,0.001136196
49,0.001132994
50,0.001129779
51,0.001126591
52,0.001123436
53,0.001120321
54,0.001117254
55,0.00111424
56,0.001111287
57,0.0011084
58,0.001105584
59,0.001102846
60,0.00110019
61,0.00109253
62,0.001084983
63,0.001077603
64,0.0010704
65,0.001063379
66,0.001056543
67,0.001049898
68,0.001043443
69,0.001037179
70,0.001031106
71,0.001025222
72,0.001019526
73,0.001014615
74,0.001009884
75,0.001005347
76,0.001001
77,0.0009968419
78,0.0009928694
79,0.0009890784
80,0.0009854655
81,0.0009820272
82,0.00097876
83,0.0009756601
84,0.0009727241
85,0.000968628
86,0.0009647111
87,0.0009609659
88,0.0009573894
89,0.0009539796
90,0.000950733
91,0.0009476472
92,0.0009447203
93,0.0009419502
94,0.0009393355
95,0.0009368735
96,0.0009345629
97,0.000930566
98,0.0009267317
99,0.0009230765
100,0.0009195988
101,0.000916295
102,0.0009131625
103,0.000910198
104,0.0009073976
105,0.0009047571
106,0.0009022726
107,0.0008999404
108,0.0008977556
109,0.0008958037
110,0.0008939921
111,0.0008923319
112,0.0008908193
113,0.0008894491
114,0.0008882171
115,0.0008871181
116,0.0008861465
117,0.000885298
118,0.000884567
119,0.0008839484
120,0.0008834381
121,0.0008843777
122,0.000885401
123,0.0008864082
124,0.0008873977
125,0.0008883702
126,0.0008893273
127,0.0008902722
128,0.0008912081
129,0.00089214
130,0.000893072
131,0.0008940084
132,0.0008949536
133,0.0008938278
134,0.000892712
135,0.0008916385
136,0.0008906079
137,0.0008896195
138,0.0008886731
139,0.0008877675
140,0.000886901
141,0.0008860731
142,0.0008852819
143,0.0008845257
144,0.0008838024
145,0.0008861664
146,0.0008885362
147,0.0008909009
148,0.0008932607
149,0.0008956147
150,0.0008979625
151,0.000900303
152,0.0009026353
153,0.000904958
154,0.0009072704
155,0.0009095707
156,0.000911858
157,0.0009128686
158,0.0009138546
159,0.0009148255
160,0.0009157814
161,0.0009167227
162,0.00091765
163,0.0009185643
164,0.0009194671
165,0.0009203585
166,0.0009212404
167,0.000922113
168,0.0009229776
169,0.0009257097
170,0.0009284004
171,0.0009310376
172,0.0009336227
173,0.0009361571
174,0.0009386429
175,0.0009410817
176,0.0009434755
177,0.0009458259
178,0.0009481349
179,0.0009504039
180,0.0009526346
181,0.0009558022
182,0.0009589287
183,0.0009620453
184,0.0009651519
185,0.0009682472
186,0.0009713301
187,0.0009743975
188,0.0009774473
189,0.0009804767
190,0.0009834833
191,0.0009864637
192,0.0009894159
193,0.0009951452
194,0.001000813
195,0.001006378
196,0.001011838
197,0.001017195
198,0.001022451
199,0.001027609
200,0.001032671
201,0.001037642
202,0.001042526
203,0.001047326
204,0.001052046
205,0.001056326
206,0.001060542
207,0.001064715
208,0.001068846
209,0.001072935
210,0.001076982
211,0.001080984
212,0.00108494
213,0.001088845
214,0.001092698
215,0.001096494
216,0.001100231
217,0.001105636
218,0.001110955
219,0.001116161
220,0.001121252
221,0.001126231
222,0.001131099
223,0.001135861
224,0.001140521
225,0.001145084
226,0.001149556
227,0.001153941
228,0.001158246
229,0.001162565
230,0.001166792
