EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/3/2022 11:26:23 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.003116603,0.09010532,0.4535883,0.002775268,0.04852026,0.156709,0.2979859,0.4433162,0.5714025,0.7220632,0.1773481,0.00136705,0.1432798,0.002429789,0.07501523,0.002895172,0.1199239,0.3000136,0.1950089,0.2965718,0,0
2,0.003116986,0.09003549,0.4535059,0.002791804,0.04846891,0.1565508,0.298234,0.4438871,0.5716547,0.7220125,0.1773481,0.001325367,0.1439642,0.002430331,0.07501002,0.00287622,0.1201625,0.3000136,0.1950089,0.2965718,0,0
3,0.003117463,0.08993745,0.4534666,0.002814924,0.04838328,0.156364,0.2987638,0.444896,0.5721505,0.7218753,0.1773481,0.00127834,0.1450348,0.002431092,0.07500891,0.002852748,0.1204964,0.3000136,0.1950089,0.2965718,0,0
4,0.003118209,0.08981433,0.4534786,0.002842347,0.04827249,0.1561367,0.2994998,0.4463346,0.5728924,0.7217075,0.1773481,0.001228945,0.1464667,0.002432075,0.07501292,0.002826127,0.1209124,0.3000136,0.1950089,0.2965718,0,0
5,0.003119255,0.08966866,0.4535465,0.002871792,0.04814395,0.1558645,0.3003798,0.4481817,0.5738852,0.7215521,0.1773481,0.001179833,0.1482407,0.002433209,0.07502259,0.002797988,0.1213986,0.3000136,0.1950089,0.2965718,0,0
6,0.003120552,0.08950245,0.4536718,0.002901038,0.04800361,0.155548,0.301353,0.4504073,0.5751353,0.7214419,0.1773481,0.001133393,0.1503413,0.002434388,0.07503793,0.002770128,0.1219446,0.3000136,0.1950089,0.2965718,0,0
7,0.003122008,0.08931711,0.4538525,0.00292799,0.04785614,0.1551913,0.3023784,0.4529764,0.5766492,0.7214018,0.1773481,0.001091745,0.1527565,0.002435484,0.07505844,0.002744385,0.1225411,0.3000136,0.1950089,0.2965718,0,0
8,0.003123512,0.0891135,0.4540839,0.002950735,0.04770505,0.1548,0.3034235,0.4558511,0.5784331,0.7214503,0.1773481,0.001056693,0.155477,0.002436369,0.07508316,0.002722529,0.12318,0.3000136,0.1950089,0.2965718,0,0
9,0.003124956,0.08889209,0.454358,0.002967601,0.04755291,0.1543804,0.3044624,0.4589925,0.5804923,0.7216003,0.1773481,0.001029656,0.1584961,0.00243693,0.07511078,0.002706187,0.1238539,0.3000136,0.1950089,0.2965718,0,0
10,0.003126248,0.08865297,0.4546653,0.002977184,0.04740145,0.1539389,0.3054754,0.4623611,0.582831,0.7218615,0.1773481,0.001011621,0.1618094,0.002437075,0.07513973,0.002696784,0.1245568,0.3000136,0.1950089,0.2965718,0,0
11,0.003127323,0.08839595,0.4549941,0.002978358,0.0472517,0.1534813,0.3064475,0.4659187,0.5854518,0.7222399,0.1773481,0.001003164,0.1654152,0.002436745,0.07516831,0.002695512,0.125283,0.3000136,0.1950089,0.2965718,0,0
12,0.003128142,0.08812073,0.4553322,0.002970237,0.04710413,0.1530128,0.3073677,0.4696277,0.588356,0.722739,0.1773481,0.001004423,0.1693132,0.002435912,0.07519481,0.00270332,0.1260278,0.3000136,0.1950089,0.2965718,0,0
13,0.003127856,0.08782978,0.455845,0.002951276,0.04702488,0.1525789,0.308058,0.4733912,0.5916294,0.723348,0.1773481,0.001015237,0.1726819,0.002438054,0.07515969,0.002718832,0.1263709,0.3000136,0.1950089,0.2965718,0,0
14,0.003126474,0.08753005,0.4564847,0.002928677,0.04701377,0.152013,0.3080875,0.4765647,0.5946968,0.7236837,0.1773481,0.001032578,0.1760988,0.002442902,0.0751357,0.002745008,0.1264232,0.3000136,0.1950089,0.2965718,0,0
