EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.008887148,0.03673754,0.01915882,0.1724017,0.8253589,0.7184804,0.2666156,0.0946774,0.03699025,0.0304426,0.2715662,0.002741103,0.1949515,0.001219801,0.01260911,0.008190424,0.159995,0.2738581,14.54347,13.60595,8.592868,12.97287
1986,0.009738305,0.03782397,0.02073903,0.2448213,0.6562119,0.6691055,0.2699765,0.08333655,0.03604062,0.03060304,0.2730863,0.002078725,0.1321187,0.001230114,0.01222918,0.01094452,0.1840287,0.2821949,14.53053,13.6326,8.586408,12.96899
1987,0.01032641,0.03989534,0.02389686,0.2867611,0.7645302,0.5173159,0.2611141,0.09079254,0.03428078,0.03144859,0.2762214,0.001226497,0.08891811,0.001251849,0.01242359,0.01147794,0.2328006,0.2923226,14.51067,13.62449,8.585694,12.96506
1988,0.01169502,0.04345821,0.02758989,0.3490379,1.027061,0.5679643,0.1866004,0.08328946,0.03536845,0.03018689,0.2799974,0.002274681,0.07444642,0.001308017,0.01189753,0.01626371,0.2826592,0.3018497,14.48681,13.56063,8.593593,12.96361
1989,0.01386264,0.04783409,0.03329499,0.31191,1.103775,0.7489543,0.1928768,0.05418928,0.03065561,0.02919887,0.2841564,0.002479035,0.08676378,0.001239481,0.01177594,0.0209117,0.3541017,0.298944,14.4604,13.53024,8.602803,12.9694
1990,0.01656668,0.05275704,0.04235135,0.2656599,1.001704,0.8091853,0.2646036,0.05548103,0.01941347,0.0266218,0.2838802,0.002606258,0.101497,0.001154846,0.01240077,0.02468915,0.4552256,0.2778792,14.42576,13.53568,8.605353,12.97301
1991,0.02080321,0.05867308,0.0537064,0.2606072,0.9124027,0.7550905,0.2982903,0.0810037,0.02099294,0.02171992,0.2833774,0.002177096,0.1063708,0.001086332,0.01164071,0.0304206,0.5630203,0.2422438,14.38398,13.54769,8.6052,12.97316
1992,0.02630855,0.06739535,0.06756239,0.3048241,0.9811999,0.7174795,0.2939077,0.09773472,0.03215801,0.02043597,0.2850554,0.002064653,0.1072662,0.0009510883,0.01036818,0.03585904,0.6586921,0.202712,14.3402,13.52824,8.607552,12.97216
1993,0.03276892,0.07829005,0.08323067,0.2528169,0.8960173,0.7830616,0.2946109,0.101869,0.04004982,0.02451962,0.2853583,0.002165839,0.1078816,0.0008330073,0.009753867,0.040029,0.7426422,0.1640942,14.29969,13.54454,8.60989,12.9754
1994,0.04040451,0.0897755,0.09907579,0.2730202,0.8103299,0.7054206,0.3290701,0.1050088,0.0424619,0.02990924,0.2870872,0.001968612,0.1074764,0.0007443142,0.009159944,0.04364802,0.8151364,0.1304733,14.25446,13.55488,8.60838,12.97258
1995,0.04790976,0.1010553,0.1130751,0.3097025,0.9046225,0.6340929,0.2844849,0.11207,0.042072,0.0327019,0.2894548,0.001961689,0.1112336,0.0006681565,0.008443885,0.04607723,0.830438,0.104172,14.21635,13.54948,8.607636,12.96905
1996,0.05442623,0.1105665,0.1263857,0.3258022,1.030244,0.7263313,0.2579275,0.09805133,0.0446264,0.03328988,0.2880903,0.00186922,0.11404,0.0006088419,0.007618697,0.04553945,0.8180037,0.08491903,14.19957,13.51883,8.611838,12.96885
1997,0.05931084,0.1179122,0.1396759,0.3212778,1.043027,0.7923348,0.2966448,0.09016348,0.0396536,0.03423462,0.2892672,0.001892453,0.1095682,0.0005534398,0.006734902,0.04443108,0.8015609,0.0713783,14.19351,13.51334,8.614287,12.97103
