EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,7.062835,2.96689,1.771263,5.977994,9.250016,6.433968,5.32545,4.580312,4.202361,3.810023,1.810342,13.06674,3.153925,9.962731,3.755629,10.89936,3.663856,7.344255,12.47232,154.5082,0,0
2,7.028655,3.020076,1.724867,15.29325,9.474625,6.471972,5.404295,4.631628,4.23375,3.816499,1.810876,13.13228,3.139325,9.965857,3.732916,10.89807,3.665561,7.348077,12.47217,154.4466,0,0
3,7.035032,2.980283,1.704701,30.74042,9.60654,6.491797,5.461892,4.676882,4.256245,3.819043,1.810475,13.1975,3.141122,9.964475,3.728499,10.88347,3.66185,7.342005,12.46928,154.471,0,0
4,7.050611,2.940977,1.69225,7.193326,9.820491,6.511212,5.517221,4.729483,4.282903,3.82904,1.811764,13.25896,3.148347,9.973536,3.730375,10.88943,3.664385,7.351043,12.47142,154.3892,0,0
5,7.048978,2.893044,1.668576,22.09249,10.02412,6.516259,5.55841,4.776767,4.302697,3.836268,1.81191,13.30556,3.146923,9.975674,3.724534,10.89482,3.663362,7.353328,12.47097,154.3453,0,0
6,7.076288,2.915747,1.671316,37.17819,10.06661,6.504502,5.584455,4.815757,4.313202,3.83827,1.812122,13.34096,3.164067,9.9965,3.734249,10.88295,3.656301,7.344137,12.46767,154.4001,0,0
7,7.099951,2.915312,1.686084,21.82719,10.07874,6.490592,5.612017,4.859356,4.326192,3.845407,1.813671,13.36181,3.189189,10.00879,3.75053,10.88688,3.653841,7.345822,12.46807,154.3857,0,0
8,7.098685,2.900819,1.68815,21.78973,10.05494,6.466377,5.634688,4.900868,4.335699,3.852207,1.814551,13.36517,3.204927,10.00394,3.756747,10.8945,3.65079,7.346519,12.46829,154.3748,0,0
9,7.099206,2.885994,1.694416,20.63421,9.998548,6.43216,5.653894,4.940617,4.341967,3.858752,1.81547,13.35135,3.223076,9.998724,3.764491,10.89223,3.647217,7.347028,12.46856,154.3644,0,0
10,7.093682,2.865929,1.697591,15.76539,9.970107,6.390488,5.672984,4.980899,4.346955,3.866694,1.816561,13.31528,3.238927,9.9908,3.769556,10.88415,3.644859,7.351038,12.46979,154.3239,0,0
11,7.076782,2.848137,1.688322,8.780575,10.05382,6.342112,5.693024,5.022233,4.351026,3.876287,1.817808,13.25403,3.246695,9.984794,3.766825,10.86835,3.644031,7.359282,12.47204,154.2419,0,0
12,7.064815,2.870178,1.677318,11.46724,10.25971,6.283334,5.709823,5.060577,4.350551,3.884158,1.819,13.17023,3.252885,9.991151,3.763104,10.83303,3.641496,7.364822,12.47289,154.1686,0,0
13,7.066898,2.917726,1.682312,25.35474,10.47475,6.124162,5.547347,4.942759,4.258199,3.851454,1.819879,13.16902,3.32376,9.998204,3.793314,10.48389,3.614505,7.361244,12.47087,154.1665,0,0
14,7.104003,2.966031,1.732199,32.28662,10.20959,6.12709,5.483558,4.893061,4.218081,3.828209,1.820613,13.15789,3.404374,10.00428,3.834321,10.46209,3.600567,7.342735,12.46623,154.3097,0,0
15,7.114672,2.931566,1.776024,8.435369,10.01781,6.169479,5.446491,4.86321,4.198982,3.819559,1.823482,13.13268,3.480736,9.98074,3.870325,10.48193,3.6023,7.354822,12.47025,154.2292,0,0
16,7.049009,2.941326,1.748151,12.2748,9.918609,6.224016,5.409677,4.832493,4.181945,3.808814,1.824785,13.08059,3.512757,9.951008,3.858884,10.50229,3.603526,7.361583,12.47216,154.1631,0,0
17,7.058685,2.994159,1.770648,31.61365,9.534213,6.290976,5.358641,4.790409,4.156869,3.786955,1.825058,13.03965,3.574443,9.94518,3.875913,10.48025,3.594863,7.343987,12.46798,154.2954,0,0
18,7.083236,2.94551,1.812768,14.90469,9.198898,6.381001,5.321745,4.764869,4.14763,3.77633,1.827335,12.99712,3.647288,9.927259,3.904903,10.48226,3.598515,7.350425,12.47042,154.2583,0,0
19,7.036137,2.90572,1.793508,16.21392,8.983756,6.451939,5.279595,4.740571,4.140763,3.764718,1.828207,12.92945,3.683362,9.900325,3.893715,10.49213,3.602639,7.353851,12.47189,154.2293,0,0
20,7.02465,2.878946,1.787649,17.24044,8.823598,6.511202,5.230603,4.717518,4.136105,3.752015,1.82923,12.87633,3.726617,9.89357,3.89095,10.49108,3.606819,7.355095,12.47271,154.2131,0,0
21,7.025343,2.857184,1.786334,15.4614,8.751421,6.55556,5.175811,4.697544,4.135259,3.739703,1.830489,12.83445,3.771683,9.896228,3.890756,10.49435,3.612547,7.3574,12.4738,154.1879,0,0
22,7.014048,2.835294,1.768757,3.771017,8.891081,6.59118,5.118987,4.684484,4.141757,3.730984,1.832335,12.80455,3.807277,9.904124,3.881649,10.5162,3.623046,7.368055,12.47732,154.0929,0,0
23,7.004322,2.915093,1.740693,1.989872E-06,9.242641,6.624438,5.053385,4.671973,4.150118,3.720787,1.834162,12.80392,3.835677,9.931306,3.867355,10.54843,3.633292,7.376265,12.47943,154.0008,0,0
24,7.020442,2.881748,1.734894,36.55433,9.344373,6.683744,4.968537,4.649351,4.150805,3.700378,1.833729,12.8127,3.875495,9.942397,3.865237,10.57465,3.634263,7.362492,12.47474,154.0805,0,0
25,7.08949,2.922206,1.778782,30.76567,9.133779,6.856106,4.925258,4.650059,4.154377,3.691268,1.835554,13.6238,3.949976,9.971362,3.879553,10.92382,3.617184,7.348298,12.47159,154.2025,0,0
26,7.121919,2.898887,1.824129,18.40973,8.989467,6.826199,4.969436,4.648882,4.153722,3.687865,1.837987,13.63195,4.0172,9.961588,3.896388,10.93633,3.627202,7.349028,12.47308,154.222,0,0
27,7.095864,2.862481,1.823381,13.85107,8.967856,6.726639,5.034834,4.650477,4.153383,3.687975,1.8397,13.62953,4.06091,9.932211,3.886046,10.95571,3.637079,7.35413,12.47585,154.1953,0,0
28,7.078618,2.851165,1.818011,15.07621,8.937355,6.657847,5.103864,4.649255,4.150528,3.688143,1.841362,13.62684,4.101754,9.915201,3.874646,10.96229,3.643394,7.357062,12.47769,154.1724,0,0
29,7.077,2.84608,1.819005,16.25451,8.918942,6.563134,5.194791,4.643835,4.145957,3.688408,1.843005,13.62489,4.144553,9.905893,3.868118,10.9599,3.6464,7.3583,12.47881,154.1575,0,0
30,7.081842,2.844724,1.823658,17.06382,9.005955,6.412493,5.296493,4.63289,4.140378,3.688928,1.844583,13.62273,4.187541,9.90078,3.864173,10.95707,3.64646,7.358165,12.47944,154.1531,0,0
31,7.090827,2.847557,1.832812,17.56717,9.103831,6.318169,5.375684,4.615169,4.134333,3.689868,1.846165,13.61518,4.23061,9.896516,3.863241,10.95515,3.643986,7.356964,12.47983,154.1595,0,0
32,7.100866,2.853754,1.846354,17.77371,9.218896,6.242815,5.440704,4.58978,4.128228,3.691383,1.847774,13.59903,4.27313,9.891875,3.864742,10.9514,3.639375,7.354985,12.48013,154.1758,0,0
33,7.110831,2.862718,1.86415,17.71898,9.337593,6.193665,5.486028,4.556246,4.122336,3.693606,1.849434,13.56742,4.314686,9.88598,3.868395,10.94105,3.632979,7.352453,12.48046,154.2007,0,0
34,7.120163,2.873963,1.886274,17.48818,9.426035,6.186058,5.510037,4.514557,4.11684,3.696644,1.851171,13.51161,4.355002,9.877175,3.874167,10.91875,3.625099,7.349563,12.48088,154.2324,0,0
35,7.127971,2.88686,1.912535,17.62994,9.236238,6.326547,5.522622,4.465169,4.111848,3.700575,1.852996,13.42408,4.393766,9.865156,3.881844,10.87856,3.616013,7.346454,12.48141,154.2691,0,0
36,7.12759,2.8964,1.935797,17.90518,9.026344,6.414795,5.567264,4.408952,4.107443,3.705495,1.854727,13.2973,4.428414,9.84865,3.886559,10.81435,3.606026,7.343307,12.48208,154.3091,0,0
37,7.121449,2.893711,1.963628,18.15246,8.924569,6.422009,5.729406,4.380314,4.11385,3.709813,1.856398,12.0528,4.449913,9.847088,3.961181,10.45401,3.606883,7.340293,12.48289,154.3503,0,0
38,7.128325,2.897181,1.989598,21.44258,8.807522,6.397482,5.706324,4.412155,4.113244,3.709295,1.857781,11.97861,4.473399,9.852969,4.004713,10.45016,3.592809,7.331824,12.48256,154.4402,0,0
39,7.126041,2.873887,2.00602,15.53745,8.729228,6.430942,5.617739,4.464937,4.11737,3.71266,1.859703,11.89777,4.492106,9.851424,4.037426,10.45889,3.585171,7.333619,12.48495,154.4527,0,0
40,7.102085,2.870979,2.001282,17.05672,8.690785,6.429842,5.561597,4.520921,4.118817,3.714459,1.861467,11.81952,4.502479,9.859557,4.052348,10.46597,3.578524,7.333041,12.48651,154.4743,0,0
41,7.097381,2.86645,2.002435,17.85151,8.689637,6.398829,5.504164,4.595526,4.116854,3.715364,1.863259,11.75212,4.513453,9.869545,4.067988,10.46454,3.573285,7.331547,12.48773,154.5009,0,0
42,7.101016,2.861004,2.00584,18.22734,8.668764,6.440894,5.389101,4.681425,4.11053,3.715855,1.865104,11.69369,4.524029,9.879989,4.08234,10.46061,3.569878,7.329712,12.4888,154.5298,0,0
43,7.105768,2.854827,2.009976,18.3786,8.636921,6.493403,5.325336,4.752758,4.098809,3.716235,1.867005,11.64669,4.533823,9.890652,4.094543,10.45763,3.568519,7.327862,12.48987,154.5592,0,0
44,7.109729,2.848201,2.014276,18.4185,8.592294,6.561071,5.277465,4.815906,4.080846,3.716698,1.868957,11.61658,4.542826,9.902343,4.104435,10.45898,3.569284,7.326162,12.49098,154.5877,0,0
45,7.112135,2.841301,2.01847,18.41157,8.533645,6.640909,5.249992,4.86629,4.05609,3.71736,1.870949,11.61303,4.55108,9.916704,4.112118,10.46883,3.572153,7.324687,12.49216,154.6141,0,0
