EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.019149,1,1,1.52737,1,1,1,1,1,1,1,1.022569,1,1.000609,1,0.9977236,1,1,1,1,1,1
1986,1.026317,1,1,1.320239,1,1,1,1,1,1,1,1.01395,1,0.9764097,1,0.9952455,1,1,1,1,1,1
1987,1.032565,1,1,0.9976544,1,1,1,1,1,1,1,0.9788671,1,0.9612505,1,0.9939016,1,1,1,1,1,1
1988,1.023322,1,1,0.9854254,1,1,1,1,1,1,1,0.9148799,1,0.9729662,1,0.9968445,1,1,1,1,1,1
1989,1.036293,1,1,1.00251,1,1,1,1,1,1,1,0.8430913,1,0.9346929,1,1.000081,1,1,1,1,1,1
1990,1.082264,1,1,0.931139,1,1,1,1,1,1,1,0.9217218,1,0.9357168,1,1.00221,1,1,1,1,1,1
1991,1.142978,1,1,0.8708294,1,1,1,1,1,1,1,1.051103,1,0.9854038,1,1.005942,1,1,1,1,1,1
1992,1.18119,1,1,1.082225,1,1,1,1,1,1,1,1.233964,1,0.977828,1,1.012068,1,1,1,1,1,1
1993,1.222419,1,1,1.172675,1,1,1,1,1,1,1,1.418757,1,0.9796012,1,1.016819,1,1,1,1,1,1
1994,1.249491,1,1,1.103493,1,1,1,1,1,1,1,1.574014,1,0.9834204,1,1.020656,1,1,1,1,1,1
1995,1.254796,1,1,1.004418,1,1,1,1,1,1,1,1.638728,1,0.9696336,1,1.024244,1,1,1,1,1,1
1996,1.241416,1,1,1.026407,1,1,1,1,1,1,1,1.613595,1,0.9437516,1,1.028497,1,1,1,1,1,1
1997,1.234985,1,1,0.9581344,1,1,1,1,1,1,1,1.544953,1,0.9085595,1,1.03069,1,1,1,1,1,1
1998,1.24446,1,1,0.9947932,1,1,1,1,1,1,1,1.479245,1,0.8741804,1,1.030663,1,1,1,1,1,1
1999,1.246863,1,1,0.9917732,1,1,1,1,1,1,1,1.426307,1,0.8346025,1,1.030046,1,1,1,1,1,1
2000,1.240413,1,1,0.9894187,1,1,1,1,1,1,1,1.459928,1,0.8007622,1,1.0297,1,1,1,1,1,1
2001,1.234518,1,1,0.9716354,1,1,1,1,1,1,1,1.496756,1,0.7760403,1,1.029957,1,1,1,1,1,1
2002,1.23114,1,1,1.000189,1,1,1,1,1,1,1,1.514175,1,0.7793484,1,1.029495,1,1,1,1,1,1
2003,1.226528,1,1,0.996628,1,1,1,1,1,1,1,1.543264,1,0.7758563,1,1.02888,1,1,1,1,1,1
2004,1.227307,1,1,0.9945149,1,1,1,1,1,1,1,1.561453,1,0.7897966,1,1.028036,1,1,1,1,1,1
2005,1.227633,1,1,0.9943097,1,1,1,1,1,1,1,1.586781,1,0.8133833,1,1.027096,1,1,1,1,1,1
2006,1.22476,1,1,0.9950942,1,1,1,1,1,1,1,1.627762,1,0.823736,1,1.026102,1,1,1,1,1,1
2007,1.220588,1,1,0.9946789,1,1,1,1,1,1,1,1.67711,1,0.8255273,1,1.025368,1,1,1,1,1,1
2008,1.216285,1,1,0.9954259,1,1,1,1,1,1,1,1.735701,1,0.8257846,1,1.024801,1,1,1,1,1,1
2009,1.211797,1,1,0.9737301,1,1,1,1,1,1,1,1.807934,1,0.8434066,1,1.024456,1,1,1,1,1,1
2010,1.209492,1,1,0.9981334,1,1,1,1,1,1,1,1.885777,1,0.8603673,1,1.02363,1,1,1,1,1,1
2011,1.211972,1,1,0.9971564,1,1,1,1,1,1,1,1.958215,1,0.8923827,1,1.023365,1,1,1,1,1,1
2012,1.216274,1,1,0.9964876,1,1,1,1,1,1,1,1.997061,1,0.9187691,1,1.023518,1,1,1,1,1,1
2013,1.217361,1,1,0.9972899,1,1,1,1,1,1,1,1.999637,1,0.9258339,1,1.023501,1,1,1,1,1,1
2014,1.217176,1,1,0.9851351,1,1,1,1,1,1,1,1.989902,1,0.9326108,1,1.023868,1,1,1,1,1,1
2015,1.215723,1,1,0.9941638,1,1,1,1,1,1,1,1.974844,1,0.9414382,1,1.024394,1,1,1,1,1,1
2016,1.219153,1,1,0.9987407,1,1,1,1,1,1,1,1.960083,1,0.9425936,1,1.024741,1,1,1,1,1,1
2017,1.219303,1,1,0.9985445,1,1,1,1,1,1,1,1.986001,1,0.9449465,1,1.02503,1,1,1,1,1,1
