EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
1,1,1,1.331425E-07
1,3,11,0.0004283366
2,1,1,1.341167E-07
2,3,11,0.0004283425
3,1,1,1.35119E-07
3,3,11,0.0004283384
4,1,1,1.361979E-07
4,3,11,0.0004283468
5,1,1,1.372671E-07
5,3,11,0.0004283469
6,1,1,1.384749E-07
6,3,11,0.0004283484
7,1,1,1.398117E-07
7,3,11,0.000428358
8,1,1,1.411504E-07
8,3,11,0.0004283634
9,1,1,1.424973E-07
9,3,11,0.0004283691
10,1,1,1.438171E-07
10,3,11,0.0004283758
11,1,1,1.450416E-07
11,3,11,0.0004283836
12,1,1,1.461872E-07
12,3,11,0.0004283922
13,1,1,1.473233E-07
13,3,11,0.0002768628
14,1,1,1.486452E-07
14,3,11,0.0002768659
15,1,1,1.500152E-07
15,3,11,0.0002768776
16,1,1,1.509979E-07
16,3,11,0.0002768839
17,1,1,1.519941E-07
17,3,11,0.0002768851
18,1,1,1.530879E-07
18,3,11,0.0002768943
19,1,1,1.538684E-07
19,3,11,0.0002768979
20,1,1,1.545195E-07
20,3,11,0.0002769023
21,1,1,1.551017E-07
21,3,11,0.0002769076
22,1,1,1.555391E-07
22,3,11,0.0002769152
23,1,1,1.558295E-07
23,3,11,0.0002769254
24,1,1,1.561148E-07
24,3,11,0.0002769228
25,1,1,1.567809E-07
25,3,11,0.0002860958
26,1,1,1.576436E-07
26,3,11,0.000286106
27,1,1,1.583938E-07
27,3,11,0.0002861132
28,1,1,1.590917E-07
28,3,11,0.0002861205
29,1,1,1.598574E-07
29,3,11,0.0002861279
30,1,1,1.607345E-07
30,3,11,0.000286135
31,1,1,1.61744E-07
31,3,11,0.0002861421
32,1,1,1.629042E-07
32,3,11,0.0002861493
33,1,1,1.642243E-07
33,3,11,0.0002861568
34,1,1,1.657149E-07
34,3,11,0.0002861646
35,1,1,1.673962E-07
35,3,11,0.0002861728
36,1,1,1.692487E-07
36,3,11,0.0002861806
37,1,1,1.711998E-07
37,3,11,0.0003428551
38,1,1,1.73285E-07
38,3,11,0.0003428627
39,1,1,1.754106E-07
39,3,11,0.0003428725
40,1,1,1.774727E-07
40,3,11,0.0003428822
41,1,1,1.795746E-07
41,3,11,0.000342892
42,1,1,1.817338E-07
42,3,11,0.000342902
43,1,1,1.839938E-07
43,3,11,0.0003429123
44,1,1,1.863725E-07
44,3,11,0.0003429228
45,1,1,1.888784E-07
45,3,11,0.0003429335
46,1,1,1.915279E-07
46,3,11,0.0003429444
47,1,1,1.943324E-07
47,3,11,0.0003429556
48,1,1,1.975663E-07
48,3,11,0.0003429634
49,1,1,2.010385E-07
49,3,11,0.0004446263
50,1,1,2.041198E-07
50,3,11,0.0004446474
51,1,1,2.070196E-07
51,3,11,0.0004446686
52,1,1,2.098716E-07
52,3,11,0.00044469
53,1,1,2.127625E-07
53,3,11,0.0004447102
54,1,1,2.157659E-07
54,3,11,0.0004447307
55,1,1,2.188136E-07
55,3,11,0.000444751
56,1,1,2.218855E-07
56,3,11,0.0004447715
57,1,1,2.24968E-07
57,3,11,0.0004447919
58,1,1,2.280474E-07
58,3,11,0.0004448121
59,1,1,2.310343E-07
59,3,11,0.0004448333
60,1,1,2.340298E-07
60,3,11,0.000444852
61,1,1,2.373613E-07
61,3,11,0.00138103
62,1,1,2.410193E-07
62,3,11,0.001381153
63,1,1,2.44797E-07
63,3,11,0.001381285
64,1,1,2.484502E-07
64,3,11,0.001381418
65,1,1,2.522139E-07
65,3,11,0.00138155
66,1,1,2.562339E-07
66,3,11,0.001381677
67,1,1,2.605456E-07
67,3,11,0.001381804
68,1,1,2.651553E-07
68,3,11,0.001381928
69,1,1,2.700594E-07
69,3,11,0.001382052
70,1,1,2.752553E-07
70,3,11,0.001382175
71,1,1,2.807467E-07
71,3,11,0.001382297
72,1,1,2.865004E-07
72,3,11,0.001382418
73,1,1,2.922994E-07
73,3,11,0.001150283
74,1,1,2.98106E-07
74,3,11,0.001150381
75,1,1,3.039034E-07
75,3,11,0.001150475
76,1,1,3.099161E-07
76,3,11,0.001150565
77,1,1,3.161269E-07
77,3,11,0.001150657
78,1,1,3.222475E-07
78,3,11,0.001150751
79,1,1,3.286711E-07
79,3,11,0.001150833
80,1,1,3.35459E-07
80,3,11,0.001150923
81,1,1,3.420308E-07
81,3,11,0.001151009
82,1,1,3.486617E-07
82,3,11,0.00115109
83,1,1,3.556017E-07
83,3,11,0.001151168
84,1,1,3.62754E-07
84,3,11,0.001151247
85,1,1,3.699099E-07
85,3,11,0.001499896
86,1,1,3.773018E-07
86,3,11,0.001500005
87,1,1,3.847602E-07
87,3,11,0.001500122
88,1,1,3.921143E-07
88,3,11,0.001500234
89,1,1,3.999246E-07
89,3,11,0.001500332
90,1,1,4.079708E-07
90,3,11,0.001500441
91,1,1,4.158745E-07
91,3,11,0.001500541
92,1,1,4.234091E-07
92,3,11,0.001500649
93,1,1,4.320401E-07
93,3,11,0.001500731
94,1,1,4.41974E-07
94,3,11,0.001500843
95,1,1,4.499326E-07
95,3,11,0.001500923
96,1,1,4.568334E-07
96,3,11,0.001501006
97,1,1,4.645081E-07
97,3,11,0.001849081
98,1,1,4.732697E-07
98,3,11,0.001849234
99,1,1,4.815662E-07
99,3,11,0.001849368
100,1,1,4.89794E-07
100,3,11,0.001849503
101,1,1,4.985386E-07
101,3,11,0.001849628
102,1,1,5.07985E-07
102,3,11,0.001849758
103,1,1,5.17602E-07
103,3,11,0.001849884
104,1,1,5.272588E-07
104,3,11,0.001850009
105,1,1,5.370668E-07
105,3,11,0.00185013
106,1,1,5.469939E-07
106,3,11,0.001850246
107,1,1,5.566457E-07
107,3,11,0.001850364
108,1,1,5.668491E-07
108,3,11,0.001850454
109,1,1,5.785932E-07
109,3,11,0.001734564
110,1,1,5.892545E-07
110,3,11,0.001734673
111,1,1,5.98753E-07
111,3,11,0.001734752
112,1,1,6.088896E-07
112,3,11,0.001734837
113,1,1,6.19259E-07
113,3,11,0.001734916
114,1,1,6.298847E-07
114,3,11,0.001734995
115,1,1,6.398745E-07
115,3,11,0.00173508
116,1,1,6.492867E-07
116,3,11,0.00173516
117,1,1,6.585915E-07
117,3,11,0.001735237
118,1,1,6.679088E-07
118,3,11,0.001735309
119,1,1,6.775208E-07
