EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:24:27 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3.363247,3.581084,3.834222,2.526087,2.746083,2.746083,2.911685,2.911685,2.911685,2.91167,3.441614,3.998357,3.945617,3.670341,3.729938,3.368641,3.368656,3.063872,2.180406,2.380508,1,1
2,3.362118,3.582778,3.849014,2.542839,2.746556,2.746556,2.91216,2.91216,2.91216,2.912409,3.442959,4.002074,3.956835,3.670972,3.732654,3.368933,3.368907,3.06428,2.180451,2.380787,1,1
3,3.361808,3.587821,3.856287,2.583457,2.746255,2.746255,2.911865,2.911865,2.911865,2.912592,3.444154,4.003341,3.962077,3.671711,3.733879,3.36886,3.368792,3.064051,2.18046,2.38065,1,1
4,3.361157,3.583162,3.85851,2.520459,2.74695,2.74695,2.912556,2.912556,2.912556,2.913968,3.44529,4.004275,3.963933,3.671977,3.734142,3.369249,3.369144,3.064618,2.180503,2.38102,1,1
5,3.360728,3.587058,3.868042,2.542635,2.747285,2.747285,2.912894,2.912894,2.912894,2.915176,3.446529,4.0063,3.971452,3.673071,3.735854,3.36949,3.36935,3.064908,2.18054,2.381221,1,1
6,3.361155,3.590638,3.869054,2.591964,2.746725,2.746725,2.912339,2.912339,2.912339,2.915668,3.447696,4.005951,3.971881,3.673568,3.736107,3.369301,3.369129,3.064461,2.180524,2.380941,1,1
7,3.361905,3.588514,3.865221,2.56325,2.746837,2.746837,2.912449,2.912449,2.912449,2.916981,3.448874,4.005121,3.969125,3.674012,3.735682,3.369411,3.369214,3.064538,2.180529,2.380992,1,1
8,3.362384,3.589626,3.8665,2.568058,2.746931,2.746931,2.912542,2.912542,2.912542,2.918418,3.450047,4.005304,3.970606,3.674943,3.736149,3.369521,3.369303,3.06461,2.180528,2.381042,1,1
9,3.363063,3.590559,3.866635,2.571605,2.74701,2.74701,2.912622,2.912622,2.912622,2.919973,3.451222,4.005242,3.971497,3.67594,3.736487,3.369629,3.369395,3.064674,2.180526,2.381088,1,1
10,3.363515,3.590599,3.866988,2.558771,2.747353,2.747353,2.912964,2.912964,2.912964,2.921909,3.452393,4.005445,3.973068,3.677022,3.736856,3.369867,3.369621,3.064955,2.180537,2.381276,1,1
11,3.363449,3.590585,3.871079,2.533204,2.74805,2.74805,2.91366,2.91366,2.91366,2.924308,3.453607,4.006651,3.977656,3.678263,3.737823,3.370287,3.370033,3.065539,2.180569,2.381662,1,1
12,3.363598,3.591679,3.878247,2.535966,2.748631,2.748631,2.914242,2.914242,2.914242,2.926691,3.45492,4.008227,3.983974,3.679583,3.73938,3.370667,3.37041,3.066037,2.18061,2.382,1,1
13,3.364341,3.595227,3.883507,2.574436,2.74855,2.74855,2.914167,2.914166,2.914167,2.928514,3.457264,4.008845,3.988377,3.680896,3.740531,3.37083,3.370545,3.065993,2.180624,2.381987,1,1
14,3.367069,3.60069,3.877695,2.628555,2.747205,2.747205,2.912832,2.912832,2.912832,2.927039,3.45966,4.00632,3.987519,3.681809,3.740083,3.370285,3.370033,3.064899,2.180542,2.381283,1,1
