EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:29:38 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

timestep,value
1,0.03114691
2,0.02981877
3,0.02876823
4,0.02793054
5,0.02722423
6,0.02662024
7,0.02616359
8,0.02584985
9,0.02556537
10,0.02527701
11,0.02513214
12,0.02507061
13,-0.0001026667
14,0.0001260678
15,0.0003803203
16,0.0006428564
17,0.0009759964
18,0.001342399
19,0.001507712
20,0.001559539
21,0.001600304
22,0.00163736
23,0.001434466
24,0.001120841
25,0.007806711
26,0.006960739
27,0.005897489
28,0.004698246
29,0.003399906
30,0.002055626
31,0.0009950829
32,0.0001679589
33,-0.0005494275
34,-0.001224186
35,-0.001661194
36,-0.001864663
37,0.003906063
38,0.003361936
39,0.003110285
40,0.003070733
41,0.003264625
42,0.003754013
43,0.004304217
44,0.004815114
45,0.005300997
46,0.005800155
47,0.006172139
48,0.006122716
49,0.007542583
50,0.007817679
51,0.008239649
52,0.008701932
53,0.009508505
54,0.01037459
55,0.01131866
56,0.01229051
57,0.01324848
58,0.0141677
59,0.01494448
60,0.01648599
61,0.00929843
62,0.01069271
63,0.01201073
64,0.01317346
65,0.01412547
66,0.01489074
67,0.01550116
68,0.01598304
69,0.01635889
70,0.01674215
71,0.01714898
72,0.01745915
73,0.01386337
74,0.01416879
75,0.0142912
76,0.01438506
77,0.01446653
78,0.01457619
79,0.01468701
80,0.01478707
81,0.01486644
82,0.01493174
83,0.01489072
84,0.01479844
85,0.001542938
86,0.0015508
87,0.001520597
88,0.001464845
89,0.001374202
90,0.001264006
91,0.001146054
92,0.001028517
93,0.0009177686
94,0.0008152188
95,0.0006904632
96,0.0005415207
97,-0.002907533
98,-0.002937412
99,-0.002938075
100,-0.002931905
101,-0.002919485
102,-0.002906931
103,-0.002889647
104,-0.002873062
105,-0.002855703
106,-0.002825898
107,-0.002810867
108,-0.002747977
109,-0.004216706
110,-0.004137348
111,-0.004086809
112,-0.00401878
113,-0.003971151
114,-0.003922191
115,-0.003819539
116,-0.003706546
117,-0.003572485
118,-0.003481925
119,-0.00345684
120,-0.003490958
121,0.004389868
122,0.00413514
123,0.003893326
124,0.003649175
125,0.003454363
126,0.00325675
127,0.003007795
128,0.002713786
129,0.0024429
130,0.002272072
131,0.002166821
132,0.002169644
133,-0.002144236
134,-0.002113798
135,-0.002103016
136,-0.002056683
137,-0.001992483
138,-0.001921885
139,-0.00176509
140,-0.001583481
141,-0.001421517
142,-0.001317489
143,-0.001227752
144,-0.001041836
145,0.003308073
146,0.003767152
147,0.004241624
148,0.004610306
149,0.004868695
150,0.005007862
151,0.005021337
152,0.0049194
153,0.004783402
154,0.004680406
155,0.004583055
156,0.004438605
157,0.01023226
158,0.009884538
159,0.009588299
160,0.009362626
161,0.009197263
162,0.009078456
163,0.008972572
164,0.008891587
165,0.008821625
166,0.008758014
167,0.008714941
168,0.008689854
169,0.0004771735
170,0.0005323551
171,0.0005693574
172,0.0005900423
173,0.0005954658
174,0.0005886907
175,0.000590349
176,0.0005919571
177,0.0005868382
178,0.0005714277
179,0.0005252903
180,0.0004404818
181,-0.005266234
182,-0.005288781
183,-0.005319418
184,-0.00535433
185,-0.005390822
186,-0.005426606
187,-0.005461372
188,-0.005493647
189,-0.005522921
190,-0.005549345
191,-0.005572412
192,-0.005592525
193,-0.001338509
194,-0.001413749
195,-0.001476543
196,-0.001530217
197,-0.001577489
198,-0.001621033
199,-0.001663269
200,-0.001704904
201,-0.001746544
202,-0.001788287
203,-0.001829429
204,-0.001862215
205,-0.003882708
206,-0.003890195
207,-0.003896387
208,-0.003908071
209,-0.003923792
210,-0.003942246
211,-0.003962525
212,-0.003984073
213,-0.004006082
214,-0.004027892
215,-0.004049351
216,-0.004062442
217,-0.003269327
218,-0.003272573
219,-0.003267006
220,-0.003257744
221,-0.003247266
222,-0.003230863
223,-0.003225834
224,-0.003213625
225,-0.003205139
226,-0.00319968
227,-0.003196898
228,-0.003197152
229,-0.001757244
230,-0.001849873
231,-0.001955196
232,-0.00206186
233,-0.002164813
234,-0.002252732
235,-0.002319141
236,-0.002372873
237,-0.002418777
238,-0.00245958
239,-0.002496899
240,-0.002531692
241,-0.00110706
242,-0.001137958
243,-0.001159887
244,-0.001176827
245,-0.001191247
246,-0.001205415
247,-0.001257798
248,-0.001326525
249,-0.001400407
250,-0.001473545
251,-0.001543315
252,-0.001608606
253,-0.002078125
254,-0.002149105
255,-0.00221843
256,-0.00228635
257,-0.002352967
258,-0.002417977
259,-0.002478547
260,-0.002535789
261,-0.002590104
262,-0.002641595
263,-0.00269046
264,-0.0027366
265,-0.004147281
266,-0.004178907
267,-0.004209366
268,-0.004238
269,-0.004264554
270,-0.004289077
271,-0.004310302
272,-0.004328987
273,-0.004345439
274,-0.004359961
275,-0.004372452
276,-0.004382811
277,-0.006914789
278,-0.006907889
279,-0.006903132
280,-0.006899805
281,-0.006897603
282,-0.006896369
283,-0.006895698
284,-0.006895639
285,-0.006896092
286,-0.006896953
287,-0.006898172
288,-0.006899902
289,-0.003088118
290,-0.003209243
291,-0.003319765
292,-0.00342089
293,-0.003513576
294,-0.003598678
295,-0.003676851
296,-0.003748649
297,-0.003814524
