EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:29:37 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.122098,0.6481853,0.3349446,2.090148,1.355778,1.751073,2.06861,1.524422,1.366167,0.8675893,0.3209611,3.081385,0.8040018,1.439881,1.308386,1.572792,0.8173966,2.177835,2.432118,45.86771,186.4388,0
1986,1.12652,0.6597565,0.3059365,2.439451,1.388065,1.498051,1.636121,1.170584,1.074333,0.7546994,0.313955,2.705457,1.279934,1.436267,1.416442,1.142774,0.7574563,2.172004,2.433517,45.69546,186.4806,0
1987,1.126814,0.624773,0.2266365,2.177766,1.307962,1.65021,1.734907,1.220715,1.120361,0.7772538,0.3141148,3.435832,1.288025,1.348441,1.330322,1.598509,0.6849707,2.161459,2.435623,45.72628,186.5589,0
1988,1.122315,0.5917325,0.3324974,1.738613,1.321625,1.648006,1.929302,1.287877,1.138717,0.7854627,0.3163108,1.394117,1.235311,1.331868,1.608383,1.140532,0.7393321,2.177486,2.43773,45.76825,186.5342,0
1989,1.127532,0.5757778,0.2032061,1.60685,1.319089,1.66375,1.895111,1.464716,1.252987,0.8219022,0.3203256,1.767251,0.8613523,1.322484,1.461813,1.221416,0.7222145,2.234963,2.44084,45.89752,186.4327,0
1990,1.133835,0.5667435,0.1854459,1.521476,1.340593,1.586645,1.83384,1.352684,1.324402,0.8331156,0.3607228,1.587567,0.9383551,1.482757,1.249783,1.285431,0.7064991,2.319725,2.444632,45.93462,186.3395,0
1991,1.146867,0.5697305,0.1916809,1.688911,1.360788,1.598288,1.757256,1.245755,1.131318,0.815933,0.3503306,2.249994,0.9741387,1.623673,1.410318,1.351671,0.7399148,2.388049,2.448793,45.89699,186.3013,0
1992,1.170766,0.5688967,0.2009806,1.572314,1.323075,1.495759,1.683241,1.20255,1.09272,0.783215,0.3648498,2.158889,0.9571316,1.666131,1.389914,1.407352,0.7935622,2.435691,2.452729,45.89429,186.3211,0
1993,1.196786,0.5813147,0.2179132,1.79037,1.320042,1.460542,1.61793,1.136578,1.044638,0.750514,0.3795964,2.200628,0.9448237,1.703555,1.206784,1.457612,0.8165493,2.468448,2.456157,45.92624,186.3095,0
1994,1.218519,0.5904132,0.2412766,2.02286,1.337892,1.440353,1.578221,1.134842,1.054036,0.7506121,0.3739137,2.429184,0.9425683,1.80007,1.19073,1.495072,0.8379119,2.476902,2.459549,45.88689,186.2784,0
1995,1.241878,0.5971712,0.2648821,1.696462,1.317411,1.51982,1.675037,1.222247,1.140332,0.7899699,0.3832064,2.386488,0.8304695,1.852122,1.18117,1.537272,0.9602305,2.460229,2.461253,45.91347,186.2881,0
1996,1.261654,0.5977325,0.2403406,1.818832,1.323384,1.444221,1.624498,1.155324,1.099401,0.8230284,0.3985635,2.650641,0.8613639,1.878636,1.253303,1.534371,0.9497631,2.425479,2.461664,45.9462,186.2732,0
1997,1.275932,0.6126102,0.2658682,1.794489,1.354661,1.506586,1.612922,1.169313,1.09961,0.8461463,0.3673853,2.582769,0.939173,1.84905,1.314821,1.550519,0.9786145,2.383967,2.461608,45.95215,186.25,0
