EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:29:37 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.12143,0.6485959,0.3345599,1.746723,1.356215,1.77517,2.101517,1.51699,1.376542,0.8667091,0.3209929,3.280771,0.8053713,1.440881,1.309935,1.583358,0.8137439,2.200115,2.43202,45.85294,186.4399,0
2,1.121624,0.6486918,0.3347529,1.745533,1.356035,1.768365,2.091661,1.51931,1.374302,0.8678446,0.3209878,3.245744,0.8053063,1.440514,1.309769,1.582977,0.8144567,2.193343,2.431826,45.84608,186.4387,0
3,1.121279,0.6485656,0.3347324,1.559411,1.348348,1.762748,2.083519,1.521163,1.372303,0.8681894,0.3209835,3.214088,0.8049157,1.44039,1.309168,1.582897,0.8152359,2.187787,2.431908,45.94637,186.4502,0
4,1.12044,0.6486806,0.3345418,1.381973,1.339982,1.757943,2.07669,1.522586,1.370348,0.8683026,0.3209789,3.182276,0.8042401,1.436667,1.30804,1.582105,0.81576,2.182767,2.431948,45.95604,186.4511,0
5,1.120772,0.649192,0.3346081,1.464093,1.346695,1.753535,2.070648,1.523507,1.368279,0.8681623,0.3209724,3.14948,0.8039762,1.433095,1.307827,1.579891,0.8160473,2.177996,2.431913,45.75141,186.4229,0
6,1.122477,0.6493456,0.3350601,1.922522,1.363184,1.749686,2.065481,1.524218,1.366325,0.8680132,0.3209637,3.114394,0.8043293,1.437091,1.308915,1.577102,0.8167069,2.174248,2.431946,45.63305,186.4035,0
7,1.12313,0.6472731,0.335314,2.841291,1.366127,1.746868,2.061687,1.525208,1.364792,0.8680334,0.3209549,3.074561,0.8044024,1.445139,1.309322,1.574818,0.8179486,2.172206,2.432165,45.87644,186.4353,0
8,1.121628,0.6465576,0.3349787,1.959339,1.344123,1.744808,2.05914,1.526496,1.363516,0.8680177,0.3209538,3.030543,0.8035114,1.444671,1.30777,1.572451,0.8189898,2.171131,2.432356,46.23233,186.4886,0
9,1.120018,0.6474404,0.3344834,2.061725,1.34475,1.742174,2.056376,1.527219,1.361717,0.8674838,0.3209448,2.984262,0.8023514,1.433051,1.305659,1.567061,0.818844,2.16926,2.432251,45.86393,186.4501,0
10,1.123149,0.6490984,0.3351391,2.667471,1.371377,1.739207,2.053556,1.527645,1.359827,0.8669308,0.320938,2.941983,0.8030484,1.433903,1.307514,1.561005,0.819095,2.167627,2.432141,45.51126,186.3932,0
11,1.125148,0.6472427,0.3356749,3.43563,1.373765,1.737133,2.051994,1.52872,1.358611,0.8668285,0.3209325,2.899652,0.8036022,1.446782,1.308933,1.557152,0.8205731,2.168265,2.432387,45.8779,186.4281,0
