EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:29:37 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of striped bass 2-5"

year\group,"striped bass 6+",
1985,0.0009439784
1986,0.001009778
1987,0.001082898
1988,0.001158202
1989,0.001236384
1990,0.001344457
1991,0.001439413
1992,0.001517273
1993,0.001578552
1994,0.001625843
1995,0.001661088
1996,0.001688625
1997,0.001712531
1998,0.001728384
1999,0.001737578
2000,0.001745968
2001,0.001755497
2002,0.001760102
2003,0.001762875
2004,0.001761656
2005,0.001758664
2006,0.001755005
2007,0.00174923
2008,0.001742015
2009,0.001734401
2010,0.001723269
2011,0.001716997
2012,0.001709087
2013,0.001698495
2014,0.001686701
2015,0.001675567
2016,0.001660447
2017,0.001647844
