EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 7:29:38 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

timestep,value
1,1.462321
2,1.460344
3,1.461994
4,1.464461
5,1.46083
6,1.452366
7,1.450279
8,1.45908
9,1.458591
10,1.446376
11,1.444761
12,1.450151
13,1.444654
14,1.436492
15,1.436662
16,1.431248
17,1.428747
18,1.433131
19,1.432625
20,1.430151
21,1.427307
22,1.425692
23,1.425402
24,1.420778
25,1.411734
26,1.416309
27,1.421435
28,1.415355
29,1.422803
30,1.420531
31,1.420029
32,1.419609
33,1.421283
34,1.420073
35,1.411505
36,1.421601
37,1.426269
38,1.426562
39,1.425442
40,1.425179
41,1.425562
42,1.426593
43,1.428145
44,1.430128
45,1.432436
46,1.434992
47,1.437748
48,1.440295
49,1.442812
50,1.453565
51,1.452835
52,1.453486
53,1.454974
54,1.456863
55,1.45885
56,1.460774
57,1.462549
58,1.473155
59,1.472418
60,1.472986
61,1.476625
62,1.474742
63,1.479458
64,1.480457
65,1.482219
66,1.482067
67,1.482693
68,1.483548
69,1.484333
70,1.487199
71,1.491083
72,1.492637
73,1.487096
74,1.492014
75,1.493352
76,1.49404
77,1.492379
78,1.491457
79,1.490924
80,1.490574
81,1.490286
82,1.490003
83,1.489745
84,1.489583
85,1.491191
86,1.493166
87,1.492534
88,1.495064
89,1.49453
90,1.494411
91,1.49462
92,1.495125
93,1.495746
94,1.497224
95,1.495745
96,1.50054
97,1.500195
98,1.500588
99,1.501172
100,1.501194
101,1.505309
102,1.508826
103,1.510823
104,1.509181
105,1.505349
106,1.505116
107,1.498301
108,1.514338
109,1.513442
110,1.515394
111,1.510864
112,1.51195
113,1.513101
114,1.508279
115,1.516028
116,1.517484
117,1.518228
118,1.514635
119,1.509248
120,1.513488
121,1.509141
122,1.518555
123,1.52258
124,1.520688
125,1.520239
126,1.51887
127,1.520965
128,1.51754
129,1.515067
130,1.51573
131,1.516839
132,1.517923
133,1.519325
134,1.520413
135,1.521249
136,1.521912
137,1.522458
138,1.522947
139,1.523439
140,1.523985
141,1.524564
142,1.52516
143,1.525771
144,1.526427
145,1.52669
146,1.526905
147,1.527039
148,1.527114
149,1.527126
150,1.525806
151,1.526427
152,1.526564
153,1.526424
154,1.528254
155,1.52887
156,1.528736
157,1.526705
158,1.525598
159,1.524915
160,1.524384
161,1.523864
162,1.523282
163,1.522602
164,1.521815
165,1.520938
166,1.520002
167,1.519056
168,1.518159
169,1.517926
170,1.517686
171,1.517428
172,1.517152
173,1.516859
174,1.516546
175,1.516218
176,1.515869
177,1.515505
178,1.515131
179,1.51476
180,1.514411
181,1.514541
182,1.514642
183,1.514703
184,1.514722
185,1.5147
186,1.514643
187,1.514562
188,1.514458
189,1.514334
190,1.514197
191,1.514045
192,1.513883
193,1.513267
194,1.512677
195,1.512116
196,1.511587
197,1.511087
198,1.510617
199,1.510177
200,1.509764
201,1.509374
202,1.509004
203,1.508648
204,1.513006
205,1.513786
206,1.511647
207,1.510754
208,1.51053
209,1.510611
210,1.51079
211,1.510957
212,1.511057
213,1.511068
214,1.510985
215,1.51081
216,1.510561
217,1.51019
218,1.509831
219,1.509473
220,1.509112
221,1.508747
222,1.512882
223,1.510613
224,1.509333
225,1.5086
226,1.508142
227,1.507801
228,1.507491
229,1.506935
230,1.506375
231,1.505792
232,1.505179
233,1.504532
234,1.503858
235,1.503204
236,1.502558
237,1.501915
238,1.501272
239,1.50063
240,1.499987
241,1.499277
242,1.498576
243,1.497892
244,1.497231
245,1.496593
246,1.495981
247,1.495402
248,1.494851
249,1.494325
250,1.493822
251,1.49334
252,1.492877
253,1.492147
254,1.491439
255,1.490751
256,1.490082
257,1.489429
258,1.488791
259,1.488153
260,1.487525
261,1.486908
262,1.486305
263,1.485716
264,1.48514
265,1.484715
266,1.484296
267,1.483886
268,1.483491
269,1.483112
270,1.482752
271,1.482406
272,1.482079
273,1.481769
274,1.481479
275,1.481206
276,1.480949
277,1.481026
278,1.481082
279,1.481122
280,1.481148
281,1.481163
282,1.481169
283,1.481167
284,1.481161
285,1.481153
286,1.481145
287,1.481138
288,1.481133
289,1.480628
290,1.480132
291,1.479648
292,1.479177
293,1.478721
294,1.47828
295,1.477854
296,1.477442
297,1.477044
298,1.47666
299,1.476289
300,1.475929
301,1.475882
302,1.484389
303,1.482638
304,1.478627
305,1.478719
306,1.478807
307,1.47889
308,1.478962
309,1.479014
310,1.47904
311,1.479039
312,1.479011
313,1.47907
314,1.479104
315,1.479181
316,1.479306
317,1.479422
318,1.479535
319,1.479644
320,1.479751
321,1.479855
322,1.479957
323,1.480057
324,1.480153
325,1.480547
326,1.480905
327,1.481248
328,1.481578
329,1.48188
330,1.48216
331,1.482422
332,1.48267
333,1.482907
334,1.483135
335,1.483356
336,1.483573
337,1.483992
338,1.484383
339,1.484733
340,1.485056
341,1.485374
342,1.485691
343,1.486008
344,1.486328
345,1.486654
346,1.486987
347,1.487329
348,1.487681
349,1.487746
350,1.487845
351,1.487965
352,1.488104
353,1.488262
354,1.488434
355,1.488617
356,1.488808
357,1.489003
358,1.489202
359,1.489402
360,1.489602
361,1.489513
362,1.489472
363,1.489468
364,1.489498
