EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,CatchFleetGroup

timestep,fleet,group,value
1,1,1,1.332362E-07
1,3,11,0.0004283341
2,1,1,1.34695E-07
2,3,11,0.0004283317
3,1,1,1.363553E-07
3,3,11,0.0004283436
4,1,1,1.379241E-07
4,3,11,0.0004283423
5,1,1,1.394202E-07
5,3,11,0.0004283507
6,1,1,1.404445E-07
6,3,11,0.0004283655
7,1,1,1.414645E-07
7,3,11,0.0004283795
8,1,1,1.427444E-07
8,3,11,0.0004283769
9,1,1,1.443359E-07
9,3,11,0.0004283766
10,1,1,1.456051E-07
10,3,11,0.0004283833
11,1,1,1.465346E-07
11,3,11,0.0004283974
12,1,1,1.480006E-07
12,3,11,0.0004283845
13,1,1,1.499303E-07
13,3,11,0.0002768658
14,1,1,1.509615E-07
14,3,11,0.0002768667
15,1,1,1.519743E-07
15,3,11,0.0002768711
16,1,1,1.531361E-07
16,3,11,0.0002768761
17,1,1,1.54227E-07
17,3,11,0.000276881
18,1,1,1.55608E-07
18,3,11,0.000276883
19,1,1,1.573649E-07
19,3,11,0.0002768924
20,1,1,1.590601E-07
20,3,11,0.0002768971
21,1,1,1.607161E-07
21,3,11,0.0002769029
22,1,1,1.626028E-07
22,3,11,0.0002769061
23,1,1,1.647023E-07
23,3,11,0.0002769159
24,1,1,1.665474E-07
24,3,11,0.0002769243
25,1,1,1.682693E-07
25,3,11,0.0002861
26,1,1,1.69939E-07
26,3,11,0.0002861028
27,1,1,1.719827E-07
27,3,11,0.0002861058
28,1,1,1.74164E-07
28,3,11,0.0002861207
29,1,1,1.75787E-07
29,3,11,0.0002861269
30,1,1,1.774157E-07
30,3,11,0.0002861284
31,1,1,1.792331E-07
31,3,11,0.0002861377
32,1,1,1.813344E-07
32,3,11,0.0002861386
33,1,1,1.836259E-07
33,3,11,0.0002861519
34,1,1,1.85488E-07
34,3,11,0.0002861558
35,1,1,1.871251E-07
35,3,11,0.0002861657
36,1,1,1.887948E-07
36,3,11,0.0002861881
37,1,1,1.905886E-07
37,3,11,0.0003428547
38,1,1,1.928673E-07
38,3,11,0.0003428669
39,1,1,1.945918E-07
39,3,11,0.0003428735
40,1,1,1.961622E-07
40,3,11,0.0003428795
41,1,1,1.978153E-07
41,3,11,0.0003428901
42,1,1,1.996161E-07
42,3,11,0.0003428998
43,1,1,2.014343E-07
43,3,11,0.0003429117
44,1,1,2.032227E-07
44,3,11,0.0003429289
45,1,1,2.053616E-07
45,3,11,0.0003429388
46,1,1,2.081805E-07
46,3,11,0.0003429469
47,1,1,2.111062E-07
47,3,11,0.000342959
48,1,1,2.139022E-07
48,3,11,0.0003429714
49,1,1,2.172992E-07
49,3,11,0.0004446254
50,1,1,2.21418E-07
50,3,11,0.0004446419
51,1,1,2.244503E-07
51,3,11,0.0004446616
52,1,1,2.264716E-07
52,3,11,0.0004446906
53,1,1,2.284273E-07
53,3,11,0.0004447153
54,1,1,2.306623E-07
54,3,11,0.0004447316
55,1,1,2.330538E-07
55,3,11,0.0004447488
56,1,1,2.355454E-07
56,3,11,0.0004447671
57,1,1,2.380766E-07
57,3,11,0.0004447857
58,1,1,2.410431E-07
58,3,11,0.0004448002
59,1,1,2.443402E-07
59,3,11,0.0004448213
60,1,1,2.47231E-07
60,3,11,0.0004448406
61,1,1,2.50233E-07
61,3,11,0.001380992
62,1,1,2.535357E-07
62,3,11,0.001381114
63,1,1,2.569818E-07
63,3,11,0.001381245
64,1,1,2.605937E-07
64,3,11,0.001381379
65,1,1,2.646072E-07
65,3,11,0.001381505
66,1,1,2.693113E-07
66,3,11,0.00138162
67,1,1,2.743903E-07
67,3,11,0.001381752
68,1,1,2.794011E-07
68,3,11,0.001381881
69,1,1,2.85074E-07
69,3,11,0.001381989
70,1,1,2.912504E-07
70,3,11,0.001382114
71,1,1,2.975667E-07
71,3,11,0.001382222
72,1,1,3.04135E-07
72,3,11,0.001382341
73,1,1,3.100681E-07
73,3,11,0.001150228
74,1,1,3.169267E-07
74,3,11,0.001150307
75,1,1,3.245394E-07
75,3,11,0.001150418
76,1,1,3.305671E-07
76,3,11,0.001150511
77,1,1,3.366433E-07
77,3,11,0.00115059
78,1,1,3.427948E-07
78,3,11,0.001150683
79,1,1,3.488997E-07
79,3,11,0.001150773
80,1,1,3.551802E-07
80,3,11,0.001150857
81,1,1,3.616224E-07
81,3,11,0.001150941
82,1,1,3.68271E-07
82,3,11,0.001151022
83,1,1,3.763059E-07
83,3,11,0.001151074
84,1,1,3.852829E-07
84,3,11,0.001151175
85,1,1,3.930978E-07
85,3,11,0.001499804
86,1,1,4.007993E-07
86,3,11,0.001499904
87,1,1,4.08291E-07
87,3,11,0.001500014
88,1,1,4.162738E-07
88,3,11,0.001500107
89,1,1,4.248901E-07
89,3,11,0.001500216
90,1,1,4.328063E-07
90,3,11,0.001500326
91,1,1,4.406149E-07
91,3,11,0.001500438
92,1,1,4.485819E-07
92,3,11,0.001500537
93,1,1,4.571424E-07
93,3,11,0.001500624
94,1,1,4.661492E-07
94,3,11,0.001500718
95,1,1,4.747864E-07
95,3,11,0.001500812
96,1,1,4.835696E-07
96,3,11,0.001500894
97,1,1,4.927245E-07
97,3,11,0.001848962
98,1,1,5.023875E-07
98,3,11,0.001849081
99,1,1,5.119619E-07
99,3,11,0.001849226
100,1,1,5.204084E-07
100,3,11,0.001849365
101,1,1,5.2874E-07
101,3,11,0.001849486
102,1,1,5.378739E-07
102,3,11,0.001849594
103,1,1,5.482385E-07
103,3,11,0.001849697
104,1,1,5.579069E-07
104,3,11,0.001849823
105,1,1,5.661071E-07
105,3,11,0.001849964
106,1,1,5.741832E-07
106,3,11,0.001850079
107,1,1,5.819672E-07
107,3,11,0.001850184
108,1,1,5.910597E-07
108,3,11,0.001850248
109,1,1,6.019475E-07
109,3,11,0.001734393
110,1,1,6.112068E-07
110,3,11,0.001734468
111,1,1,6.196751E-07
111,3,11,0.001734562
112,1,1,6.287771E-07
112,3,11,0.001734633
113,1,1,6.391238E-07
113,3,11,0.001734729
114,1,1,6.479374E-07
114,3,11,0.001734814
115,1,1,6.569441E-07
115,3,11,0.00173489
116,1,1,6.66763E-07
116,3,11,0.001734966
117,1,1,6.768128E-07
117,3,11,0.001735037
118,1,1,6.871817E-07
118,3,11,0.001735108
119,1,1,6.97346E-07
119,3,11,0.001735182
120,1,1,7.085706E-07
120,3,11,0.001735237
121,1,1,7.200775E-07
121,3,11,0.001967267
122,1,1,7.35727E-07
122,3,11,0.001967187
123,1,1,7.631648E-07
123,3,11,0.001967162
124,1,1,7.859967E-07
124,3,11,0.001967103
125,1,1,7.948723E-07
125,3,11,0.001967065
126,1,1,8.004461E-07
126,3,11,0.001967088
127,1,1,8.053328E-07
127,3,11,0.001967052
128,1,1,8.111024E-07
128,3,11,0.001967017
129,1,1,8.180922E-07
129,3,11,0.001966985
130,1,1,8.252671E-07
130,3,11,0.001966966
131,1,1,8.332588E-07
131,3,11,0.001966956
132,1,1,8.428258E-07
132,3,11,0.001966912
133,1,1,8.533179E-07
133,3,11,0.002314141
134,1,1,8.629103E-07
134,3,11,0.00231416
135,1,1,8.741983E-07
135,3,11,0.002314147
136,1,1,8.866465E-07
136,3,11,0.002314168
137,1,1,8.963977E-07
137,3,11,0.002314173
138,1,1,9.067394E-07
138,3,11,0.002314166
139,1,1,9.173762E-07
139,3,11,0.00231418
140,1,1,9.268962E-07
140,3,11,0.002314186
141,1,1,9.363161E-07
141,3,11,0.002314193
142,1,1,9.456642E-07
142,3,11,0.002314197
143,1,1,9.556235E-07
143,3,11,0.002314196
144,1,1,9.656845E-07
144,3,11,0.0023142
145,1,1,9.765581E-07
145,3,11,0.00159398
146,1,1,9.878837E-07
146,3,11,0.001593934
147,1,1,9.959682E-07
147,3,11,0.001593887
148,1,1,1.00181E-06
148,3,11,0.001593838
149,1,1,1.00665E-06
149,3,11,0.001593787
150,1,1,1.011782E-06
150,3,11,0.001593727
151,1,1,1.018612E-06
151,3,11,0.001593666
152,1,1,1.024877E-06
152,3,11,0.001593616
153,1,1,1.029361E-06
153,3,11,0.001593561
154,1,1,1.034369E-06
154,3,11,0.001593499
155,1,1,1.039662E-06
155,3,11,0.001593446
156,1,1,1.044635E-06
156,3,11,0.001593386
157,1,1,1.048788E-06
157,3,11,0.001858583
158,1,1,1.051707E-06
158,3,11,0.001858551
159,1,1,1.054199E-06
159,3,11,0.001858514
160,1,1,1.056468E-06
160,3,11,0.001858476
161,1,1,1.058534E-06
161,3,11,0.001858438
162,1,1,1.060248E-06
162,3,11,0.001858399
163,1,1,1.062885E-06
163,3,11,0.001858347
164,1,1,1.065166E-06
164,3,11,0.001858321
165,1,1,1.065593E-06
165,3,11,0.001858283
166,1,1,1.067484E-06
166,3,11,0.001858225
167,1,1,1.069931E-06
167,3,11,0.001858192
168,1,1,1.069223E-06
168,3,11,0.001858157
169,1,1,1.06662E-06
169,3,11,0.001468476
170,1,1,1.0636E-06
170,3,11,0.001468425
171,1,1,1.060515E-06
171,3,11,0.001468367
172,1,1,1.057187E-06
172,3,11,0.001468311
173,1,1,1.053577E-06
173,3,11,0.001468253
174,1,1,1.050691E-06
174,3,11,0.001468187
175,1,1,1.047553E-06
175,3,11,0.001468139
176,1,1,1.044136E-06
176,3,11,0.001468069
177,1,1,1.040905E-06
177,3,11,0.001468024
178,1,1,1.035195E-06
178,3,11,0.001467964
179,1,1,1.029193E-06
179,3,11,0.001467903
180,1,1,1.022739E-06
180,3,11,0.001467851
181,1,1,1.01504E-06
181,3,11,0.001035663
182,1,1,1.007579E-06
182,3,11,0.001035622
183,1,1,1.000022E-06
183,3,11,0.001035587
184,1,1,9.917611E-07
184,3,11,0.001035552
185,1,1,9.874864E-07
185,3,11,0.00103549
186,1,1,9.856259E-07
186,3,11,0.001035467
187,1,1,9.78113E-07
187,3,11,0.001035435
188,1,1,9.698176E-07
188,3,11,0.001035388
189,1,1,9.612592E-07
189,3,11,0.001035348
190,1,1,9.536728E-07
190,3,11,0.001035296
191,1,1,9.461468E-07
191,3,11,0.001035263
192,1,1,9.378138E-07
192,3,11,0.001035222
193,1,1,9.303813E-07
193,3,11,0.0005702211
194,1,1,9.224457E-07
194,3,11,0.000570174
195,1,1,9.145249E-07
195,3,11,0.0005701305
196,1,1,9.072009E-07
196,3,11,0.0005700883
197,1,1,9.004002E-07
197,3,11,0.0005700481
198,1,1,8.949914E-07
198,3,11,0.0005700047
199,1,1,8.917944E-07
199,3,11,0.0005699637
200,1,1,8.894908E-07
200,3,11,0.0005699232
201,1,1,8.868747E-07
201,3,11,0.0005698858
202,1,1,8.85202E-07
202,3,11,0.0005698449
203,1,1,8.847015E-07
203,3,11,0.000569811
204,1,1,8.839843E-07
204,3,11,0.000569774
205,1,1,8.850895E-07
205,3,11,0.0005397149
206,1,1,8.871211E-07
206,3,11,0.0005396875
207,1,1,8.868925E-07
207,3,11,0.000539662
208,1,1,8.863447E-07
208,3,11,0.0005396375
