EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9997508,1,1,1.052201,1,1,1,1,1,1,1,0.9997939,1,0.9998747,1,0.9997531,1,1,1,1,1,1
2,1.000915,1,1,0.7337817,1,1,1,1,1,1,1,1.002342,1,1.00005,1,0.9997343,1,1,1,1,1,1
3,0.9929997,1,1,0.7735644,1,1,1,1,1,1,1,1.003727,1,0.9992135,1,1.001606,1,1,1,1,1,1
4,0.9914879,1,1,0.5559927,1,1,1,1,1,1,1,1.006745,1,0.9993598,1,1.001819,1,1,1,1,1,1
5,0.9848623,1,1,0.72871,1,1,1,1,1,1,1,1.008624,1,1.00037,1,1.003164,1,1,1,1,1,1
6,0.9847876,1,1,1.703688,1,1,1,1,1,1,1,1.011807,1,1.000801,1,1.002586,1,1,1,1,1,1
7,0.9881554,1,1,1.443563,1,1,1,1,1,1,1,1.015596,1,0.9982792,1,1.001032,1,1,1,1,1,1
8,0.9901631,1,1,1.088258,1,1,1,1,1,1,1,1.019928,1,0.9968132,1,1.000882,1,1,1,1,1,1
9,0.9883387,1,1,0.7950263,1,1,1,1,1,1,1,1.023828,1,0.9959491,1,1.001738,1,1,1,1,1,1
10,0.9846362,1,1,2,1,1,1,1,1,1,1,1.027417,1,0.9965921,1,1.002879,1,1,1,1,1,1
11,0.9888464,1,1,1.746994,1,1,1,1,1,1,1,1.032076,1,0.9947627,1,1.001644,1,1,1,1,1,1
12,0.9954568,1,1,1.070946,1,1,1,1,1,1,1,1.037066,1,0.9956756,1,1.000969,1,1,1,1,1,1
13,0.9844266,1,1,0.9621451,1,1,1,1,1,1,1,1.035049,1,0.9936162,1,1.003402,1,1,1,1,1,1
14,0.987199,1,1,1.552193,1,1,1,1,1,1,1,1.035625,1,0.9955536,1,1.003319,1,1,1,1,1,1
15,0.995764,1,1,1.113282,1,1,1,1,1,1,1,1.036534,1,0.9974822,1,1.001721,1,1,1,1,1,1
16,1.001178,1,1,1.249494,1,1,1,1,1,1,1,1.036093,1,0.9997555,1,1.001236,1,1,1,1,1,1
17,1.009305,1,1,1.969896,1,1,1,1,1,1,1,1.035173,1,1.002471,1,1.000047,1,1,1,1,1,1
18,1.018015,1,1,1.341908,1,1,1,1,1,1,1,1.032953,1,1.004528,1,0.9985799,1,1,1,1,1,1
19,1.019713,1,1,1.09236,1,1,1,1,1,1,1,1.028169,1,1.003891,1,0.9988889,1,1,1,1,1,1
