EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of striped bass 2-5"

timestep\group,"striped bass 6+",
1,0.0009129383
2,0.0009163531
3,0.0009207466
4,0.0009255655
5,0.000930442
6,0.0009387273
7,0.0009453538
8,0.0009520671
9,0.0009574814
10,0.0009651888
11,0.0009731144
12,0.0009768066
13,0.0009826563
14,0.0009922776
15,0.0009981499
16,0.001004847
17,0.001011584
18,0.001014673
19,0.001019153
20,0.001024395
21,0.001029113
22,0.00103132
23,0.001033808
24,0.001038791
25,0.001045982
26,0.001055358
27,0.001060722
28,0.001069942
29,0.001080758
30,0.001088911
31,0.001097319
32,0.00110238
33,0.001108298
34,0.00111554
35,0.00112273
36,0.001129936
37,0.001138665
38,0.001143698
39,0.001149966
40,0.001154527
41,0.001158479
42,0.001162175
43,0.00116596
44,0.001171277
45,0.001175267
46,0.001178229
47,0.001182389
48,0.001187219
49,0.001190168
50,0.001197459
51,0.001207782
52,0.001219588
53,0.001230096
54,0.00124061
55,0.001250775
56,0.001260492
57,0.001269863
58,0.001277694
59,0.001286084
60,0.00129543
61,0.001304446
62,0.001313277
63,0.001322574
64,0.001331906
65,0.001340855
66,0.001348786
67,0.001357444
68,0.001366846
69,0.001374761
70,0.001382973
71,0.001391015
72,0.001399078
73,0.001407292
74,0.001411846
75,0.001418557
76,0.001427615
77,0.00143526
78,0.001443234
79,0.001450994
80,0.001459006
81,0.001466865
82,0.001474598
83,0.001479417
84,0.001486116
85,0.001493434
86,0.001500742
87,0.001508018
88,0.001513872
89,0.00151965
90,0.001526113
91,0.001532214
92,0.00153822
93,0.001543463
94,0.001548797
95,0.001554511
96,0.001559551
97,0.001564594
98,0.001568402
99,0.001572704
100,0.001577531
101,0.001582021
102,0.001586104
103,0.001589784
104,0.001594177
105,0.001599048
106,0.001603362
107,0.001608626
108,0.001610876
109,0.00161569
110,0.001619984
111,0.001624457
112,0.001627233
113,0.001630671
114,0.001634527
115,0.001637478
116,0.001640649
117,0.001643591
118,0.001646398
119,0.001649346
120,0.001651389
121,0.001655051
122,0.001655177
123,0.001655772
124,0.001658051
125,0.001661821
126,0.001664793
127,0.001667766
128,0.00167049
129,0.001673008
130,0.001675669
131,0.001677989
132,0.001679992
133,0.001682171
134,0.001684756
135,0.001686583
136,0.00168919
137,0.001691773
138,0.001693973
139,0.001696552
140,0.00169884
141,0.001701162
142,0.001703301
143,0.001705223
144,0.001707206
145,0.001708751
146,0.001710121
147,0.0017111
148,0.001711941
149,0.0017135
150,0.00171491
151,0.001716433
152,0.001718392
153,0.001720206
154,0.00172184
155,0.001723698
156,0.001725305
157,0.001726908
158,0.001727895
159,0.001728817
160,0.001729687
161,0.00173066
162,0.001731616
163,0.001732178
164,0.001733331
165,0.001734186
166,0.001734808
167,0.001735691
168,0.001736775
169,0.001737927
170,0.001738371
171,0.00173899
172,0.001739653
173,0.001740257
174,0.001740549
175,0.001741356
176,0.001741368
177,0.001742209
178,0.001742921
179,0.001743455
180,0.001744129
181,0.00174513
182,0.001745812
183,0.001746797
184,0.001747556
185,0.001747329
186,0.001747979
187,0.001748727
188,0.001749326
189,0.001750472
190,0.001750706
191,0.001751667
192,0.001751883
193,0.001753396
194,0.001754686
195,0.001756149
196,0.001757341
197,0.001758583
198,0.001759002
199,0.001759781
200,0.0017605
201,0.001761339
202,0.001761467
203,0.00176219
204,0.001762527
205,0.001762457
206,0.001762836
207,0.001763389
208,0.001763457
209,0.001763639
210,0.001763115
211,0.001763039
212,0.001763145
213,0.001763302
214,0.001763245
215,0.00176329
216,0.001763409
217,0.001764171
218,0.001762978
219,0.001763703
220,0.001764571
221,0.001765402
222,0.001765864
223,0.001766498
224,0.001766744
225,0.001767036
226,0.001767224
227,0.001767062
228,0.001767281
229,0.001766817
230,0.001766324
231,0.001765805
232,0.001765575
233,0.001764165
234,0.001763713
235,0.001763491
236,0.001762905
237,0.001762611
238,0.001762415
239,0.001762361
240,0.001761199
241,0.001761559
242,0.00176117
243,0.001761527
244,0.00176141
245,0.00176123
246,0.001761828
247,0.001759838
248,0.001760381
249,0.00176117
250,0.001762061
251,0.001762373
252,0.001762267
253,0.001762528
254,0.001762201
255,0.00176205
256,0.001760591
257,0.001760209
258,0.00175943
259,0.001758694
260,0.001757421
261,0.001757343
262,0.001756908
263,0.001756776
264,0.001756449
265,0.001754946
266,0.001754351
267,0.001753564
268,0.001753032
269,0.001751875
270,0.001751486
271,0.001751372
272,0.001750386
273,0.001749311
274,0.001748664
275,0.00174839
276,0.001747701
277,0.001747382
278,0.001747256
279,0.00174716
280,0.001746919
281,0.001746411
282,0.001746016
283,0.001745744
284,0.001743513
285,0.001742686
286,0.001741984
287,0.0017417
288,0.001742021
289,0.001742249
290,0.0017407
291,0.00174035
292,0.001740401
293,0.001739715
294,0.001738848
295,0.001738153
296,0.001737549
297,0.001736046
298,0.001735561
299,0.001734018
300,0.001733679
301,0.001732397
302,0.001731317
303,0.001731133
304,0.001730744
305,0.001729978
306,0.001729913
307,0.001726954
308,0.001726126
309,0.001724345
310,0.001724256
311,0.0017236
312,0.001722677
313,0.001722553
314,0.001722913
315,0.001722281
316,0.001721991
317,0.001721972
318,0.00172174
319,0.001721145
