EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.69076E-06,0,0,0,0,0,0,0,0,0,0.005140366,0,0,0,0,0,0,0,0,0,0,0
1986,1.886831E-06,0,0,0,0,0,0,0,0,0,0.003322682,0,0,0,0,0,0,0,0,0,0,0
1987,2.143159E-06,0,0,0,0,0,0,0,0,0,0.003433622,0,0,0,0,0,0,0,0,0,0,0
1988,2.414849E-06,0,0,0,0,0,0,0,0,0,0.004114921,0,0,0,0,0,0,0,0,0,0,0
1989,2.788019E-06,0,0,0,0,0,0,0,0,0,0.00533683,0,0,0,0,0,0,0,0,0,0,0
1990,3.28708E-06,0,0,0,0,0,0,0,0,0,0.01658016,0,0,0,0,0,0,0,0,0,0,0
1991,4.157102E-06,0,0,0,0,0,0,0,0,0,0.01380858,0,0,0,0,0,0,0,0,0,0,0
1992,5.247003E-06,0,0,0,0,0,0,0,0,0,0.0180044,0,0,0,0,0,0,0,0,0,0,0
1993,6.51356E-06,0,0,0,0,0,0,0,0,0,0.02219571,0,0,0,0,0,0,0,0,0,0,0
1994,7.842285E-06,0,0,0,0,0,0,0,0,0,0.02081802,0,0,0,0,0,0,0,0,0,0,0
1995,9.536164E-06,0,0,0,0,0,0,0,0,0,0.02360476,0,0,0,0,0,0,0,0,0,0,0
1996,1.092777E-05,0,0,0,0,0,0,0,0,0,0.0277701,0,0,0,0,0,0,0,0,0,0,0
1997,1.217217E-05,0,0,0,0,0,0,0,0,0,0.01912433,0,0,0,0,0,0,0,0,0,0,0
1998,1.273023E-05,0,0,0,0,0,0,0,0,0,0.02230048,0,0,0,0,0,0,0,0,0,0,0
1999,1.257191E-05,0,0,0,0,0,0,0,0,0,0.01761797,0,0,0,0,0,0,0,0,0,0,0
2000,1.173434E-05,0,0,0,0,0,0,0,0,0,0.01242533,0,0,0,0,0,0,0,0,0,0,0
2001,1.079199E-05,0,0,0,0,0,0,0,0,0,0.006839869,0,0,0,0,0,0,0,0,0,0,0
2002,1.059855E-05,0,0,0,0,0,0,0,0,0,0.006474835,0,0,0,0,0,0,0,0,0,0,0
2003,1.017675E-05,0,0,0,0,0,0,0,0,0,0.003167812,0,0,0,0,0,0,0,0,0,0,0
2004,9.836705E-06,0,0,0,0,0,0,0,0,0,0.003786355,0,0,0,0,0,0,0,0,0,0,0
2005,9.307892E-06,0,0,0,0,0,0,0,0,0,0.003794531,0,0,0,0,0,0,0,0,0,0,0
2006,8.99502E-06,0,0,0,0,0,0,0,0,0,0.004792558,0,0,0,0,0,0,0,0,0,0,0
2007,8.61838E-06,0,0,0,0,0,0,0,0,0,0.005999412,0,0,0,0,0,0,0,0,0,0,0
2008,7.910572E-06,0,0,0,0,0,0,0,0,0,0.006028369,0,0,0,0,0,0,0,0,0,0,0
2009,7.101551E-06,0,0,0,0,0,0,0,0,0,0.00560781,0,0,0,0,0,0,0,0,0,0,0
2010,6.64075E-06,0,0,0,0,0,0,0,0,0,0.005587887,0,0,0,0,0,0,0,0,0,0,0
2011,6.38958E-06,0,0,0,0,0,0,0,0,0,0.009768856,0,0,0,0,0,0,0,0,0,0,0
2012,6.676628E-06,0,0,0,0,0,0,0,0,0,0.01088716,0,0,0,0,0,0,0,0,0,0,0
2013,6.752356E-06,0,0,0,0,0,0,0,0,0,0.007409176,0,0,0,0,0,0,0,0,0,0,0
2014,6.70987E-06,0,0,0,0,0,0,0,0,0,0.01079157,0,0,0,0,0,0,0,0,0,0,0
2015,6.751203E-06,0,0,0,0,0,0,0,0,0,0.008729755,0,0,0,0,0,0,0,0,0,0,0
2016,6.789719E-06,0,0,0,0,0,0,0,0,0,0.01219137,0,0,0,0,0,0,0,0,0,0,0
2017,6.585891E-06,0,0,0,0,0,0,0,0,0,0.01109685,0,0,0,0,0,0,0,0,0,0,0
