EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 8:32:05 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.598834E-06,0,0,0,0,0,0,0,0,0,0.005140009,0,0,0,0,0,0,0,0,0,0,0
2,1.61634E-06,0,0,0,0,0,0,0,0,0,0.00513998,0,0,0,0,0,0,0,0,0,0,0
3,1.636264E-06,0,0,0,0,0,0,0,0,0,0.005140123,0,0,0,0,0,0,0,0,0,0,0
4,1.65509E-06,0,0,0,0,0,0,0,0,0,0.005140108,0,0,0,0,0,0,0,0,0,0,0
5,1.673042E-06,0,0,0,0,0,0,0,0,0,0.005140208,0,0,0,0,0,0,0,0,0,0,0
6,1.685334E-06,0,0,0,0,0,0,0,0,0,0.005140386,0,0,0,0,0,0,0,0,0,0,0
7,1.697574E-06,0,0,0,0,0,0,0,0,0,0.005140554,0,0,0,0,0,0,0,0,0,0,0
8,1.712932E-06,0,0,0,0,0,0,0,0,0,0.005140523,0,0,0,0,0,0,0,0,0,0,0
9,1.732031E-06,0,0,0,0,0,0,0,0,0,0.00514052,0,0,0,0,0,0,0,0,0,0,0
10,1.747261E-06,0,0,0,0,0,0,0,0,0,0.005140599,0,0,0,0,0,0,0,0,0,0,0
11,1.758415E-06,0,0,0,0,0,0,0,0,0,0.005140769,0,0,0,0,0,0,0,0,0,0,0
12,1.776007E-06,0,0,0,0,0,0,0,0,0,0.005140614,0,0,0,0,0,0,0,0,0,0,0
13,1.799164E-06,0,0,0,0,0,0,0,0,0,0.003322389,0,0,0,0,0,0,0,0,0,0,0
14,1.811538E-06,0,0,0,0,0,0,0,0,0,0.0033224,0,0,0,0,0,0,0,0,0,0,0
15,1.823692E-06,0,0,0,0,0,0,0,0,0,0.003322453,0,0,0,0,0,0,0,0,0,0,0
16,1.837633E-06,0,0,0,0,0,0,0,0,0,0.003322514,0,0,0,0,0,0,0,0,0,0,0
17,1.850724E-06,0,0,0,0,0,0,0,0,0,0.003322572,0,0,0,0,0,0,0,0,0,0,0
18,1.867296E-06,0,0,0,0,0,0,0,0,0,0.003322596,0,0,0,0,0,0,0,0,0,0,0
19,1.888379E-06,0,0,0,0,0,0,0,0,0,0.003322708,0,0,0,0,0,0,0,0,0,0,0
20,1.908721E-06,0,0,0,0,0,0,0,0,0,0.003322765,0,0,0,0,0,0,0,0,0,0,0
21,1.928594E-06,0,0,0,0,0,0,0,0,0,0.003322835,0,0,0,0,0,0,0,0,0,0,0
22,1.951233E-06,0,0,0,0,0,0,0,0,0,0.003322873,0,0,0,0,0,0,0,0,0,0,0
23,1.976427E-06,0,0,0,0,0,0,0,0,0,0.003322991,0,0,0,0,0,0,0,0,0,0,0
24,1.998568E-06,0,0,0,0,0,0,0,0,0,0.003323091,0,0,0,0,0,0,0,0,0,0,0
25,2.019232E-06,0,0,0,0,0,0,0,0,0,0.0034332,0,0,0,0,0,0,0,0,0,0,0
26,2.039267E-06,0,0,0,0,0,0,0,0,0,0.003433234,0,0,0,0,0,0,0,0,0,0,0
27,2.063793E-06,0,0,0,0,0,0,0,0,0,0.003433269,0,0,0,0,0,0,0,0,0,0,0
28,2.089967E-06,0,0,0,0,0,0,0,0,0,0.003433449,0,0,0,0,0,0,0,0,0,0,0
29,2.109444E-06,0,0,0,0,0,0,0,0,0,0.003433523,0,0,0,0,0,0,0,0,0,0,0
30,2.128989E-06,0,0,0,0,0,0,0,0,0,0.003433541,0,0,0,0,0,0,0,0,0,0,0
31,2.150797E-06,0,0,0,0,0,0,0,0,0,0.003433653,0,0,0,0,0,0,0,0,0,0,0
32,2.176012E-06,0,0,0,0,0,0,0,0,0,0.003433663,0,0,0,0,0,0,0,0,0,0,0
33,2.203511E-06,0,0,0,0,0,0,0,0,0,0.003433823,0,0,0,0,0,0,0,0,0,0,0
34,2.225856E-06,0,0,0,0,0,0,0,0,0,0.003433869,0,0,0,0,0,0,0,0,0,0,0
35,2.245501E-06,0,0,0,0,0,0,0,0,0,0.003433989,0,0,0,0,0,0,0,0,0,0,0
36,2.265537E-06,0,0,0,0,0,0,0,0,0,0.003434257,0,0,0,0,0,0,0,0,0,0,0
37,2.287063E-06,0,0,0,0,0,0,0,0,0,0.004114256,0,0,0,0,0,0,0,0,0,0,0
38,2.314407E-06,0,0,0,0,0,0,0,0,0,0.004114403,0,0,0,0,0,0,0,0,0,0,0
39,2.335101E-06,0,0,0,0,0,0,0,0,0,0.004114482,0,0,0,0,0,0,0,0,0,0,0
40,2.353946E-06,0,0,0,0,0,0,0,0,0,0.004114554,0,0,0,0,0,0,0,0,0,0,0
41,2.373783E-06,0,0,0,0,0,0,0,0,0,0.004114681,0,0,0,0,0,0,0,0,0,0,0
42,2.395393E-06,0,0,0,0,0,0,0,0,0,0.004114798,0,0,0,0,0,0,0,0,0,0,0
