EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"3/7/2022 2:57:38 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,base_run1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.681185E-06
1985,3,11,0.005140332
1986,1,1,1.86175E-06
1986,3,11,0.003322651
1987,1,1,2.045788E-06
1987,3,11,0.003433563
1988,1,1,2.34582E-06
1988,3,11,0.004114788
1989,1,1,2.746194E-06
1989,3,11,0.005336812
1990,1,1,3.127783E-06
1990,3,11,0.01658049
1991,1,1,3.825167E-06
1991,3,11,0.01380902
1992,1,1,4.827099E-06
1992,3,11,0.01800507
1993,1,1,6.073615E-06
1993,3,11,0.02219685
1994,1,1,7.513081E-06
1994,3,11,0.02081937
1995,1,1,9.044795E-06
1995,3,11,0.02360631
1996,1,1,1.039537E-05
1996,3,11,0.0277722
1997,1,1,1.128879E-05
1997,3,11,0.01912589
1998,1,1,1.183944E-05
1998,3,11,0.02230276
1999,1,1,1.181276E-05
1999,3,11,0.01761962
2000,1,1,1.110833E-05
2000,3,11,0.01242629
2001,1,1,1.030192E-05
2001,3,11,0.006840272
2002,1,1,9.94216E-06
2002,3,11,0.006475139
2003,1,1,9.548946E-06
2003,3,11,0.003167939
2004,1,1,9.215171E-06
2004,3,11,0.003786451
2005,1,1,8.853083E-06
2005,3,11,0.003794624
2006,1,1,8.470653E-06
2006,3,11,0.004792619
2007,1,1,7.989529E-06
2007,3,11,0.005999457
2008,1,1,7.348917E-06
2008,3,11,0.006028425
2009,1,1,6.633044E-06
2009,3,11,0.00560784
2010,1,1,6.033347E-06
2010,3,11,0.005587938
2011,1,1,5.51799E-06
2011,3,11,0.009769061
2012,1,1,5.448234E-06
2012,3,11,0.01088748
2013,1,1,5.628465E-06
2013,3,11,0.007409452
2014,1,1,5.872437E-06
2014,3,11,0.01079222
2015,1,1,6.068851E-06
2015,3,11,0.008730328
2016,1,1,6.196605E-06
2016,3,11,0.01219241
2017,1,1,6.162017E-06
2017,3,11,0.01109784
